LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
USA_USLLeagueTwo_Metropolitan;Motown 2;Morris Elite;87.05;ALTA;20260630;Ranking gap: 0.769 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 2.67/gara | Over25 casa ultime10: 0.78 | Over25 trasferta ultime10: 0.67;Motown 2 - Morris Elite;15.38;25.0;25.0;11.67;10.0
Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Clarence Zebras U21;81.38;ALTA;13;Ranking gap: 0.144 | Attacco casa: 3.10/gara | Difesa trasferta subisce: 2.82/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.90;Glenorchy Knights U21 - Clarence Zebras U21;2.88;25.0;25.0;15.0;13.5
Australia_NPLNorthernNSW;Edgeworth E.;Kahibah;77.36;ALTA;19;Ranking gap: 0.243 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 2.40/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 1.00;Edgeworth E. - Kahibah;4.86;20.0;24.0;13.5;15.0
Australia_SAStateLeague;Adelaide Olympic;Salisbury Utd.;73.41;MEDIA-ALTA;17;Ranking gap: 0.314 | Attacco casa: 1.94/gara | Difesa trasferta subisce: 2.38/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.90;Adelaide Olympic - Salisbury Utd.;6.28;19.38;23.75;10.5;13.5
Australia_NPLQueensland;Wynnum Wolves;Rochedale;72.16;MEDIA-ALTA;17;Ranking gap: 0.133 | Attacco casa: 1.75/gara | Difesa trasferta subisce: 2.50/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.80;Wynnum Wolves - Rochedale;2.66;17.5;25.0;15.0;12.0
USA_USLLeagueTwo_Southwest;Redlands FC;Capo;67.96;MEDIA-ALTA;20260629;Ranking gap: 0.551 | Attacco casa: 2.11/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.56 | Over25 trasferta ultime10: 0.50;Redlands FC - Capo;11.02;21.11;20.0;8.33;7.5
USA_USLLeagueTwo_GreatPlains;Peoria;St. Louis Ambush;65.7;MEDIA-ALTA;20260630;Ranking gap: 0.646 | Attacco casa: 2.33/gara | Difesa trasferta subisce: 1.44/gara | Over25 casa ultime10: 0.56 | Over25 trasferta ultime10: 0.44;Peoria - St. Louis Ambush;12.92;23.33;14.44;8.33;6.67
Australia_QueenslandPremierLeague;Ipswich;Holland Park Hawks;59.67;MEDIA;18;Ranking gap: 0.215 | Attacco casa: 1.50/gara | Difesa trasferta subisce: 1.94/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.80;Ipswich - Holland Park Hawks;4.3;15.0;19.38;9.0;12.0
Australia_NPLNorthernNSW;Cooks Hill United;Valentine;59.24;MEDIA;19;Ranking gap: 0.112 | Attacco casa: 1.81/gara | Difesa trasferta subisce: 1.94/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.50;Cooks Hill United - Valentine;2.24;18.12;19.38;12.0;7.5
Australia_NSWLeagueOne;Hurstville Zagreb;Canterbury Bankstown;58.06;MEDIA;22;Ranking gap: 0.183 | Attacco casa: 1.52/gara | Difesa trasferta subisce: 1.67/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.80;Hurstville Zagreb - Canterbury Bankstown;3.66;15.24;16.67;10.5;12.0
