PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;HG;AG;Goals;Over25;BTTS
2026-07-09;2.0.0;USA_USLLeagueTwo_Northeast_2026;30;NEFC;Albany Rush;NEFC - Albany Rush;85.75;ALTA;Ranking gap: 0.495 | Attacco casa: 2.38/gara | Difesa trasferta subisce: 2.67/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.80;9.9;23.85;;;25.0;15.0;12.0;;;;;;;;
2026-07-09;2.0.0;USA_USLLeagueTwo_Mountain_2026;25;Real Colorado;Flatirons;Real Colorado - Flatirons;84.83;ALTA;Ranking gap: 0.575 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.89;11.5;20.0;;;25.0;15.0;13.33;;;;;;;;
2026-07-09;2.0.0;USA_USLLeagueTwo_GreatLakes_2026;23;Midwest United;Union FC Macomb;Midwest United - Union FC Macomb;77.0;ALTA;Ranking gap: 0.375 | Attacco casa: 1.90/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 1.00;7.5;19.0;;;25.0;10.5;15.0;;;;;;;;
2026-07-09;2.0.0;Australia_NPLQueensland_2026;19;Peninsula;Wynnum Wolves;Peninsula - Wynnum Wolves;76.5;ALTA;Ranking gap: 0.300 | Attacco casa: 2.53/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.90;6.0;25.0;;;20.0;12.0;13.5;;;;;;;;
2026-07-09;2.0.0;Australia_VictoriaPremierLeague_2026;20;Brunswick Juventus;Western Utd. U21;Brunswick Juventus - Western Utd. U21;68.21;MEDIA-ALTA;Ranking gap: 0.255 | Attacco casa: 1.84/gara | Difesa trasferta subisce: 2.37/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.90;5.1;18.42;;;23.68;7.5;13.5;;;;;;;;
2026-07-09;2.0.0;Finland_Kakkonen_GroupB_2026;13;Abo;Ilves 2;Abo - Ilves 2;66.59;MEDIA-ALTA;Ranking gap: 0.138 | Attacco casa: 2.55/gara | Difesa trasferta subisce: 1.67/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.78;2.76;25.0;;;16.67;10.5;11.67;;;;;;;;
2026-07-09;2.0.0;Australia_QueenslandPremierLeague_2026;19;Holland Park Hawks;North Star;Holland Park Hawks - North Star;65.58;MEDIA-ALTA;Ranking gap: 0.138 | Attacco casa: 1.71/gara | Difesa trasferta subisce: 2.18/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.80;2.76;17.06;;;21.76;12.0;12.0;;;;;;;;
2026-07-09;2.0.0;Finland_Ykkonen_2026;15;Tampere Utd;SalPa;Tampere Utd - SalPa;64.38;MEDIA-ALTA;Ranking gap: 0.169 | Attacco casa: 2.15/gara | Difesa trasferta subisce: 1.85/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.90;3.38;21.54;;;18.46;7.5;13.5;;;;;;;;
2026-07-09;2.0.0;Australia_NPLQueensland_2026;19;Brisbane Roar U23;Rochedale;Brisbane Roar U23 - Rochedale;64.05;MEDIA-ALTA;Ranking gap: 0.045 | Attacco casa: 1.35/gara | Difesa trasferta subisce: 2.41/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.80;0.9;13.53;;;24.12;13.5;12.0;;;;;;;;
2026-07-09;2.0.0;Australia_VictoriaPremierLeague_2026;20;Langwarrin;Melbourne Victory U21;Langwarrin - Melbourne Victory U21;63.77;MEDIA-ALTA;Ranking gap: 0.124 | Attacco casa: 1.74/gara | Difesa trasferta subisce: 1.84/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.90;2.48;17.37;;;18.42;12.0;13.5;;;;;;;;
2026-07-09;2.0.0;Finland_Kakkonen_GroupC_2026;13;GBK Kokkola;JBK;GBK Kokkola - JBK;62.31;MEDIA-ALTA;Ranking gap: 0.127 | Attacco casa: 2.27/gara | Difesa trasferta subisce: 1.45/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.80;2.54;22.73;;;14.55;10.5;12.0;;;;;;;;
2026-07-09;2.0.0;Iceland_Division_1_2026;19;Leiknir;Grotta;Leiknir - Grotta;60.81;MEDIA-ALTA;Ranking gap: 0.071 | Attacco casa: 1.42/gara | Difesa trasferta subisce: 2.27/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.90;1.42;14.17;;;22.73;9.0;13.5;;;;;;;;
2026-07-09;2.0.0;Australia_VictoriaPremierLeague2_2026;20;Whittlesea United;Kingston City;Whittlesea United - Kingston City;58.92;MEDIA;Ranking gap: 0.173 | Attacco casa: 1.58/gara | Difesa trasferta subisce: 2.17/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.80;3.46;15.79;;;21.67;6.0;12.0;;;;;;;;
2026-07-09;2.0.0;Estonia_Meistriliiga_2026;19;Harju JK Laagri;Narva;Harju JK Laagri - Narva;57.29;MEDIA;Ranking gap: 0.084 | Attacco casa: 1.22/gara | Difesa trasferta subisce: 2.39/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.60;1.68;12.22;;;23.89;10.5;9.0;;;;;;;;
2026-07-09;2.0.0;Australia_VictoriaPremierLeague2_2026;20;Essendon Royals SC;Box Hill;Essendon Royals SC - Box Hill;57.11;MEDIA;Ranking gap: 0.134 | Attacco casa: 2.42/gara | Difesa trasferta subisce: 1.22/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.60;2.68;24.21;;;12.22;9.0;9.0;;;;;;;;
2026-07-09;2.0.0;Australia_NPLVictoria_2026;20;Oakleigh;Avondale FC;Oakleigh - Avondale FC;56.54;MEDIA;Ranking gap: 0.115 | Attacco casa: 2.16/gara | Difesa trasferta subisce: 1.32/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.90;2.3;21.58;;;13.16;6.0;13.5;;;;;;;;
2026-07-09;2.0.0;Somalia_NationalLeague_2026;19;Badbaado;Jazeera;Badbaado - Jazeera;56.49;MEDIA;Ranking gap: 0.041 | Attacco casa: 1.60/gara | Difesa trasferta subisce: 1.87/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.50;0.82;16.0;;;18.67;13.5;7.5;;;;;;;;
2026-07-09;2.0.0;Australia_NPLTasmania_2026;15;Glenorchy Knights;Kingborough Lions;Glenorchy Knights - Kingborough Lions;55.04;MEDIA;Ranking gap: 0.409 | Attacco casa: 1.29/gara | Difesa trasferta subisce: 1.00/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.90;8.18;12.86;;;10.0;10.5;13.5;;;;;;;;
2026-07-09;2.0.0;USA_USLLeagueTwo_Valley_2026;24;Dayton;West Virginia;Dayton - West Virginia;54.3;MEDIA;Ranking gap: 0.737 | Attacco casa: 1.22/gara | Difesa trasferta subisce: 1.00/gara | Over25 casa ultime10: 0.56 | Over25 trasferta ultime10: 0.60;14.74;12.22;;;10.0;8.33;9.0;;;;;;;;
2026-07-09;2.0.0;Kazakhstan_FirstLeague_2026;22;Shakhter K.;Turan;Shakhter K. - Turan;53.83;MEDIA;Ranking gap: 0.050 | Attacco casa: 2.92/gara | Difesa trasferta subisce: 0.83/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.70;1.0;25.0;;;8.33;9.0;10.5;;;;;;;;
2026-07-09;2.0.0;Iceland_Division_1_2026;19;IR Reykjavik;Throttur;IR Reykjavik - Throttur;53.64;MEDIA;Ranking gap: 0.207 | Attacco casa: 1.92/gara | Difesa trasferta subisce: 1.08/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.50;4.14;19.17;;;10.83;12.0;7.5;;;;;;;;
2026-07-09;2.0.0;Iceland_Division_1_2026;19;Aegir;Kopavogur;Aegir - Kopavogur;53.45;MEDIA;Ranking gap: 0.212 | Attacco casa: 1.15/gara | Difesa trasferta subisce: 1.67/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.60;4.24;11.54;;;16.67;12.0;9.0;;;;;;;;
2026-07-09;2.0.0;Finland_Ykkonen_2026;15;Inter Turku 2;Rovaniemi;Inter Turku 2 - Rovaniemi;53.29;MEDIA;Ranking gap: 0.226 | Attacco casa: 1.92/gara | Difesa trasferta subisce: 1.15/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.50;4.52;19.23;;;11.54;10.5;7.5;;;;;;;;
2026-07-09;2.0.0;Finland_Ykkosliiga_2026;14;PK-35;KaPa;PK-35 - KaPa;51.51;MEDIA;Ranking gap: 0.612 | Attacco casa: 1.27/gara | Difesa trasferta subisce: 1.45/gara | Over25 casa ultime10: 0.20 | Over25 trasferta ultime10: 0.60;12.24;12.73;;;14.55;3.0;9.0;;;;;;;;
2026-07-09;2.0.0;Australia_NPLTasmania_2026;15;Launceston United;Riverside Olympic;Launceston United - Riverside Olympic;51.13;MEDIA;Ranking gap: 0.232 | Attacco casa: 1.08/gara | Difesa trasferta subisce: 1.62/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.70;4.64;10.83;;;16.15;9.0;10.5;;;;;;;;
2026-07-09;2.0.0;Finland_Veikkausliiga_2026;17;VPS;SJK;VPS - SJK;50.75;MEDIA;Ranking gap: 0.216 | Attacco casa: 1.57/gara | Difesa trasferta subisce: 1.57/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.60;4.32;15.71;;;15.71;6.0;9.0;;;;;;;;
2026-07-09;2.0.0;Belarus_PershayaLiga_2026;15;FC Slonim;Niva Dolbizno;FC Slonim - Niva Dolbizno;49.7;MEDIA;Ranking gap: 0.010 | Attacco casa: 1.86/gara | Difesa trasferta subisce: 1.14/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.70;0.2;18.57;;;11.43;9.0;10.5;;;;;;;;
2026-07-09;2.0.0;Kazakhstan_FirstLeague_2026;22;Kaspij Aktau 2;Taraz;Kaspij Aktau 2 - Taraz;49.54;MEDIA;Ranking gap: 0.052 | Attacco casa: 1.25/gara | Difesa trasferta subisce: 1.50/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.80;1.04;12.5;;;15.0;9.0;12.0;;;;;;;;
2026-07-09;2.0.0;Australia_NPLVictoria_2026;20;Dandenong City;South Melbourne;Dandenong City - South Melbourne;49.25;MEDIA;Ranking gap: 0.036 | Attacco casa: 1.37/gara | Difesa trasferta subisce: 1.68/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.80;0.72;13.68;;;16.84;6.0;12.0;;;;;;;;
2026-07-09;2.0.0;Finland_Ykkosliiga_2026;14;KTP;JaPS;KTP - JaPS;48.17;MEDIA;Ranking gap: 0.501 | Attacco casa: 1.62/gara | Difesa trasferta subisce: 1.00/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.30;10.02;16.15;;;10.0;7.5;4.5;;;;;;;;
2026-07-09;2.0.0;Kazakhstan_FirstLeague_2026;22;Yelimay Semey 2;FC Astana 2;Yelimay Semey 2 - FC Astana 2;47.69;MEDIA;Ranking gap: 0.243 | Attacco casa: 0.67/gara | Difesa trasferta subisce: 1.67/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.80;4.86;6.67;;;16.67;7.5;12.0;;;;;;;;
2026-07-09;2.0.0;Australia_NSWLeagueOne_2026;23;Macarthur Rams;Bankstown City Lions;Macarthur Rams - Bankstown City Lions;46.95;MEDIA;Ranking gap: 0.045 | Attacco casa: 1.32/gara | Difesa trasferta subisce: 1.64/gara | Over25 casa ultime10: 0.30 | Over25 trasferta ultime10: 0.80;0.9;13.18;;;16.36;4.5;12.0;;;;;;;;
2026-07-09;2.0.0;Australia_VictoriaPremierLeague2_2026;20;Eastern Lions;Werribee City;Eastern Lions - Werribee City;44.94;BASSA;Ranking gap: 0.027 | Attacco casa: 1.56/gara | Difesa trasferta subisce: 1.68/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.40;0.54;15.56;;;16.84;6.0;6.0;;;;;;;;
2026-07-09;2.0.0;Kyrgyzstan_PremierLiga_2026;16;Asiagoal Bishkek;Bars;Asiagoal Bishkek - Bars;44.86;BASSA;Ranking gap: 0.143 | Attacco casa: 1.00/gara | Difesa trasferta subisce: 1.25/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.80;2.86;10.0;;;12.5;7.5;12.0;;;;;;;;
2026-07-09;2.0.0;Australia_NPLVictoria_2026;20;Green Gully;Altona Magic;Green Gully - Altona Magic;44.34;BASSA;Ranking gap: 0.129 | Attacco casa: 0.68/gara | Difesa trasferta subisce: 1.84/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.50;2.58;6.84;;;18.42;9.0;7.5;;;;;;;;
2026-07-09;2.0.0;Belarus_PershayaLiga_2026;15;Ostrovets;SKA-1938;Ostrovets - SKA-1938;43.18;BASSA;Ranking gap: 0.191 | Attacco casa: 1.21/gara | Difesa trasferta subisce: 1.07/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.60;3.82;12.14;;;10.71;7.5;9.0;;;;;;;;
2026-07-09;2.0.0;Kyrgyzstan_PremierLiga_2026;16;Alay Osh;Toktogul;Alay Osh - Toktogul;42.54;BASSA;Ranking gap: 0.134 | Attacco casa: 1.14/gara | Difesa trasferta subisce: 1.64/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.40;2.68;11.43;;;16.43;6.0;6.0;;;;;;;;
2026-07-09;2.0.0;Australia_VictoriaPremierLeague_2026;20;Northcote City;Melbourne Knights;Northcote City - Melbourne Knights;41.9;BASSA;Ranking gap: 0.029 | Attacco casa: 1.79/gara | Difesa trasferta subisce: 0.84/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.60;0.58;17.89;;;8.42;6.0;9.0;;;;;;;;
2026-07-09;2.0.0;Australia_NPLVictoria_2026;20;Preston Lions;Hume City;Preston Lions - Hume City;41.57;BASSA;Ranking gap: 0.047 | Attacco casa: 1.56/gara | Difesa trasferta subisce: 1.16/gara | Over25 casa ultime10: 0.20 | Over25 trasferta ultime10: 0.70;0.94;15.56;;;11.58;3.0;10.5;;;;;;;;
2026-07-09;2.0.0;Belarus_VysshayaLiga_2026;15;Dnepr Mogilev;FC Minsk;Dnepr Mogilev - FC Minsk;38.25;BASSA;Ranking gap: 0.091 | Attacco casa: 0.79/gara | Difesa trasferta subisce: 1.36/gara | Over25 casa ultime10: 0.30 | Over25 trasferta ultime10: 0.70;1.82;7.86;;;13.57;4.5;10.5;;;;;;;;
2026-07-09;2.0.0;Kazakhstan_FirstLeague_2026;22;FC Batyr;Kairat Almaty 2;FC Batyr - Kairat Almaty 2;38.17;BASSA;Ranking gap: 0.175 | Attacco casa: 1.25/gara | Difesa trasferta subisce: 0.42/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.80;3.5;12.5;;;4.17;6.0;12.0;;;;;;;;
2026-07-09;2.0.0;Bolivia_DivisionProfesional_2026;12;Nacional Potosi;Aurora;Nacional Potosi - Aurora;37.48;BASSA;Ranking gap: 0.084 | Attacco casa: 1.29/gara | Difesa trasferta subisce: 0.88/gara | Over25 casa ultime10: 0.57 | Over25 trasferta ultime10: 0.38;1.68;12.86;;;8.75;8.57;5.62;;;;;;;;
2026-07-09;2.0.0;Iceland_Division_1_2026;19;Njardvik;Grindavik;Njardvik - Grindavik;36.62;BASSA;Ranking gap: 0.102 | Attacco casa: 1.17/gara | Difesa trasferta subisce: 1.09/gara | Over25 casa ultime10: 0.40 | Over25 trasferta ultime10: 0.40;2.04;11.67;;;10.91;6.0;6.0;;;;;;;;
2026-07-09;2.0.0;Kyrgyzstan_PremierLiga_2026;16;Ilbirs;Ozgon;Ilbirs - Ozgon;36.45;BASSA;Ranking gap: 0.184 | Attacco casa: 1.08/gara | Difesa trasferta subisce: 1.00/gara | Over25 casa ultime10: 0.30 | Over25 trasferta ultime10: 0.50;3.68;10.77;;;10.0;4.5;7.5;;;;;;;;
2026-07-09;2.0.0;Kyrgyzstan_PremierLiga_2026;16;Bishkek City;Muras United;Bishkek City - Muras United;32.22;BASSA;Ranking gap: 0.163 | Attacco casa: 1.00/gara | Difesa trasferta subisce: 0.85/gara | Over25 casa ultime10: 0.30 | Over25 trasferta ultime10: 0.40;3.26;10.0;;;8.46;4.5;6.0;;;;;;;;
