MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-07-12;USA_USLLeagueTwo_MidAtlantic;Ocean City;Eagle FC;94.76;ALTA;29;2026-07-12;Ranking gap: 0.963 | Attacco casa: 3.00/gara | Difesa trasferta subisce: 2.92/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.90;19.26;25.0;;;25.0;12.0;13.5;;;;2.0.0
2026-07-12;USA_USLLeagueTwo_GreatLakes;Flint City;Union FC Macomb;92.64;ALTA;23;2026-07-12;Ranking gap: 0.782 | Attacco casa: 2.80/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 1.00;15.64;25.0;;;25.0;12.0;15.0;;;;2.0.0
2026-07-12;USA_USLLeagueTwo_Ranger;Denton Diablos;Fort Worth Vaqueros;88.14;ALTA;21;2026-07-12;Ranking gap: 0.907 | Attacco casa: 2.30/gara | Difesa trasferta subisce: 3.44/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.67;18.14;23.0;;;25.0;12.0;10.0;;;;2.0.0
2026-07-12;USA_USLLeagueTwo_GreatPlains;Peoria;Springfield FC;86.7;ALTA;20;2026-07-12;Ranking gap: 0.860 | Attacco casa: 2.20/gara | Difesa trasferta subisce: 3.10/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.90;17.2;22.0;;;25.0;9.0;13.5;;;;2.0.0
2026-07-12;USA_USLLeagueTwo_Chesapeake;Hill City;Virginia Marauders;81.38;ALTA;27;2026-07-12;Ranking gap: 0.465 | Attacco casa: 2.31/gara | Difesa trasferta subisce: 3.23/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.80;9.3;23.08;;;25.0;12.0;12.0;;;;2.0.0
2026-07-12;USA_USLLeagueTwo_Chesapeake;Loudoun 2;Northern Virginia;80.57;ALTA;27;2026-07-12;Ranking gap: 0.462 | Attacco casa: 2.62/gara | Difesa trasferta subisce: 2.08/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.80;9.24;25.0;;;20.83;13.5;12.0;;;;2.0.0
2026-07-12;USA_USLLeagueTwo_Northeast;Black Rock;Boston City;79.43;ALTA;30;2026-07-12;Ranking gap: 0.714 | Attacco casa: 1.62/gara | Difesa trasferta subisce: 3.77/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.90;14.28;16.15;;;25.0;10.5;13.5;;;;2.0.0
2026-07-12;USA_USLLeagueTwo_NorCal;Almaden;Davis Legacy;78.98;ALTA;28;2026-07-12;Ranking gap: 0.574 | Attacco casa: 2.00/gara | Difesa trasferta subisce: 2.54/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.90;11.48;20.0;;;25.0;9.0;13.5;;;;2.0.0
2026-07-12;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Manhattan;78.89;ALTA;26;2026-07-12;Ranking gap: 0.549 | Attacco casa: 2.30/gara | Difesa trasferta subisce: 2.09/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.90;10.98;23.0;;;20.91;10.5;13.5;;;;2.0.0
2026-07-12;Australia_NPLQueenslandU23;Gold Coast Knights U23;Brisbane City U23;78.6;ALTA;19;2026-07-12;Ranking gap: 0.305 | Attacco casa: 2.62/gara | Difesa trasferta subisce: 2.76/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.70;6.1;25.0;;;25.0;12.0;10.5;;;;2.0.0
