LeagueId;Round;Home;Away;Match;Score;Band;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent;Reason
USA_USLLeagueTwo_Northwest_2026;20260629;Portland Bangers;Bigfoot;Portland Bangers - Bigfoot;81.86;ALTA;14.08;17.78;25.0;11.67;13.33;Ranking gap: 0.704 | Attacco casa: 1.78/gara | Difesa trasferta subisce: 3.33/gara | Over25 casa ultime10: 0.78 | Over25 trasferta ultime10: 0.89
USA_USLLeagueTwo_Mountain_2026;20260629;Atletico Union;Real Colorado;Atletico Union - Real Colorado;79.0;ALTA;7.12;18.75;25.0;13.12;15.0;Ranking gap: 0.356 | Attacco casa: 1.88/gara | Difesa trasferta subisce: 2.67/gara | Over25 casa ultime10: 0.88 | Over25 trasferta ultime10: 1.00
USA_USLLeagueTwo_Northeast_2026;20260629;Albany Rush;Boston Bolts;Albany Rush - Boston Bolts;76.55;ALTA;8.2;18.18;23.33;13.5;13.33;Ranking gap: 0.410 | Attacco casa: 1.82/gara | Difesa trasferta subisce: 2.33/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.89
USA_USLLeagueTwo_NorCal_2026;20260629;Academica SC;Marin;Academica SC - Marin;74.44;MEDIA-ALTA;6.66;17.78;25.0;10.0;15.0;Ranking gap: 0.333 | Attacco casa: 1.78/gara | Difesa trasferta subisce: 3.44/gara | Over25 casa ultime10: 0.67 | Over25 trasferta ultime10: 1.00
USA_USLLeagueTwo_Northwest_2026;20260629;Tacoma Stars;West Seattle Junction;Tacoma Stars - West Seattle Junction;73.57;MEDIA-ALTA;10.24;21.11;18.89;10.0;13.33;Ranking gap: 0.512 | Attacco casa: 2.11/gara | Difesa trasferta subisce: 1.89/gara | Over25 casa ultime10: 0.67 | Over25 trasferta ultime10: 0.89
Iceland_Division_1_2026;17;Afturelding;Aegir;Afturelding - Aegir;72.25;MEDIA-ALTA;3.58;25.0;20.0;11.67;12.0;Ranking gap: 0.179 | Attacco casa: 2.56/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.78 | Over25 trasferta ultime10: 0.80
USA_USLLeagueTwo_SouthFlorida_2026;16;Miami;Brevard SC;Miami - Brevard SC;68.39;MEDIA-ALTA;9.5;14.44;24.44;8.33;11.67;Ranking gap: 0.475 | Attacco casa: 1.44/gara | Difesa trasferta subisce: 2.44/gara | Over25 casa ultime10: 0.56 | Over25 trasferta ultime10: 0.78
USA_USLLeagueTwo_MidAtlantic_2026;20260629;West Chester Utd;LVU Rush;West Chester Utd - LVU Rush;61.98;MEDIA-ALTA;11.92;15.56;11.0;10.0;13.5;Ranking gap: 0.596 | Attacco casa: 1.56/gara | Difesa trasferta subisce: 1.10/gara | Over25 casa ultime10: 0.67 | Over25 trasferta ultime10: 0.90
Iceland_BestaDeildKarla_2026;17;Akranes;Fram;Akranes - Fram;59.6;MEDIA;2.24;14.55;21.82;9.0;12.0;Ranking gap: 0.112 | Attacco casa: 1.45/gara | Difesa trasferta subisce: 2.18/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.80
USA_USLLeagueTwo_Mountain_2026;20260629;Albion Colorado;Colorado Storm;Albion Colorado - Colorado Storm;57.52;MEDIA;7.7;25.0;2.86;11.25;10.71;Ranking gap: 0.385 | Attacco casa: 2.50/gara | Difesa trasferta subisce: 0.29/gara | Over25 casa ultime10: 0.75 | Over25 trasferta ultime10: 0.71
USA_USLLeagueTwo_LoneStar_2026;20260629;Hill Country Lobos;Lonestar SC;Hill Country Lobos - Lonestar SC;56.75;MEDIA;10.08;14.44;12.22;11.67;8.33;Ranking gap: 0.504 | Attacco casa: 1.44/gara | Difesa trasferta subisce: 1.22/gara | Over25 casa ultime10: 0.78 | Over25 trasferta ultime10: 0.56
USA_USLLeagueTwo_SouthCentral_2026;18;Swarm FC;Dothan United;Swarm FC - Dothan United;56.41;MEDIA;7.24;25.0;5.0;11.67;7.5;Ranking gap: 0.362 | Attacco casa: 2.67/gara | Difesa trasferta subisce: 0.50/gara | Over25 casa ultime10: 0.78 | Over25 trasferta ultime10: 0.50
Finland_Ykkonen_2026;13;VJS;TPV;VJS - TPV;54.59;MEDIA;2.0;17.0;19.09;7.5;9.0;Ranking gap: 0.100 | Attacco casa: 1.70/gara | Difesa trasferta subisce: 1.91/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.60
USA_USLLeagueTwo_SouthFlorida_2026;16;Weston;Lakeland United;Weston - Lakeland United;52.59;MEDIA;8.66;12.86;15.0;8.57;7.5;Ranking gap: 0.433 | Attacco casa: 1.29/gara | Difesa trasferta subisce: 1.50/gara | Over25 casa ultime10: 0.57 | Over25 trasferta ultime10: 0.50
USA_USLLeagueTwo_SouthAtlantic_2026;20260629;Asheville City;Charlotte Independ. 2;Asheville City - Charlotte Independ. 2;48.15;MEDIA;8.7;19.0;5.45;7.5;7.5;Ranking gap: 0.435 | Attacco casa: 1.90/gara | Difesa trasferta subisce: 0.55/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.50
