LeagueId;MatchDate;Home;Away
Australia_NPLACT;2026-08-12;Brindabella;Tuggeranong Utd
Australia_NPLNorthernNSW;2026-08-12;Charlestown Azzurri;Edgeworth E.
Australia_NPLNorthernNSW;2026-08-12;Kahibah;Maitland
Australia_NPLNorthernNSW;2026-08-12;Weston Bears;Adamstown Rosebud
Germany_Regionalliga_Nord;2026-08-12;Bremer;Phonix Lubeck
Germany_Regionalliga_Nord;2026-08-12;Eimsbutteler;Schoningen
Germany_Regionalliga_Nord;2026-08-12;Hannoverscher SC;Delmenhorst
Germany_Regionalliga_Nord;2026-08-12;Jeddeloh;St. Pauli II
Germany_Regionalliga_Nord;2026-08-12;Norderstedt;Emden
Germany_Regionalliga_Nord;2026-08-12;Amburgo II;Todesfelde
Germany_Regionalliga_Nord;2026-08-12;Drochtersen/Assel;Hannover II
Germany_Oberliga_Bremen;2026-08-12;Aumund-Vegesack;BTS Neustadt
Germany_Oberliga_Bremen;2026-08-12;Eiche Horn;Grohn
Germany_Oberliga_Bremen;2026-08-12;Hemelingen;Leher
Germany_Oberliga_Bremen;2026-08-12;Vatan Bremen;Geestemunde
Germany_Oberliga_Hessen;2026-08-12;Fernwald;Pohlheim
Germany_Oberliga_Hessen;2026-08-12;Giessen;Hadamar
Germany_Oberliga_Hessen;2026-08-12;CSC 03 Kassel;Baunatal
Germany_Oberliga_Hessen;2026-08-12;Hanauer SC;Alzenau
Germany_Oberliga_Hessen;2026-08-12;Kassel 2;Hunfelder
Germany_Oberliga_Hessen;2026-08-12;RW Walldorf;Darmstadt U21
Germany_Oberliga_Hessen;2026-08-12;VfB Marburg;Stadtallendorf
Germany_Oberliga_Hessen;2026-08-12;Eddersheim;Friedberg
Germany_Oberliga_Hessen;2026-08-12;Hummetroth;Unter-Flockenbach
Germany_Oberliga_RheinlandPfalzSaar;2026-08-12;Schott Mainz;Cosmos Koblenz
Somalia_NationalLeague;2026-08-12;Jeenyo;Jazeera
Somalia_NationalLeague;2026-08-12;Jubba;Gantaalaha Afgooye
Finland_Kolmonen_Southern_Group1;2026-08-12;LoPa;MPS
Finland_Kolmonen_Eastern_Group1;2026-08-12;JJK/2;Jyväskylän Seudun Palloseura
Finland_Kolmonen_Eastern_Group2;2026-08-12;PK-37;NiemU
Finland_Kolmonen_Western_Group3;2026-08-12;KPV/Akatemia;Sp. Kristina
Finland_Kolmonen_Eastern_Group3;2026-08-12;STPS;MiPK
Finland_Kolmonen_Eastern_Group3;2026-08-12;LAUTP;KJP
Finland_Kolmonen_Southern_Group1;2026-08-12;Gilla;Etelä-Espoon Pallo
Sweden_Division2_Norrland;2026-08-12;Gottne;IFK Ostersund
Sweden_Division2_Norrland;2026-08-12;IFK Lulea;Boden
Sweden_Division2_Norrland;2026-08-12;Lucksta;Kubikenborgs IF
Sweden_Division2_Norrland;2026-08-12;Taftea IK;Skelleftea
