LeagueId;Home;Away
Finland_Ykkosliiga;KaPa;JaPS
Finland_Ykkonen;KPV;Keski-Uusimaa
Finland_Ykkonen;OLS Oulu;KuPS Akatemia
Iceland_BestaDeildKarla;Hafnarfjordur;Vestmannaeyjar
Iceland_BestaDeildKarla;Keflavik;KR Reykjavik
Iceland_BestaDeildKarla;Stjarnan;Akureyri
Iceland_BestaDeildKarla;Thor Akureyri;Valur
Norway_2ndDivision_Group1;Sotra;Jerv
Norway_2ndDivision_Group2;Skeid;Trygg/Lade
Norway_2ndDivision_Group2;Follo;Levanger
Norway_2ndDivision_Group2;Stjordals Blink;Junkeren
Norway_3rdDivision_Group1;K. Oslo 2;Heming
Norway_3rdDivision_Group3;Varegg;V. Haugesund
Norway_3rdDivision_Group4;Brodd;Haugesund 2
Norway_3rdDivision_Group4;Vindbjart;Stabaek 2
Norway_3rdDivision_Group4;Varhaug;Odd 2
Norway_3rdDivision_Group5;Lillestrom 2;Tromsø 2
Norway_3rdDivision_Group6;Rade;Lyn 2
Sweden_Superettan;Landskrona;Värnamo
Sweden_Superettan;Norrkoping;Norrby
Sweden_Superettan;Sandviken;Helsingborg
Sweden_Division1_Norra;Umeå;Jarfalla
Sweden_Division2_SodraGotaland;Linero IF;IFK Karlshamn
Sweden_Division2_SodraSvealand;Orebro Syr.;Syrianska
Sweden_Division2_SodraSvealand;Ragsved;Forward
Sweden_Division2_SodraSvealand;Karlslund;Fittja
USA_USLLeagueTwo_GreatForest;Erie Sports Center;Pittsburgh Riverhounds 2
USA_USLLeagueTwo_MidAtlantic;Philadelphia Lone Star;Ocean City
USA_USLLeagueTwo_Northeast;Seacoast Utd Phantoms;Black Rock
USA_USLLeagueTwo_NorCal;Glens SC;San Francisco City
