LeagueId;Home;Away
Iceland_Division_2;Haukar;Kari
Sweden_Division1_Sodra;Eskilsminne;Kristianstad
Sweden_Division2_NorraGotaland;Husqvarna;Lidkoping
USA_USLLeagueOne;Charlotte Independ.;Corpus Christi FC
USA_USLLeagueTwo_LoneStar;Houston FC;Twin City Toucans
USA_USLLeagueTwo_NorCal;Glens SC;San Juan
USA_USLLeagueTwo_NorCal;Project 51O;San Francisco City
USA_USLLeagueTwo_Northeast;NEFC;Vermont Green
USA_USLLeagueTwo_SouthAtlantic;Asheville City;SC United Bantams
Latvia_Virsliga;Tukums 2000;Super Nova
Lithuania_ILyga;Siauliai 2;Tauras
Lithuania_ILyga;Atmosfera;BE1 NFA
