LeagueId;Home;Away
Australia_NPLQueensland;Brisbane Roar U23;Rochedale
Australia_NPLQueensland;Peninsula;Wynnum Wolves
Australia_NPLTasmania;Glenorchy Knights;Kingborough Lions
Australia_NPLTasmania;Launceston United;Riverside Olympic
Australia_NPLVictoria;Green Gully;Altona Magic
Australia_NPLVictoria;Dandenong City;South Melbourne
Australia_NPLVictoria;Oakleigh;Avondale FC
Australia_NPLVictoria;Preston Lions;Hume City
Australia_NSWLeagueOne;Macarthur Rams;Bankstown City Lions
Australia_QueenslandPremierLeague;Holland Park Hawks;North Star
Australia_VictoriaPremierLeague;Brunswick Juventus;Western Utd. U21
Australia_VictoriaPremierLeague;Langwarrin;Melbourne Victory U21
Australia_VictoriaPremierLeague;Northcote City;Melbourne Knights
Australia_VictoriaPremierLeague2;Eastern Lions;Werribee City
Australia_VictoriaPremierLeague2;Essendon Royals SC;Box Hill
Australia_VictoriaPremierLeague2;Whittlesea United;Kingston City
Belarus_VysshayaLiga;Dnepr Mogilev;FC Minsk
Belarus_PershayaLiga;FC Slonim;Niva Dolbizno
Belarus_PershayaLiga;Ostrovets;SKA-1938
Bolivia_DivisionProfesional;Nacional Potosi;Aurora
Estonia_Meistriliiga;Harju JK Laagri;Narva
Finland_Veikkausliiga;VPS;SJK
Finland_Ykkosliiga;KTP;JaPS
Finland_Ykkosliiga;PK-35;KaPa
Finland_Ykkonen;Inter Turku 2;Rovaniemi
Finland_Ykkonen;Tampere Utd;SalPa
Finland_Kakkonen_GroupB;Abo;Ilves 2
Finland_Kakkonen_GroupC;GBK Kokkola;JBK
Iceland_Division_1;Aegir;Kopavogur
Iceland_Division_1;IR Reykjavik;Throttur
Iceland_Division_1;Leiknir;Grotta
Iceland_Division_1;Njardvik;Grindavik
Kazakhstan_FirstLeague;FC Batyr;Kairat Almaty 2
Kazakhstan_FirstLeague;Yelimay Semey 2;FC Astana 2
Kazakhstan_FirstLeague;Kaspij Aktau 2;Taraz
Kazakhstan_FirstLeague;Shakhter K.;Turan
Kyrgyzstan_PremierLiga;Alay Osh;Toktogul
Kyrgyzstan_PremierLiga;Asiagoal Bishkek;Bars
Kyrgyzstan_PremierLiga;Bishkek City;Muras United
Kyrgyzstan_PremierLiga;Ilbirs;Ozgon
Somalia_NationalLeague;Badbaado;Jazeera
USA_USLLeagueTwo_Valley;Dayton;West Virginia
USA_USLLeagueTwo_GreatLakes;Midwest United;Union FC Macomb
USA_USLLeagueTwo_Northeast;NEFC;Albany Rush
USA_USLLeagueTwo_Mountain;Real Colorado;Flatirons
