LeagueId;MatchDate;Home;Away
Armenia_FirstLeague;2026-09-22;Ararat 2;Pyunik 2
Armenia_FirstLeague;2026-09-22;Bentonit;Mika
Armenia_FirstLeague;2026-09-22;Sardarapat 2;Ararat-Armenia 2
Austria_Regionalliga_East;2026-09-22;Traiskirchen;Kremser
Austria_Regionalliga_South;2026-09-22;A. Klagenfurt;Donau Klagenfurt
Bhutan_PremierLeague;2026-09-22;RTC;Tsirang
Bosnia_PrvaLiga_RS;2026-09-22;Leotar;Famos Vojkovici
Norway_3rdDivision_Group5;2026-09-22;Skjetten;Skjervoy
Paraguay_DivisionIntermedia;2026-09-22;Encarnacion FC;Dep. Capiata
Romania_Liga2;2026-09-22;CSC Dumbravita;CSM Resita
Romania_Liga2;2026-09-22;FC ASA Tg. Mures;CS Din. Bucuresti
England_NPLPremierDivision;2026-09-24;Cleethorpes;Redcar Athletic
England_NPLPremierDivision;2026-09-24;Leek;Hyde
England_SouthernLeaguePremierCentral;2026-09-24;Anstey Nomads;Alvechurch
England_SouthernLeaguePremierCentral;2026-09-24;Bury Town;Hitchin
England_SouthernLeaguePremierCentral;2026-09-24;Leiston;Peterborough Sports
England_SouthernLeaguePremierCentral;2026-09-24;Rushall;Kettering
England_SouthernLeaguePremierCentral;2026-09-24;Stourbridge;Real Bedford
England_SouthernLeaguePremierCentral;2026-09-24;Stratford;Bromsgrove
England_SouthernLeaguePremierCentral;2026-09-24;Worcester;Banbury
England_SouthernLeaguePremierSouth;2026-09-24;Berkhamsted;Hanworth
England_SouthernLeaguePremierSouth;2026-09-24;Chichester;Chertsey
England_SouthernLeaguePremierSouth;2026-09-24;Malvern Town;Gloucester
England_SouthernLeaguePremierSouth;2026-09-24;Plymouth Parkway;Frome
England_SouthernLeaguePremierSouth;2026-09-24;Taunton;Bath
England_IsthmianLeaguePremierDivision;2026-09-24;Brentwood;Maldon & Tiptree
England_IsthmianLeaguePremierDivision;2026-09-24;Three Bridges;Leatherhead
England_ProfessionalDevelopmentLeague;2026-09-24;Bristol City U21;Hull U21
England_ProfessionalDevelopmentLeague;2026-09-24;Charlton U21;Sheffield Utd U21
England_ProfessionalDevelopmentLeague;2026-09-24;Wigan U21;Coventry U21
