MatchDate;LeagueId;Home;Away
2026-09-05;Armenia_PremierLeague;Ararat;Ararat-Armenia
2026-09-05;Austria_Regionalliga_East;Wiener Viktoria;Warth
2026-09-05;Austria_Regionalliga_West;Tirol (Am);Lochau
2026-09-05;Austria_Regionalliga_West;Reichenau;FC Lustenau
2026-09-05;Austria_Regionalliga_West;Hohenems;Schwaz
2026-09-05;Austria_Regionalliga_West;Dornbirn;Fugen
2026-09-05;Austria_Karnten;Saint Michael Lavanttal;SAK Klagenfurt
2026-09-05;Austria_Tirol;Absam;Telfs
2026-09-05;Austria_Tirol;Innsbrucker AC;FC Volders
2026-09-05;Austria_Tirol;Munster;FC Natters
2026-09-05;Austria_Tirol;SC Mils 05;Stubai
2026-09-05;Belarus_VysshayaLiga;Zhodino;Gomel
2026-09-05;Belarus_PershayaLiga;Osipovichi;Lida
2026-09-05;Belarus_PershayaLiga;BumProm Gomel;SKA-1938
2026-09-05;Belarus_PershayaLiga;Uni X Labs;Soligorsk
2026-09-05;Bolivia_DivisionProfesional;Guabira;Real Potosi
2026-09-05;Bolivia_DivisionProfesional;Aurora;GV San Jose
2026-09-05;Bulgaria_ParvaLiga;Spartak Varna;CSKA Sofia
2026-09-05;Bulgaria_ParvaLiga;Levski;CSKA 1948 Sofia
2026-09-05;Denmark_Superliga;Aarhus;Silkeborg
2026-09-05;Denmark_1stDivision;AB Copenhagen;Aalborg
2026-09-05;Denmark_1stDivision;Fredericia;Esbjerg
2026-09-05;Denmark_3rdDivision;Ishoj;Holbaek
2026-09-05;Denmark_3rdDivision;Sundby;ASA Aarhus
2026-09-05;Denmark_3rdDivision;Holstebro;Vanløse
2026-09-05;Denmark_3rdDivision;Næsby;Horsholm-Usserod
2026-09-05;Estonia_Meistriliiga;Kuressaare;Narva
2026-09-05;Estonia_Meistriliiga;Parnu JK Vaprus;Nomme Utd
2026-09-05;Estonia_Meistriliiga;Flora;Kalju
2026-09-05;Estonia_Esiliiga;Tallinna Kalev;Tartu Welco
2026-09-05;Estonia_EsiliigaB;Tulevik;Legion
2026-09-05;Estonia_EsiliigaB;Tabasalu;Tammeka U21
2026-09-05;France_Ligue1;Lens;Lorient
2026-09-05;France_Ligue1;Le Havre;Brest
2026-09-05;France_Ligue1;Nizza;Le Mans
2026-09-05;France_Ligue2;Metz;Rodez
