LeagueId;Home;Away
Iceland_BestaDeildKarla;Keflavik;Fram
Latvia_Virsliga;Super Nova;Ogre United
Lithuania_Toplyga;Suduva;Transinvest
Sweden_Allsvenskan;Brommapojkarna;GAIS
Sweden_Allsvenskan;Hacken;Djurgarden
USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B
USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II
USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2
USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs
USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2
USA_USLLeagueOne;AV Alta;Charlotte Independ.
USA_USLLeagueTwo_SouthAtlantic;North Carolina FC U23;Asheville City
USA_USLLeagueTwo_NorCal;San Francisco City;Academica SC
USA_USLLeagueTwo_Northwest;Bigfoot;Portland Bangers
USA_USLLeagueTwo_Chesapeake;Christos;Loudoun 2
USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana
USA_USLLeagueTwo_SouthCentral;East Atlanta;Birmingham 2
USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC
USA_USLLeagueTwo_NorCal;Marin;Glens SC
USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent
USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City
