LeagueId;Home;Away
Australia_NPLNorthernNSW;Kahibah;Maitland
Bhutan_PremierLeague;Paro;Tensung
Finland_Kakkonen_GroupC;Jaro 2;SJK Akatemia 2
Kyrgyzstan_PremierLiga;Alay Osh;Toktogul
Kyrgyzstan_PremierLiga;Alga;Dordoi Bishkek
USA_MLSNextPro_WesternConference_PacificDivision;Vancouver 2;Ventura County
USA_MLSNextPro_WesternConference_PacificDivision;San Jose Earthquakes II;Sporting Kansas City II
USA_USLLeagueTwo_Valley;West Virginia;Louisville City 2
USA_USLLeagueTwo_Northeast;AC Connecticut;Western Mass Pioneers
USA_USLLeagueTwo_GreatForest;Akron City;Pittsburgh Riverhounds 2
USA_USLLeagueTwo_Chesapeake;Christos;Loudoun 2
USA_USLLeagueTwo_NorCal;Glens SC;Almaden
USA_USLLeagueTwo_Northeast;NEFC;Boston City
USA_USLLeagueTwo_GreatLakes;Union FC Macomb;Ann Arbor
USA_USLLeagueTwo_Northeast;Vermont Green;Connecticut Rush
USA_USLLeagueTwo_Metropolitan;Hudson Valley;Motown 2
USA_USLLeagueTwo_GreatPlains;Springfield FC;Menace
USA_USLLeagueTwo_GreatPlains;Sunflower State;Peoria
USA_USLLeagueTwo_Ranger;Texoma;Denton Diablos
USA_USLLeagueTwo_Mountain;Real Colorado;Albion Colorado
USA_USLLeagueTwo_Mountain;Colorado Storm;Atletico Union
USA_USLLeagueTwo_Northwest;Tacoma Stars;Midlakes United
USA_USLLeagueTwo_Southwest;Capo;Southern California
USA_USLLeagueTwo_MidAtlantic;Delaware;Eagle FC
Bolivia_DivisionProfesional;Real Oruro;Universitario de Vinto
Bolivia_DivisionProfesional;Real Potosi;Academia del Balompie
