LeagueId;MatchDate;Home;Away
Armenia_PremierLeague;2026-08-07;Ararat;Sardarapat
Armenia_PremierLeague;2026-08-07;Ararat-Armenia;Urartu
Australia_NPLQueensland;2026-08-07;Queensland Lions;Brisbane Roar U23
Australia_NPLSouthAustralia;2026-08-07;Adelaide Comets;NE Metrostars
Australia_NPLSouthAustralia;2026-08-07;Adelaide City;Playford Patriots
Australia_NPLSouthAustralia;2026-08-07;Campbelltown City;FK Beograd
Australia_NPLSouthAustralia;2026-08-07;West Torrens;West Adelaide
Australia_NSWLeagueOne;2026-08-07;Prospect United;Western City Rangers
Australia_NSWLeagueOne;2026-08-07;Blacktown Spartans;Inter Lions
Australia_SAStateLeague;2026-08-07;Adelaide Croatia Raiders;Cove FC
Australia_TasmaniaSouthernChampionship;2026-08-07;Glenorchy Knights U21;Hobart Utd.
Australia_TasmaniaSouthernChampionship;2026-08-07;Olympia Warriors;Clarence Zebras U21
Australia_VictoriaPremierLeague2;2026-08-07;Bayside Argonauts;Box Hill
Austria_Bundesliga;2026-08-07;Altach;Tirol
Austria_2Liga;2026-08-07;Liefering;Hertha Wels
Austria_2Liga;2026-08-07;St. Polten;Austria (Am)
Austria_2Liga;2026-08-07;BW Linz;Innsbruck
Austria_Regionalliga_East;2026-08-07;Gloggnitz;Kremser
Austria_Regionalliga_East;2026-08-07;Marchfeld;Leobendorf
Austria_Regionalliga_East;2026-08-07;Parndorf;SV Donau
Austria_Regionalliga_East;2026-08-07;Favoritner;Wiener Viktoria
Austria_Regionalliga_East;2026-08-07;Horn;Wienerberger
Austria_Regionalliga_East;2026-08-07;SV Oberwart;Warth
Austria_Regionalliga_East;2026-08-07;Traiskirchen;Donaufeld Wien
Austria_Regionalliga_West;2026-08-07;Hohenems;FC Lustenau
Austria_Regionalliga_West;2026-08-07;Reichenau;Tirol (Am)
Austria_Regionalliga_West;2026-08-07;Kufstein;Lochau
Austria_Regionalliga_South;2026-08-07;Deutschlandsberger;Allerheiligen
Austria_Regionalliga_South;2026-08-07;Gleisdorf;Hartberg (Am)
Austria_Regionalliga_South;2026-08-07;Lafnitz;Weiz
Austria_Regionalliga_South;2026-08-07;Tillmitsch;Kalsdorf
Austria_Regionalliga_South;2026-08-07;Volkermarkt;Atus Velden
Austria_Regionalliga_South;2026-08-07;A. Klagenfurt;Treibach
