LeagueId;Home;Away
Finland_Veikkausliiga;Ilves;SJK
Finland_Veikkausliiga;HJK;KuPS
Finland_Veikkausliiga;Mariehamn;Inter Turku
Finland_Veikkausliiga;Gnistan;VPS
Finland_Veikkausliiga;TPS Turku;Jaro
Finland_Veikkausliiga;Oulu;Lahti
Iceland_Division_1;Throttur;Vestri
Iceland_Division_1;Volsungur;Grotta
Iceland_Division_2;Dalvik/Reynir;KFA
Iceland_Division_2;Kormakur/Hvot;Hviti
Iceland_Division_2;Olafsvik;KFG Gardabaer
Iceland_Division_2;Kari;Magni
Norway_OBOSLigaen;Åsane;Ranheim
Norway_OBOSLigaen;Haugesund;Kongsvinger
Norway_OBOSLigaen;Lyn;Hodd
Norway_OBOSLigaen;Sandnes;Raufoss
Norway_OBOSLigaen;Stabaek;Bryne
Norway_OBOSLigaen;Strømmen;Moss
Norway_OBOSLigaen;Strömsgodset;Odd
Norway_OBOSLigaen;Sogndal;Egersund
Norway_2ndDivision_Group1;Traeff;Eik-Tonsberg
Norway_2ndDivision_Group1;Lysekloster;Brattvag
Norway_2ndDivision_Group1;Vidar;Halden
Norway_2ndDivision_Group1;Mjondalen;Bjarg
Norway_2ndDivision_Group1;Pors;Arendal
Norway_2ndDivision_Group1;Sandviken;Notodden
Norway_2ndDivision_Group2;Ull/Kisa;Rana FK
Norway_2ndDivision_Group2;Kjelsås;Honefoss
Norway_2ndDivision_Group2;Lørenskog;Grorud
Norway_3rdDivision_Group1;Grei;Nordstrand
Norway_3rdDivision_Group1;Asker;Ullern
Norway_3rdDivision_Group1;Frigg;Baerum Sportsklubb
Norway_3rdDivision_Group2;FK Kvik;Volda TI
Norway_3rdDivision_Group2;Herd;Ntnui
Norway_3rdDivision_Group2;Orkla;Molde 2
Norway_3rdDivision_Group2;Ranheim 2;Nardo
Norway_3rdDivision_Group2;Rosenborg 2;Spjelkavik
Norway_3rdDivision_Group2;Byåsen;Aalesund 2
Norway_3rdDivision_Group3;Sogndal 2;Stord
Norway_3rdDivision_Group3;Brann 2;Fana
Norway_3rdDivision_Group3;Djerv 1919;Gneist
Norway_3rdDivision_Group3;Askoy;Forde
Norway_3rdDivision_Group4;Madla IL;Mandalskameratene
Norway_3rdDivision_Group5;Fauske Sprint;Floya
Norway_3rdDivision_Group5;Bossekop;Kongsvinger 2
Norway_3rdDivision_Group5;Ulfstind;Harstad
Norway_3rdDivision_Group6;Lillehammer;Elverum
Norway_3rdDivision_Group6;Oppsal;Raelingen
Norway_3rdDivision_Group6;Orn;Sandefjord 2
Norway_3rdDivision_Group6;Fram;Drobak-Frogn
Sweden_Superettan;Ljungskile;Örebro
Sweden_Superettan;Varberg;Öster
Sweden_Superettan;Nordic United;Oddevold
Sweden_Superettan;Sundsvall;Östersund
Sweden_Division1_Norra;Stockholm Internazionale;Enkoping SK
Sweden_Division1_Norra;Arlanda;Karlstad
Sweden_Division1_Norra;Gefle;Stocksund
Sweden_Division1_Sodra;Laholms;Utsikten
Sweden_Division1_Sodra;Trollhättan;Angelholm
Sweden_Division1_Sodra;AFC Malmo;Jonkoping
Sweden_Division1_Sodra;Atvidaberg;Rosengard
Sweden_Division1_Sodra;Lunds;Skövde
Sweden_Division2_NorraGotaland;Ahlafors IF;Tord
Sweden_Division2_NorraGotaland;Husqvarna;Karlstad II
Sweden_Division2_NorraGotaland;Motala;Vanersborgs FK
Sweden_Division2_NorraSvealand;IK Franke;Viggbyholms
Sweden_Division2_NorraSvealand;Taby;Gute
Sweden_Division2_NorraSvealand;Bollstanas;Korsnas
Sweden_Division2_NorraSvealand;Falu;Lidingo IFK
Sweden_Division2_SodraGotaland;Nosaby;IFK Trelleborg
Sweden_Division2_SodraGotaland;Osterlen;Karlskrona
Sweden_Division2_SodraGotaland;Rappe GOIF;Staffanstorp United
Sweden_Division2_SodraGotaland;Solvesborgs;Oskarshamn
Sweden_Division2_SodraSvealand;Haninge;Sleipner
Sweden_Division2_SodraSvealand;Eker Orebro;Farsta
Sweden_Division2_VastraGotaland;Astorps;Torslanda
Sweden_Division2_VastraGotaland;Astrio;Hestrafors
USA_USLLeagueTwo_Metropolitan;New Jersey Copa;Ironbound SC
USA_USLLeagueTwo_Heartland;Edgewater Castle;Chicago Dutch Lions
USA_USLLeagueTwo_Valley;Louisville City 2;Kings Hammer Columbus
USA_USLLeagueTwo_Heartland;Rochester FC;Rockford Raptors
USA_USLLeagueTwo_GreatForest;Buffalo;Steel City
USA_USLLeagueTwo_Valley;West Virginia;Dayton
