LeagueId;Home;Away
USA_USLLeagueTwo_Southeast;Inter Gainesville;Brooke House
USA_USLLeagueTwo_Northeast;Boston Bolts;Western Mass Pioneers
USA_USLLeagueTwo_SouthAtlantic;Charlotte Eagles;Hickory
USA_USLLeagueTwo_GreatForest;Erie Sports Center;Akron City
USA_USLLeagueTwo_GreatLakes;Kalamazoo FC;Oakland County
USA_USLLeagueTwo_GreatLakes;Midwest United;Flint City
USA_USLLeagueTwo_Chesapeake;Patuxent;Hill City
USA_USLLeagueTwo_MidAtlantic;Reading;Eagle FC
USA_USLLeagueTwo_Chesapeake;Virginia Marauders;Annapolis Blues
USA_USLLeagueTwo_MidSouth;Memphis FC;Mississippi Brilla
USA_USLLeagueTwo_GreatPlains;Sunflower State;Menace
USA_USLLeagueTwo_Ranger;Fort Worth Vaqueros;McKinney Chupacabras
USA_USLLeagueTwo_Mountain;Colorado Storm;CISA
USA_USLLeagueTwo_Northwest;Snohomish United;Tacoma Stars
USA_USLLeagueTwo_Northwest;Portland Bangers;FC Olympia
USA_USLLeagueTwo_Southwest;Ventura;Tucson
Australia_NPLNorthernNSW;Newcastle Olympic;Charlestown Azzurri
Australia_NPLQueenslandU23;QLD State Team U17;Peninsula U23
Australia_NPLQueenslandU23;Rochedale U23;Moreton City Excelsior U23
