LeagueId;MatchDate;Home;Away
Austria_Tirol;2026-08-08;SV Oberperfuss;Stubai
Austria_Tirol;2026-08-08;Kolsass Weer;FC Volders
Belarus_VysshayaLiga;2026-08-08;Zhodino;Dynamo Brest
Belarus_VysshayaLiga;2026-08-08;Vitebsk;Neman
Bolivia_DivisionProfesional;2026-08-08;Academia del Balompie;Guabira
Bolivia_DivisionProfesional;2026-08-08;Tomayapo;Real Oruro
Bolivia_DivisionProfesional;2026-08-08;SA Bulo Bulo;Nacional Potosi
Bolivia_DivisionProfesional;2026-08-08;The Strongest;Independiente
Bulgaria_ParvaLiga;2026-08-08;Lok. Sofia;CSKA 1948 Sofia
Bulgaria_ParvaLiga;2026-08-08;Dunav Ruse;Arda
Denmark_1stDivision;2026-08-08;Aarhus Fremad;Koge
Denmark_1stDivision;2026-08-08;Hobro;AB Copenhagen
Denmark_3rdDivision;2026-08-08;Ringsted;Helsingor
Denmark_3rdDivision;2026-08-08;Bronshoj;Sundby
Denmark_3rdDivision;2026-08-08;Vanløse;Næsby
Denmark_3rdDivision;2026-08-08;Holstebro;Holbaek
Estonia_Meistriliiga;2026-08-08;Narva;Kalju
Estonia_Esiliiga;2026-08-08;Elva;Tartu Welco
Estonia_Esiliiga;2026-08-08;Maardu;Viimsi JK
Estonia_Esiliiga;2026-08-08;Tallinna Kalev;FC Tallinn
Estonia_Esiliiga;2026-08-08;Nomme Utd U21;Levadia U21
Estonia_EsiliigaB;2026-08-08;Tartu Kalev;Tulevik
Finland_Veikkausliiga;2026-08-08;Jaro;VPS
Finland_Ykkosliiga;2026-08-08;KaPa;Ekenas
Finland_Ykkosliiga;2026-08-08;SJK Akatemia;PK-35
Finland_Kakkonen_GroupA;2026-08-08;HIFK;PuiU
Finland_Kakkonen_GroupB;2026-08-08;Honka;NJS
Finland_Kakkonen_GroupB;2026-08-08;MuSa;Abo
Finland_Kakkonen_GroupB;2026-08-08;EBK;EPS
Finland_Kakkonen_GroupB;2026-08-08;HJS;Ilves 2
Finland_Kakkonen_GroupB;2026-08-08;P-Iirot Rauma;GrIFK
Finland_Kakkonen_GroupC;2026-08-08;GBK Kokkola;Huima / Urho
Finland_Kakkonen_GroupC;2026-08-08;TP-47;Narpes Kraft
Finland_Kakkonen_GroupC;2026-08-08;Vaajakoski;VPS 2
France_Ligue2;2026-08-08;Boulogne;Nancy
France_Ligue2;2026-08-08;Clermont;Reims
France_Ligue2;2026-08-08;Dunkerque;Grenoble
France_Ligue2;2026-08-08;Metz;Guingamp
France_Ligue2;2026-08-08;Montpellier;Dijon
France_Ligue2;2026-08-08;Nantes;Red Star
France_Ligue2;2026-08-08;Pau FC;Annecy
France_Ligue2;2026-08-08;Rodez;Laval
France_Ligue2;2026-08-08;Sochaux;St. Etienne
Germany_Regionalliga_Nord;2026-08-08;SC Weiche-08;Eimsbutteler
Germany_Regionalliga_Nord;2026-08-08;Delmenhorst;VfB Lubeck
Germany_Regionalliga_Nordost;2026-08-08;Luckenwalde;Tasmania Berlin
Germany_Regionalliga_Nordost;2026-08-08;RSV Eintracht;Chemie Leipzig
Germany_Regionalliga_Nordost;2026-08-08;Lokomotive Leipzig;Hertha II
Germany_Regionalliga_West;2026-08-08;Bocholt;Schalke II
Germany_Regionalliga_West;2026-08-08;Paderborn II;Monchengladbach II
Germany_Regionalliga_West;2026-08-08;Rodinghausen;Bonner
Germany_Regionalliga_West;2026-08-08;Siegen;Hilden
Germany_Regionalliga_West;2026-08-08;Wattenscheid;Westfalia Rhynern
Germany_Regionalliga_Bayern;2026-08-08;Bayern II;Schweinfurt
Germany_Regionalliga_Bayern;2026-08-08;Unterhaching;Eltersdorf
Germany_Regionalliga_Bayern;2026-08-08;Vilzing;Furth II
Germany_Oberliga_SchleswigHolstein;2026-08-08;Lubeck II;Nordmark Satrup
Germany_Oberliga_SchleswigHolstein;2026-08-08;Eckernforder SV;Rapid Lubeck
Germany_Oberliga_SchleswigHolstein;2026-08-08;Eichede;VfR Neumunster
Germany_Oberliga_SchleswigHolstein;2026-08-08;Heider SV;Kaltenkirchen
Germany_Oberliga_SchleswigHolstein;2026-08-08;Kiel II;Phonix Lubeck B
Germany_Oberliga_SchleswigHolstein;2026-08-08;Kilia Kiel;Hohenwestedt
Germany_Oberliga_Hessen;2026-08-08;Alzenau;Fernwald
Germany_Oberliga_Hessen;2026-08-08;Baunatal;Giessen
Germany_Oberliga_Hessen;2026-08-08;Stadtallendorf;Eddersheim
Germany_Oberliga_Hessen;2026-08-08;Friedberg;RW Walldorf
Germany_Oberliga_Hessen;2026-08-08;Unter-Flockenbach;CSC 03 Kassel
Germany_Oberliga_Hessen;2026-08-08;Darmstadt U21;Hadamar
Germany_Oberliga_RheinlandPfalzSaar;2026-08-08;Schott Mainz;Emmelshausen-Karbach
Germany_Oberliga_RheinlandPfalzSaar;2026-08-08;Worms;Pirmasens
Germany_Oberliga_RheinlandPfalzSaar;2026-08-08;Hertha Wiesbach;Elversberg II
Germany_Oberliga_RheinlandPfalzSaar;2026-08-08;Mechtersheim;RW Koblenz
Germany_Oberliga_RheinlandPfalzSaar;2026-08-08;Eisbachtal;Engers
Germany_Oberliga_RheinlandPfalzSaar;2026-08-08;RW Wittlich;Ahrweiler
Germany_Oberliga_Bayern_Nord;2026-08-08;Aschaffenburg;Ingolstadt II
Germany_Oberliga_Bayern_Nord;2026-08-08;Bayern Hof;Neumarkt
Germany_Oberliga_Bayern_Nord;2026-08-08;Regensburg II;Neudrossenfeld
Germany_Oberliga_Bayern_Sud;2026-08-08;Hankofen-Hailing;Kottern-St. Mang
Germany_Oberliga_Bayern_Sud;2026-08-08;Deisenhofen;Ismaning
Germany_Oberliga_Bayern_Sud;2026-08-08;Schwabmunchen;Heimstetten
Germany_Oberliga_Bayern_Sud;2026-08-08;Geretsried;FC Schwaig
Germany_Oberliga_Bayern_Sud;2026-08-08;Gundelfingen;Kirchanschoring
Iceland_Division_1;2026-08-08;Grotta;Throttur
Iceland_Division_1;2026-08-08;Njardvik;Vestri
Iceland_Division_2;2026-08-08;Fjolnir;KFG Gardabaer
Iceland_Division_2;2026-08-08;KFA;Haukar
Iceland_Division_2;2026-08-08;Dalvik/Reynir;Kari
Iceland_Division_2;2026-08-08;Hviti;Magni
Iceland_Division_2;2026-08-08;Kormakur/Hvot;Throttur Vogar
FaroeIslands_1Deild;2026-08-08;Runavik 2;Vikingur 2
FaroeIslands_1Deild;2026-08-08;Hoyvik;FC Suduroy
FaroeIslands_1Deild;2026-08-08;TB Tvoroyri;Fuglafjordur
Kazakhstan_PremierLeague;2026-08-08;Altai;Kyzylzhar
Kazakhstan_PremierLeague;2026-08-08;Zhetysu;Ordabasy
Kazakhstan_PremierLeague;2026-08-08;Kaspij Aktau;Ulytau
Kyrgyzstan_PremierLiga;2026-08-08;Abdysh-Ata;Kyrgyzaltyn
Kyrgyzstan_PremierLiga;2026-08-08;Aldier;Alay Osh
Latvia_Virsliga;2026-08-08;BFC Daugavpils;Tukums 2000
Latvia_NakotnesLiga;2026-08-08;Marupe;Leevon PPK
Latvia_NakotnesLiga;2026-08-08;Skanste;Rezekne
Latvia_NakotnesLiga;2026-08-08;FK Smiltene;Valmiera
Latvia_NakotnesLiga;2026-08-08;JFK Ventspils;Super Nova 2
Latvia_NakotnesLiga;2026-08-08;Alberts JDFS;Riga FC 2
Latvia_NakotnesLiga;2026-08-08;Metta;RFS 2
Lithuania_Toplyga;2026-08-08;Kauno Zalgiris;Hegelmann
Lithuania_ILyga;2026-08-08;Tauras;Neptunas
Lithuania_ILyga;2026-08-08;Atmosfera;Siauliai 2
Lithuania_ILyga;2026-08-08;BFA Vilnius;Transinvest 2
Lithuania_ILyga;2026-08-08;Dainava Alytus;Babrungas
Lithuania_ILyga;2026-08-08;FK Minija;BE1 NFA
Montenegro_PrvaCrnogorskaLiga;2026-08-08;Buducnost;Decic
Norway_Eliteserien;2026-08-08;Vålerenga;Bodo/Glimt
Norway_Eliteserien;2026-08-08;Viking;Sarpsborg 08
Norway_Eliteserien;2026-08-08;Start;Fredrikstad
Norway_OBOSLigaen;2026-08-08;Stabaek;Lyn
Norway_2ndDivision_Group1;2026-08-08;Bjarg;Sotra
Norway_2ndDivision_Group1;2026-08-08;Arendal;Pors
Norway_2ndDivision_Group1;2026-08-08;Halden;Mjondalen
Norway_2ndDivision_Group1;2026-08-08;Jerv;Vidar
Norway_2ndDivision_Group1;2026-08-08;Notodden;Sandviken
Norway_2ndDivision_Group2;2026-08-08;Junkeren;Follo
Norway_2ndDivision_Group2;2026-08-08;Eidsvold;Kjelsås
Norway_2ndDivision_Group2;2026-08-08;Honefoss;Ull/Kisa
Norway_2ndDivision_Group2;2026-08-08;Levanger;Stjordals Blink
Norway_2ndDivision_Group2;2026-08-08;Trygg/Lade;Grorud
Norway_3rdDivision_Group1;2026-08-08;Lokomotiv Oslo;Grei
Norway_3rdDivision_Group1;2026-08-08;Nordstrand;Frigg
Norway_3rdDivision_Group1;2026-08-08;Ready;Heming
Norway_3rdDivision_Group1;2026-08-08;Ullern;Gamle Oslo
Norway_3rdDivision_Group1;2026-08-08;Asker;Vålerenga 2
Norway_3rdDivision_Group2;2026-08-08;Volda TI;Nardo
Norway_3rdDivision_Group2;2026-08-08;Melhus;Orkla
Norway_3rdDivision_Group2;2026-08-08;Spjelkavik;Strindheim
Norway_3rdDivision_Group2;2026-08-08;Ntnui;Byåsen
Norway_3rdDivision_Group3;2026-08-08;Fana;Gneist
Norway_3rdDivision_Group3;2026-08-08;OS;Stord
Norway_3rdDivision_Group3;2026-08-08;V. Haugesund;Djerv 1919
Norway_3rdDivision_Group3;2026-08-08;Forde;Brann 2
Norway_3rdDivision_Group3;2026-08-08;Fyllingsdalen;Varegg
Norway_3rdDivision_Group4;2026-08-08;Odd 2;Staal Jorpeland
Norway_3rdDivision_Group4;2026-08-08;Hinna;Flekkeroy
Norway_3rdDivision_Group4;2026-08-08;Madla IL;Vindbjart
Norway_3rdDivision_Group4;2026-08-08;Mandalskameratene;Brodd
Norway_3rdDivision_Group5;2026-08-08;Skedsmo;Fauske Sprint
Norway_3rdDivision_Group5;2026-08-08;Finnsnes;Bossekop
Norway_3rdDivision_Group5;2026-08-08;Tromsø 2;Alta
Norway_3rdDivision_Group5;2026-08-08;Harstad;Skjervoy
Norway_3rdDivision_Group6;2026-08-08;Bjorkelangen;Oppsal
Norway_3rdDivision_Group6;2026-08-08;SK Gjovik-Lyn;Lillehammer
Norway_3rdDivision_Group6;2026-08-08;Elverum;Orn
Netherlands_Eredivisie;2026-08-08;Nijmegen;Telstar
Netherlands_Eredivisie;2026-08-08;G.A. Eagles;Willem II
Netherlands_Eredivisie;2026-08-08;PSV;Sittard
Netherlands_Eredivisie;2026-08-08;Alkmaar;Den Haag
Netherlands_EersteDivisie;2026-08-08;Den Bosch;Almere City
Peru_Liga1_Clausura;2026-08-08;U. de Deportes;Sporting Cristal
Peru_Liga1_Clausura;2026-08-08;Cajamarca;AD Tarma
Peru_Liga1_Clausura;2026-08-08;Juan Pablo II;Grau
Peru_Liga2;2026-08-08;Sport Huancayo 2;Santos
Peru_Liga2;2026-08-08;ADA Jaen;Llacuabamba
Poland_Ekstraklasa;2026-08-08;Radomiak Radom;Gornik Zabrze
Poland_Ekstraklasa;2026-08-08;Pogon Szczecin;Motor Lublin
Poland_Ekstraklasa;2026-08-08;Korona;Legia
Poland_Division1;2026-08-08;Legnica;Grodzisk M.
Poland_Division1;2026-08-08;Puszcza;Odra Opole
Poland_Division1;2026-08-08;Stal Mielec;S. Rzeszow
Poland_Division1;2026-08-08;Podbeskidzie;Lechia
Poland_Division2;2026-08-08;Podhale Nowy Targ;Hutnik Krakow
Poland_Division2;2026-08-08;Bielsko-Biala;S. Wola
Poland_Division2;2026-08-08;Zawisza;R. Rzeszow
Poland_Division2;2026-08-08;Z. Gora;Kleczew
Poland_IIILiga_Group1;2026-08-08;Troszyn;Mazovia Minsk Mazowiecki
