LeagueId;MatchDate;Home;Away
Austria_Salzburg;2026-09-24;SAK 1914;Thalgau
Bhutan_PremierLeague;2026-09-24;Ugyen Academy;Drukpa
France_National;2026-09-24;Caen;Rouen
Sweden_Division2_VastraGotaland;2026-09-24;Kongahalla;Lindome
USA_MLS;2026-09-24;Seattle Sounders;Real Salt Lake
Finland_Kolmonen_Western_Group1;2026-09-24;Jyrkkälän Tykit;Åbo CF
Finland_Kolmonen_Southern_Group1;2026-09-24;EIF/Akademi;HooGee
Finland_Kolmonen_Southern_Group2;2026-09-24;FC Kontu;Laajasalon Palloseura
Finland_Kolmonen_Eastern_Group3;2026-09-24;LAUTP/2;Kultsu FC
Finland_Kolmonen_Southern_Group2;2026-09-24;PPJ/Lauttasaari;Pakkalan Palloseura
Finland_Kolmonen_Western_Group2;2026-09-24;Fish United;Sääksjärven Loiske
Finland_Kolmonen_Southern_Group1;2026-09-24;Malmin Palloseura;SexyPöxyt
