LeagueId;Home;Away
Australia_QueenslandPremierLeague;Caboolture;Sunshine Coast Wanderers
Australia_QueenslandPremierLeague;Ipswich;Holland Park Hawks
USA_USLLeagueTwo_Mountain;Flatirons;Colorado Storm
USA_USLLeagueTwo_LoneStar;Lonestar SC;Laredo Heat
USA_USLLeagueTwo_Metropolitan;Motown 2;Morris Elite
USA_USLLeagueTwo_MidSouth;Red River;Little Rock Rangers
USA_USLLeagueTwo_GreatPlains;Peoria;St. Louis Ambush
USA_USLLeagueTwo_Southwest;Redlands FC;Capo
Australia_NPLNorthernNSW;Cooks Hill United;Valentine
Australia_NPLNorthernNSW;Edgeworth E.;Kahibah
Australia_NPLQueensland;Wynnum Wolves;Rochedale
Australia_NPLSouthAustralia;Adelaide Comets;Croydon
Australia_NPLVictoria;Green Gully;Bentleigh
Australia_NPLVictoria;Heidelberg;St Albans
Australia_NSWLeagueOne;Hurstville Zagreb;Canterbury Bankstown
Australia_NSWLeagueOne;Prospect United;Hakoah Sydney
Australia_SAStateLeague;Adelaide Olympic;Salisbury Utd.
Australia_SAStateLeague;Eastern United;Modbury
Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Clarence Zebras U21
Australia_VictoriaPremierLeague2;Box Hill;Whittlesea United
Australia_VictoriaPremierLeague2;Kingston City;Nunawading City
Australia_VictoriaPremierLeague2;Springvale;Keilor Park
