LeagueId;MatchDate;Home;Away
Bhutan_PremierLeague;2026-07-30;Ugyen Academy;RTC
Finland_Ykkosliiga;2026-07-30;Jippo;JaPS
Finland_Ykkonen;2026-07-30;Jazz Pori;KuPS Akatemia
Kazakhstan_FirstLeague;2026-07-30;FC Batyr;Yelimay Semey 2
Kazakhstan_FirstLeague;2026-07-30;Kaspij Aktau 2;Aktobe 2
Kazakhstan_FirstLeague;2026-07-30;Taraz;Akademiya Ontustik
Kazakhstan_FirstLeague;2026-07-30;Khan Tengri;Turan
Norway_3rdDivision_Group5;2026-07-30;Ulfstind;Skjervoy
Somalia_NationalLeague;2026-07-30;Gaadiidka;Dekedaha
Somalia_NationalLeague;2026-07-30;Mogadishu City;Heegan
Sweden_Division2_SodraGotaland;2026-07-30;Karlskrona;Nosaby
USA_USLChampionship;2026-07-30;Pittsburgh;FC Tulsa
USA_USLChampionship;2026-07-30;Louisville City;Birmingham
USA_USLLeagueOne;2026-07-30;Greenville;Boise
USA_USLLeagueOne;2026-07-30;Forward Madison;Chattanooga Red Wolves
Finland_Kolmonen_Eastern_Group2;2026-07-30;NiemU;Jippo-J/Punamusta
Finland_Kolmonen_Eastern_Group3;2026-07-30;PeKa;Kultsu
Finland_Kolmonen_Southern_Group1;2026-07-30;EIF/Akademi;GrIFK/Akatemia U23
Finland_Kolmonen_Western_Group2;2026-07-30;TP-T;Fish United
Finland_Kolmonen_North;2026-07-30;Ponkilan Pantterit;Haukiputaan Pallo
