ResetId;ResetAt;TargetMode;TargetValue;Engine;Country;LeagueId;Band;OK;KO;Total;HitRate
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v13;USA;USA_USLLeagueTwo_Chesapeake;OVERALL;13;3;16;81.25
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v13;USA;USA_USLLeagueTwo_Chesapeake;ALTA;9;2;11;81.82
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v13;USA;USA_USLLeagueTwo_Chesapeake;MEDIA-ALTA;4;1;5;80.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v20;USA;USA_USLLeagueTwo_Chesapeake;OVERALL;13;3;16;81.25
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v20;USA;USA_USLLeagueTwo_Chesapeake;MEDIA;2;1;3;66.67
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v20;USA;USA_USLLeagueTwo_Chesapeake;ALTA;6;0;6;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v20;USA;USA_USLLeagueTwo_Chesapeake;MEDIA-ALTA;5;2;7;71.43
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21;USA;USA_USLLeagueTwo_Chesapeake;OVERALL;13;3;16;81.25
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21;USA;USA_USLLeagueTwo_Chesapeake;ALTA;9;3;12;75.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21;USA;USA_USLLeagueTwo_Chesapeake;MEDIA;4;0;4;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21dev;USA;USA_USLLeagueTwo_Chesapeake;OVERALL;12;2;14;85.71
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21dev;USA;USA_USLLeagueTwo_Chesapeake;ALTA;9;2;11;81.82
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21dev;USA;USA_USLLeagueTwo_Chesapeake;MEDIA;3;0;3;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v22;USA;USA_USLLeagueTwo_Chesapeake;OVERALL;12;2;14;85.71
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v22;USA;USA_USLLeagueTwo_Chesapeake;ALTA;9;2;11;81.82
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v22;USA;USA_USLLeagueTwo_Chesapeake;MEDIA;3;0;3;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v23;USA;USA_USLLeagueTwo_Chesapeake;OVERALL;11;2;13;84.62
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v23;USA;USA_USLLeagueTwo_Chesapeake;ALTA;7;2;9;77.78
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v23;USA;USA_USLLeagueTwo_Chesapeake;MEDIA;4;0;4;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v24;USA;USA_USLLeagueTwo_Chesapeake;OVERALL;11;2;13;84.62
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v24;USA;USA_USLLeagueTwo_Chesapeake;ALTA;8;2;10;80.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v24;USA;USA_USLLeagueTwo_Chesapeake;MEDIA;3;0;3;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v25;USA;USA_USLLeagueTwo_Chesapeake;OVERALL;9;2;11;81.82
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v25;USA;USA_USLLeagueTwo_Chesapeake;MEDIA;3;1;4;75.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v25;USA;USA_USLLeagueTwo_Chesapeake;ALTA;6;1;7;85.71
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v13;USA;USA_USLLeagueTwo_GreatForest;OVERALL;8;2;10;80.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v13;USA;USA_USLLeagueTwo_GreatForest;ALTA;4;1;5;80.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v13;USA;USA_USLLeagueTwo_GreatForest;MEDIA-ALTA;4;1;5;80.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v20;USA;USA_USLLeagueTwo_GreatForest;OVERALL;8;2;10;80.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v20;USA;USA_USLLeagueTwo_GreatForest;MEDIA;3;2;5;60.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v20;USA;USA_USLLeagueTwo_GreatForest;ALTA;2;0;2;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v20;USA;USA_USLLeagueTwo_GreatForest;MEDIA-ALTA;3;0;3;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21;USA;USA_USLLeagueTwo_GreatForest;OVERALL;8;2;10;80.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21;USA;USA_USLLeagueTwo_GreatForest;ALTA;7;0;7;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21;USA;USA_USLLeagueTwo_GreatForest;MEDIA;1;2;3;33.33
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21dev;USA;USA_USLLeagueTwo_GreatForest;OVERALL;6;2;8;75.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21dev;USA;USA_USLLeagueTwo_GreatForest;ALTA;6;0;6;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v21dev;USA;USA_USLLeagueTwo_GreatForest;MEDIA;0;2;2;0.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v22;USA;USA_USLLeagueTwo_GreatForest;OVERALL;6;2;8;75.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v22;USA;USA_USLLeagueTwo_GreatForest;ALTA;4;0;4;100.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v22;USA;USA_USLLeagueTwo_GreatForest;MEDIA;2;2;4;50.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v23;USA;USA_USLLeagueTwo_GreatForest;OVERALL;3;2;5;60.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;v23;USA;USA_USLLeagueTwo_GreatForest;ALTA;2;0;2;100.0
