ResetId;ResetAt;TargetMode;TargetValue;Country;LeagueId;CompletedMatches;Over15;Under15;Over15Pct;Over25;Under25;Over25Pct
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Chesapeake;77;69;8;89.61;59;18;76.62
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_GreatForest;43;36;7;83.72;32;11;74.42
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_GreatLakes;48;44;4;91.67;40;8;83.33
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_GreatPlains;35;31;4;88.57;24;11;68.57
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Heartland;55;51;4;92.73;47;8;85.45
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_LoneStar;58;52;6;89.66;43;15;74.14
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Metropolitan;65;59;6;90.77;48;17;73.85
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_MidAtlantic;63;53;10;84.13;43;20;68.25
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_MidSouth;45;36;9;80.0;32;13;71.11
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Mountain;44;40;4;90.91;36;8;81.82
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_NorCal;56;50;6;89.29;42;14;75.0
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Northeast;72;62;10;86.11;51;21;70.83
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Northwest;56;54;2;96.43;44;12;78.57
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_PlayIn;3;1;2;33.33;1;2;33.33
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_PlayOff;28;23;5;82.14;15;13;53.57
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Ranger;37;28;9;75.68;24;13;64.86
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_SouthAtlantic;81;64;17;79.01;57;24;70.37
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_SouthCentral;42;39;3;92.86;28;14;66.67
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_SouthFlorida;41;31;10;75.61;23;18;56.1
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Southeast;36;26;10;72.22;21;15;58.33
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Southwest;48;42;6;87.5;32;16;66.67
20260804_164304;2026-08-04T16:43:04;GROUP;USA_USLLeagueTwo;USA;USA_USLLeagueTwo_Valley;38;30;8;78.95;24;14;63.16
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPLACT;117;106;11;90.6;89;28;76.07
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPLNSW;252;188;64;74.6;136;116;53.97
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPLNorthernNSW;138;119;19;86.23;97;41;70.29
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPLQueensland;139;125;14;89.93;104;35;74.82
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPLQueenslandU23;133;119;14;89.47;103;30;77.44
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPLSouthAustralia;140;109;31;77.86;92;48;65.71
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPLTasmania;100;87;13;87.0;68;32;68.0
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPLVictoria;194;149;45;76.8;106;88;54.64
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPLWesternAustralia;137;117;20;85.4;95;42;69.34
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NPL_NSW_U20;242;208;34;85.95;176;66;72.73
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NSWLeagueOne;248;210;38;84.68;165;83;66.53
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_NorthernNSWStateLeague;90;76;14;84.44;63;27;70.0
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_QueenslandPremierLeague;132;106;26;80.3;82;50;62.12
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_SAStateLeague;139;118;21;84.89;88;51;63.31
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_TasmaniaNorthernChampionship;78;69;9;88.46;64;14;82.05
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_TasmaniaSouthernChampionship;78;76;2;97.44;68;10;87.18
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_VictoriaPremierLeague;186;154;32;82.8;122;64;65.59
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_VictoriaPremierLeague2;183;145;38;79.23;112;71;61.2
20260913_124820;2026-09-13T12:48:20;COUNTRY;Australia;Australia;Australia_WAStateLeague;131;112;19;85.5;87;44;66.41
