Window;Transition;OK;KO;Total;HitRate
Last9;ALTA_TO_ALTA;91;28;119;76.4706
Last9;ALTA_TO_NON_ALTA;2;2;4;50.0
Last9;NON_ALTA_TO_ALTA;7;3;10;70.0
Last9;NON_ALTA_TO_NON_ALTA;1252;780;2032;61.6142
Last8;ALTA_TO_ALTA;86;26;112;76.7857
Last8;ALTA_TO_NON_ALTA;7;4;11;63.6364
Last8;NON_ALTA_TO_ALTA;8;5;13;61.5385
Last8;NON_ALTA_TO_NON_ALTA;1251;778;2029;61.656
Last7;ALTA_TO_ALTA;82;26;108;75.9259
Last7;ALTA_TO_NON_ALTA;11;4;15;73.3333
Last7;NON_ALTA_TO_ALTA;12;8;20;60.0
Last7;NON_ALTA_TO_NON_ALTA;1247;775;2022;61.6716
Last6;ALTA_TO_ALTA;85;24;109;77.9817
Last6;ALTA_TO_NON_ALTA;8;6;14;57.1429
Last6;NON_ALTA_TO_ALTA;17;9;26;65.3846
Last6;NON_ALTA_TO_NON_ALTA;1242;774;2016;61.6071
Last5;ALTA_TO_ALTA;81;25;106;76.4151
Last5;ALTA_TO_NON_ALTA;12;5;17;70.5882
Last5;NON_ALTA_TO_ALTA;18;10;28;64.2857
Last5;NON_ALTA_TO_NON_ALTA;1241;773;2014;61.6187
