Window;MatchDate;LeagueId;Home;Away;Outcome;StoredV20Score;RecomputedLast10Score;RecomputedLast10Band;ParityDelta;ParityOK;RankingGapScore;HomeAttackScore;AwayDefenseWeaknessScore;Last10Score;Last10Band;HomeLast10Rate;AwayLast10Rate;HomeLast10Sequence;AwayLast10Sequence;Last9Score;Last9Band;HomeLast9Rate;AwayLast9Rate;HomeLast9Sequence;AwayLast9Sequence;Last8Score;Last8Band;HomeLast8Rate;AwayLast8Rate;HomeLast8Sequence;AwayLast8Sequence;Last7Score;Last7Band;HomeLast7Rate;AwayLast7Rate;HomeLast7Sequence;AwayLast7Sequence;Last6Score;Last6Band;HomeLast6Rate;AwayLast6Rate;HomeLast6Sequence;AwayLast6Sequence;Last5Score;Last5Band;HomeLast5Rate;AwayLast5Rate;HomeLast5Sequence;AwayLast5Sequence
Last9;2026-07-01;Sweden_Division2_NorraGotaland;Husqvarna;Lidkoping;KO;74.89;74.89;MEDIA-ALTA;0.0;True;6.22;25.0;22.67;74.89;MEDIA-ALTA;0.7;0.7;0100111111;1011001111;75.56;ALTA;0.777778;0.666667;100111111;011001111;76.39;ALTA;0.75;0.75;00111111;11001111;77.46;ALTA;0.857143;0.714286;0111111;1001111;78.89;ALTA;1.0;0.666667;111111;001111;80.89;ALTA;1.0;0.8;11111;01111
Last9;2026-07-02;Iceland_BestaDeildKarla;Vikingur Reykjavik;Akureyri;OK;74.37;74.37;MEDIA-ALTA;0.0;True;7.54;25.0;20.83;74.37;MEDIA-ALTA;0.8;0.6;1110111011;0100101111;75.04;ALTA;0.777778;0.666667;110111011;100101111;74.0;MEDIA-ALTA;0.75;0.625;10111011;00101111;74.8;MEDIA-ALTA;0.714286;0.714286;0111011;0101111;78.37;ALTA;0.833333;0.833333;111011;101111;77.37;ALTA;0.8;0.8;11011;01111
Last9;2026-07-04;Australia_NPLSouthAustralia;Adelaide City;Para;KO;73.47;74.53;MEDIA-ALTA;1.06;False;10.66;19.38;25.0;74.54;MEDIA-ALTA;0.5;0.8;0010111010;1100111111;75.04;ALTA;0.555556;0.777778;010111010;100111111;75.66;ALTA;0.625;0.75;10111010;00111111;76.47;ALTA;0.571429;0.857143;0111010;0111111;80.04;ALTA;0.666667;1.0;111010;111111;79.04;ALTA;0.6;1.0;11010;11111
Last9;2026-07-05;Finland_Kakkonen_GroupC;VPS 2;Huima / Urho;OK;72.7;73.2;MEDIA-ALTA;0.5;False;2.7;25.0;20.0;73.2;MEDIA-ALTA;0.9;0.8;0111111111;0110111111;76.03;ALTA;1.0;0.888889;111111111;110111111;75.83;ALTA;1.0;0.875;11111111;10111111;75.56;ALTA;1.0;0.857143;1111111;0111111;77.7;ALTA;1.0;1.0;111111;111111;77.7;ALTA;1.0;1.0;11111;11111
Last9;2026-07-18;Iceland_Division_2;KFA;Selfoss;KO;74.03;74.55;MEDIA-ALTA;0.52;False;3.38;24.17;20.0;74.55;MEDIA-ALTA;0.8;1.0;0111111011;1111111111;75.88;ALTA;0.888889;1.0;111111011;111111111;75.67;ALTA;0.875;1.0;11111011;11111111;75.41;ALTA;0.857143;1.0;1111011;1111111;75.05;ALTA;0.833333;1.0;111011;111111;74.55;MEDIA-ALTA;0.8;1.0;11011;11111
Last9;2026-07-18;Australia_NPLQueensland;Eastern Suburbs;Magic United;OK;73.97;73.97;MEDIA-ALTA;0.0;True;6.1;17.37;25.0;73.97;MEDIA-ALTA;0.8;0.9;1101111110;0111111111;75.14;ALTA;0.777778;1.0;101111110;111111111;74.72;MEDIA-ALTA;0.75;1.0;01111110;11111111;76.33;ALTA;0.857143;1.0;1111110;1111111;75.97;ALTA;0.833333;1.0;111110;111111;75.47;ALTA;0.8;1.0;11110;11111
Last9;2026-07-18;Australia_TasmaniaNorthernChampionship;Burnie Utd.;Devonport U21;OK;73.78;73.78;MEDIA-ALTA;0.0;True;11.4;22.31;13.08;73.79;MEDIA-ALTA;0.9;0.9;1111111101;0111111111;75.12;ALTA;0.888889;1.0;111111101;111111111;74.91;MEDIA-ALTA;0.875;1.0;11111101;11111111;74.65;MEDIA-ALTA;0.857143;1.0;1111101;1111111;74.29;MEDIA-ALTA;0.833333;1.0;111101;111111;73.79;MEDIA-ALTA;0.8;1.0;11101;11111
Last9;2026-08-01;FaroeIslands_1Deild;FC Suduroy;B36 Torshavn 2;OK;74.57;74.57;MEDIA-ALTA;0.0;True;3.74;25.0;23.33;74.57;MEDIA-ALTA;0.7;0.8;1111010101;0111111101;75.4;ALTA;0.666667;0.888889;111010101;111111101;74.57;MEDIA-ALTA;0.625;0.875;11010101;11111101;73.5;MEDIA-ALTA;0.571429;0.857143;1010101;1111101;72.07;MEDIA-ALTA;0.5;0.833333;010101;111101;73.07;MEDIA-ALTA;0.6;0.8;10101;11101
Last9;2026-08-03;Norway_3rdDivision_Group5;Lillestrom 2;Kongsvinger 2;OK;75.15;74.23;MEDIA-ALTA;-0.92;False;1.42;25.0;22.31;74.23;MEDIA-ALTA;1.0;0.7;1111111111;0111101101;75.4;ALTA;1.0;0.777778;111111111;111101101;74.98;MEDIA-ALTA;1.0;0.75;11111111;11101101;74.44;MEDIA-ALTA;1.0;0.714286;1111111;1101101;73.73;MEDIA-ALTA;1.0;0.666667;111111;101101;72.73;MEDIA-ALTA;1.0;0.6;11111;01101
Last9;2026-08-05;Finland_Ykkonen;Tampere Utd;KPV;OK;74.67;74.67;MEDIA-ALTA;0.0;True;9.58;20.59;25.0;74.67;MEDIA-ALTA;0.5;0.8;0101010011;1111101011;75.17;ALTA;0.555556;0.777778;101010011;111101011;73.92;MEDIA-ALTA;0.5;0.75;01010011;11101011;74.46;MEDIA-ALTA;0.571429;0.714286;1010011;1101011;72.67;MEDIA-ALTA;0.5;0.666667;010011;101011;73.17;MEDIA-ALTA;0.6;0.6;10011;01011
Last8;2026-07-01;Sweden_Division2_NorraGotaland;Husqvarna;Lidkoping;KO;74.89;74.89;MEDIA-ALTA;0.0;True;6.22;25.0;22.67;74.89;MEDIA-ALTA;0.7;0.7;0100111111;1011001111;75.56;ALTA;0.777778;0.666667;100111111;011001111;76.39;ALTA;0.75;0.75;00111111;11001111;77.46;ALTA;0.857143;0.714286;0111111;1001111;78.89;ALTA;1.0;0.666667;111111;001111;80.89;ALTA;1.0;0.8;11111;01111
Last8;2026-07-04;Australia_NPLSouthAustralia;Adelaide City;Para;KO;73.47;74.53;MEDIA-ALTA;1.06;False;10.66;19.38;25.0;74.54;MEDIA-ALTA;0.5;0.8;0010111010;1100111111;75.04;ALTA;0.555556;0.777778;010111010;100111111;75.66;ALTA;0.625;0.75;10111010;00111111;76.47;ALTA;0.571429;0.857143;0111010;0111111;80.04;ALTA;0.666667;1.0;111010;111111;79.04;ALTA;0.6;1.0;11010;11111
Last8;2026-07-05;Australia_NPLQueenslandU23;Brisbane City U23;QLD State Team U17;KO;74.47;74.47;MEDIA-ALTA;0.0;True;1.22;21.25;25.0;74.47;MEDIA-ALTA;0.8;1.0;1010111111;1111111111;74.14;MEDIA-ALTA;0.777778;1.0;010111111;111111111;75.59;ALTA;0.875;1.0;10111111;11111111;75.33;ALTA;0.857143;1.0;0111111;1111111;77.47;ALTA;1.0;1.0;111111;111111;77.47;ALTA;1.0;1.0;11111;11111
Last8;2026-07-05;Australia_NorthernNSWStateLeague;Wallsend Red Devils;Singleton Strikers;OK;74.09;74.09;MEDIA-ALTA;0.0;True;6.42;25.0;21.67;74.09;MEDIA-ALTA;0.8;0.6;1011111110;1000110111;73.09;MEDIA-ALTA;0.777778;0.555556;011111110;000110111;75.59;ALTA;0.875;0.625;11111110;00110111;76.66;ALTA;0.857143;0.714286;1111110;0110111;78.09;ALTA;0.833333;0.833333;111110;110111;77.09;ALTA;0.8;0.8;11110;10111
