Window;OK;KO;Total;HitRate
Last10;57;10;67;85.0746
Last9;62;11;73;84.9315
Last6;64;12;76;84.2105
Last5;60;12;72;83.3333
Last8;56;12;68;82.3529
Last7;57;14;71;80.2817
