Window;OK;KO;Total;HitRate
Last9;98;31;129;75.969
Last10;93;30;123;75.6098
Last6;102;33;135;75.5556
Last8;94;31;125;75.2
Last5;99;35;134;73.8806
Last7;94;34;128;73.4375
