Window;MatchDate;LeagueId;Home;Away;Outcome;StoredV20Score;RecomputedLast10Score;RecomputedLast10Band;ParityDelta;ParityOK;RankingGapScore;HomeAttackScore;AwayDefenseWeaknessScore;Last10Score;Last10Band;HomeLast10Rate;AwayLast10Rate;HomeLast10Sequence;AwayLast10Sequence;Last9Score;Last9Band;HomeLast9Rate;AwayLast9Rate;HomeLast9Sequence;AwayLast9Sequence;Last8Score;Last8Band;HomeLast8Rate;AwayLast8Rate;HomeLast8Sequence;AwayLast8Sequence;Last7Score;Last7Band;HomeLast7Rate;AwayLast7Rate;HomeLast7Sequence;AwayLast7Sequence;Last6Score;Last6Band;HomeLast6Rate;AwayLast6Rate;HomeLast6Sequence;AwayLast6Sequence;Last5Score;Last5Band;HomeLast5Rate;AwayLast5Rate;HomeLast5Sequence;AwayLast5Sequence
Last8;2026-08-08;Norway_3rdDivision_Group5;Harstad;Skjervoy;OK;75.91;75.91;ALTA;0.0;True;1.12;25.0;24.29;75.91;ALTA;0.9;0.8;1111111011;1111001111;75.41;ALTA;0.888889;0.777778;111111011;111001111;74.78;MEDIA-ALTA;0.875;0.75;11111011;11001111;73.98;MEDIA-ALTA;0.857143;0.714286;1111011;1001111;72.91;MEDIA-ALTA;0.833333;0.666667;111011;001111;74.41;MEDIA-ALTA;0.8;0.8;11011;01111
Last7;2026-07-10;Australia_NPLQueensland;Peninsula;Wynnum Wolves;KO;76.5;76.5;ALTA;0.0;True;6.0;25.0;20.0;76.5;ALTA;0.8;0.9;1110110111;1111111110;76.0;ALTA;0.777778;0.888889;110110111;111111110;75.38;ALTA;0.75;0.875;10110111;11111110;74.57;MEDIA-ALTA;0.714286;0.857143;0110111;1111110;76.0;ALTA;0.833333;0.833333;110111;111110;75.0;ALTA;0.8;0.8;10111;11110
Last7;2026-07-11;Australia_QueenslandPremierLeague;Redlands;Capalaba;KO;77.24;76.0;ALTA;-1.24;False;7.32;21.18;25.0;76.0;ALTA;0.8;0.7;1100111111;1111011100;75.17;ALTA;0.777778;0.666667;100111111;111011100;74.12;MEDIA-ALTA;0.75;0.625;00111111;11011100;74.93;MEDIA-ALTA;0.857143;0.571429;0111111;1011100;76.0;ALTA;1.0;0.5;111111;011100;77.5;ALTA;1.0;0.6;11111;11100
Last7;2026-07-18;Latvia_Virsliga;Riga FC;Tukums 2000;OK;76.13;77.03;ALTA;0.9;False;6.98;25.0;21.05;77.03;ALTA;0.7;0.9;1110111001;1111011111;76.36;ALTA;0.666667;0.888889;110111001;111011111;75.53;ALTA;0.625;0.875;10111001;11011111;74.46;MEDIA-ALTA;0.571429;0.857143;0111001;1011111;75.53;ALTA;0.666667;0.833333;111001;011111;77.03;ALTA;0.6;1.0;11001;11111
Last7;2026-07-25;Australia_NPLQueensland;Gold Coast Knights;Gold Coast;KO;75.8;75.8;ALTA;0.0;True;9.24;22.0;20.56;75.8;ALTA;0.9;0.7;1111111101;1111010110;75.13;ALTA;0.888889;0.666667;111111101;111010110;74.3;MEDIA-ALTA;0.875;0.625;11111101;11010110;73.23;MEDIA-ALTA;0.857143;0.571429;1111101;1010110;71.8;MEDIA-ALTA;0.833333;0.5;111101;010110;72.8;MEDIA-ALTA;0.8;0.6;11101;10110
Last7;2026-07-25;Norway_3rdDivision_Group1;Baerum Sportsklubb;Vålerenga 2;OK;75.78;76.2;ALTA;0.42;False;1.08;25.0;24.62;76.2;ALTA;0.8;0.9;1110111110;1111011111;75.7;ALTA;0.777778;0.888889;110111110;111011111;75.08;ALTA;0.75;0.875;10111110;11011111;74.27;MEDIA-ALTA;0.714286;0.857143;0111110;1011111;75.7;ALTA;0.833333;0.833333;111110;011111;77.7;ALTA;0.8;1.0;11110;11111
Last7;2026-07-26;USA_USLLeagueOne;Charlotte Independ.;Richmond Kickers;OK;76.37;76.37;ALTA;0.0;True;14.12;22.5;18.75;76.37;ALTA;0.8;0.6;1111011011;1111001010;75.37;ALTA;0.777778;0.555556;111011011;111001010;74.12;MEDIA-ALTA;0.75;0.5;11011011;11001010;72.51;MEDIA-ALTA;0.714286;0.428571;1011011;1001010;70.37;MEDIA-ALTA;0.666667;0.333333;011011;001010;73.37;MEDIA-ALTA;0.8;0.4;11011;01010
Last7;2026-08-01;Norway_3rdDivision_Group1;Vålerenga 2;Lokomotiv Oslo;OK;76.6;76.6;ALTA;0.0;True;3.96;22.14;25.0;76.6;ALTA;0.9;0.8;1110111111;1111101110;76.1;ALTA;0.888889;0.777778;110111111;111101110;75.47;ALTA;0.875;0.75;10111111;11101110;74.67;MEDIA-ALTA;0.857143;0.714286;0111111;1101110;76.1;ALTA;1.0;0.666667;111111;101110;75.1;ALTA;1.0;0.6;11111;01110
Last7;2026-08-01;Australia_NPLACT;Monaro Panthers;O'Connor Knights;KO;75.59;75.59;ALTA;0.0;True;11.72;25.0;19.38;75.6;ALTA;0.9;0.4;1111011111;1101010000;74.43;MEDIA-ALTA;0.888889;0.333333;111011111;101010000;72.97;MEDIA-ALTA;0.875;0.25;11011111;01010000;73.24;MEDIA-ALTA;0.857143;0.285714;1011111;1010000;71.1;MEDIA-ALTA;0.833333;0.166667;011111;010000;74.1;MEDIA-ALTA;1.0;0.2;11111;10000
Last7;2026-08-01;Australia_NPLACT;Queanbeyan City;Brindabella;OK;75.02;75.02;ALTA;0.0;True;6.02;20.0;25.0;75.02;ALTA;0.9;0.7;1111111110;1110111010;74.35;MEDIA-ALTA;0.888889;0.666667;111111110;110111010;73.52;MEDIA-ALTA;0.875;0.625;11111110;10111010;72.45;MEDIA-ALTA;0.857143;0.571429;1111110;0111010;73.52;MEDIA-ALTA;0.833333;0.666667;111110;111010;72.02;MEDIA-ALTA;0.8;0.6;11110;11010
