PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;HG;AG;Goals;Over25;BTTS
2026-07-01;2.1-dev;Norway_3rdDivision_Group4_2026;13;Brodd;Haugesund 2;Brodd - Haugesund 2;98.09;ALTA;;;;;
2026-07-01;2.1-dev;Norway_3rdDivision_Group5_2026;13;Lillestrom 2;Tromsø 2;Lillestrom 2 - Tromsø 2;96.65;ALTA;;;;;
2026-07-01;2.1-dev;Norway_3rdDivision_Group6_2026;13;Rade;Lyn 2;Rade - Lyn 2;92.16;ALTA;;;;;
2026-07-01;2.1-dev;Norway_3rdDivision_Group4_2026;13;Vindbjart;Stabaek 2;Vindbjart - Stabaek 2;88.57;ALTA;;;;;
2026-07-01;2.1-dev;Sweden_Division2_SodraGotaland_2026;15;Linero IF;IFK Karlshamn;Linero IF - IFK Karlshamn;88.29;ALTA;;;;;
2026-07-01;2.1-dev;Iceland_BestaDeildKarla_2026;18;Keflavik;KR Reykjavik;Keflavik - KR Reykjavik;86.2;ALTA;;;;;
2026-07-01;2.1-dev;Norway_3rdDivision_Group1_2026;13;K. Oslo 2;Heming;K. Oslo 2 - Heming;85.3;ALTA;;;;;
2026-07-01;2.1-dev;Iceland_BestaDeildKarla_2026;18;Stjarnan;Akureyri;Stjarnan - Akureyri;83.57;ALTA;;;;;
2026-07-01;2.1-dev;Norway_3rdDivision_Group4_2026;13;Varhaug;Odd 2;Varhaug - Odd 2;80.85;ALTA;;;;;
2026-07-01;2.1-dev;Finland_Ykkonen_2026;14;OLS Oulu;KuPS Akatemia;OLS Oulu - KuPS Akatemia;80.57;ALTA;;;;;
2026-07-01;2.1-dev;USA_USLLeagueTwo_MidAtlantic_2026;20260630;Philadelphia Lone Star;Ocean City;Philadelphia Lone Star - Ocean City;80.31;ALTA;;;;;
2026-07-01;2.1-dev;Sweden_Division2_SodraSvealand_2026;15;Ragsved;Forward;Ragsved - Forward;79.91;ALTA;;;;;
2026-07-01;2.1-dev;USA_USLLeagueTwo_Northeast_2026;20260629;Seacoast Utd Phantoms;Black Rock;Seacoast Utd Phantoms - Black Rock;79.48;ALTA;;;;;
2026-07-01;2.1-dev;Norway_2ndDivision_Group2_2026;13;Skeid;Trygg/Lade;Skeid - Trygg/Lade;79.08;ALTA;;;;;
2026-07-01;2.1-dev;Iceland_BestaDeildKarla_2026;18;Thor Akureyri;Valur;Thor Akureyri - Valur;78.53;ALTA;;;;;
2026-07-01;2.1-dev;Iceland_BestaDeildKarla_2026;18;Hafnarfjordur;Vestmannaeyjar;Hafnarfjordur - Vestmannaeyjar;78.3;ALTA;;;;;
2026-07-01;2.1-dev;USA_USLLeagueTwo_GreatForest_2026;20260630;Erie Sports Center;Pittsburgh Riverhounds 2;Erie Sports Center - Pittsburgh Riverhounds 2;78.05;ALTA;;;;;
2026-07-01;2.1-dev;Norway_2ndDivision_Group1_2026;13;Sotra;Jerv;Sotra - Jerv;78.02;ALTA;;;;;
2026-07-01;2.1-dev;Sweden_Superettan_2026;15;Sandviken;Helsingborg;Sandviken - Helsingborg;76.14;ALTA;;;;;
2026-07-01;2.1-dev;Sweden_Division2_SodraSvealand_2026;15;Karlslund;Fittja;Karlslund - Fittja;75.21;ALTA;;;;;
2026-07-01;2.1-dev;Norway_2ndDivision_Group2_2026;13;Follo;Levanger;Follo - Levanger;74.52;MEDIA;;;;;
2026-07-01;2.1-dev;Finland_Ykkonen_2026;14;KPV;Keski-Uusimaa;KPV - Keski-Uusimaa;73.86;MEDIA;;;;;
2026-07-01;2.1-dev;Norway_3rdDivision_Group3_2026;13;Varegg;V. Haugesund;Varegg - V. Haugesund;72.86;MEDIA;;;;;
2026-07-01;2.1-dev;Sweden_Division1_Norra_2026;15;Umeå;Jarfalla;Umeå - Jarfalla;72.42;MEDIA;;;;;
2026-07-01;2.1-dev;Norway_2ndDivision_Group2_2026;13;Stjordals Blink;Junkeren;Stjordals Blink - Junkeren;70.62;MEDIA;;;;;
2026-07-01;2.1-dev;Sweden_Superettan_2026;15;Landskrona;Värnamo;Landskrona - Värnamo;68.66;MEDIA;;;;;
2026-07-01;2.1-dev;Sweden_Division2_SodraSvealand_2026;15;Orebro Syr.;Syrianska;Orebro Syr. - Syrianska;64.49;MEDIA;;;;;
2026-07-01;2.1-dev;USA_USLLeagueTwo_NorCal_2026;20260629;Glens SC;San Francisco City;Glens SC - San Francisco City;63.87;MEDIA;;;;;
2026-07-01;2.1-dev;Sweden_Superettan_2026;15;Norrkoping;Norrby;Norrkoping - Norrby;54.2;BASSA;;;;;
2026-07-01;2.1-dev;Finland_Ykkosliiga_2026;13;KaPa;JaPS;KaPa - JaPS;50.56;BASSA;;;;;
