MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup
2026-07-16;Iceland_Division_2;Haukar;Throttur Vogar;82.9;ALTA;24;2026-07-16;Engine v1.3 | Squadra alta: Haukar (1ª), squadra bassa: Throttur Vogar (9ª) | GF alta: 2.69/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.86 | Real over index: 0.70;15.07;20.0;;;18.18;8.65;7.0;;;;1.3.0;Iceland_Division_2;Iceland_Division_2;
2026-07-16;Australia_NPLSouthAustralia;West Torrens;Para;82.77;ALTA;20;2026-07-16;Engine v1.3 | Squadra alta: West Torrens (4ª), squadra bassa: Para (15ª) | GF alta: 2.00/gara | GS bassa: 4.41/gara | Profilo ultime 10: 0.70 | Real over index: 0.70;22.0;16.67;;;20.0;7.01;7.0;;;;1.3.0;Australia_NPLSouthAustralia;Australia_NPLSouthAustralia;
2026-07-16;Estonia_Meistriliiga;Flora;Nomme Utd;81.62;ALTA;21;2026-07-16;Engine v1.3 | Squadra alta: Flora (2ª), squadra bassa: Nomme Utd (8ª) | GF alta: 2.12/gara | GS bassa: 2.37/gara | Profilo ultime 10: 0.92 | Real over index: 0.95;12.6;17.65;;;20.0;9.18;9.5;;;;1.3.0;Estonia_Meistriliiga;Estonia_Meistriliiga;
2026-07-16;Iceland_Division_2;KFG Gardabaer;Kari;80.49;ALTA;24;2026-07-16;Engine v1.3 | Squadra alta: Kari (4ª), squadra bassa: KFG Gardabaer (11ª) | GF alta: 2.58/gara | GS bassa: 3.08/gara | Profilo ultime 10: 0.88 | Real over index: 0.80;9.67;20.0;;;20.0;8.83;8.0;;;;1.3.0;Iceland_Division_2;Iceland_Division_2;
2026-07-16;Kazakhstan_FirstLeague;Kairat Almaty 2;Kaspij Aktau 2;80.24;ALTA;23;2026-07-16;Engine v1.3 | Squadra alta: Kairat Almaty 2 (1ª), squadra bassa: Kaspij Aktau 2 (11ª) | GF alta: 3.38/gara | GS bassa: 1.69/gara | Profilo ultime 10: 0.77 | Real over index: 0.70;20.22;20.0;;;15.38;7.73;7.0;;;;1.3.0;Kazakhstan_FirstLeague;Kazakhstan_FirstLeague;
2026-07-16;Finland_Kakkonen_GroupC;Vaajakoski;Huima / Urho;78.61;ALTA;15;2026-07-16;Engine v1.3 | Squadra alta: Huima / Urho (4ª), squadra bassa: Vaajakoski (9ª) | GF alta: 2.42/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.92 | Real over index: 0.80;7.46;20.0;;;20.0;9.15;8.0;;;;1.3.0;Finland_Kakkonen_GroupC;Finland_Kakkonen_GroupC;
2026-07-16;Kazakhstan_FirstLeague;Tobol 2;Akademiya Ontustik;77.22;ALTA;23;2026-07-16;Engine v1.3 | Squadra alta: Akademiya Ontustik (5ª), squadra bassa: Tobol 2 (13ª) | GF alta: 1.46/gara | GS bassa: 2.92/gara | Profilo ultime 10: 0.88 | Real over index: 0.80;14.27;12.18;;;20.0;8.77;8.0;;;;1.3.0;Kazakhstan_FirstLeague;Kazakhstan_FirstLeague;
2026-07-16;Finland_Kakkonen_GroupB;GrIFK;Abo;76.13;ALTA;14;2026-07-16;Engine v1.3 | Squadra alta: Abo (2ª), squadra bassa: GrIFK (6ª) | GF alta: 2.42/gara | GS bassa: 1.92/gara | Profilo ultime 10: 0.78 | Real over index: 0.60;12.96;20.0;;;17.42;7.82;6.0;;;;1.3.0;Finland_Kakkonen_GroupB;Finland_Kakkonen_GroupB;
2026-07-16;Somalia_NationalLeague;Badbaado;Dekedaha;75.49;ALTA;23;2026-07-16;Engine v1.3 | Squadra alta: Dekedaha (4ª), squadra bassa: Badbaado (8ª) | GF alta: 2.47/gara | GS bassa: 1.65/gara | Profilo ultime 10: 0.84 | Real over index: 0.70;11.83;20.0;;;14.97;8.45;7.0;;;;1.3.0;Somalia_NationalLeague;Somalia_NationalLeague;
2026-07-16;Norway_Eliteserien;Bodo/Glimt;Fredrikstad;74.92;MEDIA-ALTA;20;2026-07-16;Engine v1.3 | Squadra alta: Bodo/Glimt (3ª), squadra bassa: Fredrikstad (10ª) | GF alta: 2.50/gara | GS bassa: 1.83/gara | Profilo ultime 10: 0.72 | Real over index: 0.60;13.13;20.0;;;16.67;7.19;6.0;;;;1.3.0;Norway_Eliteserien;Norway_Eliteserien;
2026-07-16;Australia_NPLWesternAustralia;Perth Azzurri;Western Knights;70.68;MEDIA-ALTA;20;2026-07-16;Engine v1.3 | Squadra alta: Perth Azzurri (5ª), squadra bassa: Western Knights (8ª) | GF alta: 2.35/gara | GS bassa: 1.76/gara | Profilo ultime 10: 0.86 | Real over index: 0.70;5.46;19.61;;;16.04;8.57;7.0;;;;1.3.0;Australia_NPLWesternAustralia;Australia_NPLWesternAustralia;
2026-07-16;Australia_VictoriaPremierLeague;Melbourne Knights;Brunswick City;69.3;MEDIA-ALTA;22;2026-07-16;Engine v1.3 | Squadra alta: Melbourne Knights (1ª), squadra bassa: Brunswick City (10ª) | GF alta: 1.75/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.77 | Real over index: 0.55;12.0;14.58;;;18.18;7.73;5.5;;;;1.3.0;Australia_VictoriaPremierLeague;Australia_VictoriaPremierLeague;
2026-07-16;Sweden_Allsvenskan;Göteborg;Brommapojkarna;66.24;MEDIA-ALTA;18;2026-07-16;Engine v1.3 | Squadra alta: Brommapojkarna (11ª), squadra bassa: Göteborg (14ª) | GF alta: 1.42/gara | GS bassa: 2.33/gara | Profilo ultime 10: 0.78 | Real over index: 0.65;6.31;11.81;;;20.0;7.82;6.5;;;;1.3.0;Sweden_Allsvenskan;Sweden_Allsvenskan;
