LeagueId;Home;Away;Score;Band;Round;HG;AG;Goals;Over25;BTTS;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion;Match
USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;89.9;ALTA;22;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Flint City (1ª), squadra bassa: Lansing City (7ª) | GF alta: 2.80/gara | GS bassa: 3.50/gara | Profilo ultime 10: 0.81 | Real over index: 0.80;22.0;20.0;;;20.0;8.1;8.0;;;;1.3.0;Lansing City - Flint City
USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;88.86;ALTA;25;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Ironbound SC (2ª), squadra bassa: Staten Island ASC (8ª) | GF alta: 2.33/gara | GS bassa: 2.60/gara | Profilo ultime 10: 0.86 | Real over index: 0.78;19.43;19.44;;;20.0;8.57;7.83;;;;1.3.0;Ironbound SC - Staten Island ASC
USA_USLLeagueTwo_NorCal;San Francisco City;Academica SC;88.44;ALTA;27;;;;;;2026-07-06;Engine v1.3 | Squadra alta: San Francisco City (1ª), squadra bassa: Academica SC (5ª) | GF alta: 3.09/gara | GS bassa: 2.36/gara | Profilo ultime 10: 0.88 | Real over index: 0.75;18.27;20.0;;;20.0;8.82;7.5;;;;1.3.0;San Francisco City - Academica SC
USA_USLLeagueTwo_Northwest;Bigfoot;Portland Bangers;82.49;ALTA;32;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Portland Bangers (3ª), squadra bassa: Bigfoot (8ª) | GF alta: 1.67/gara | GS bassa: 3.18/gara | Profilo ultime 10: 0.82 | Real over index: 0.70;19.37;13.89;;;20.0;8.24;7.0;;;;1.3.0;Bigfoot - Portland Bangers
USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;80.13;ALTA;18;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Austin FC II (1ª), squadra bassa: Colorado Rapids 2 (7ª) | GF alta: 2.23/gara | GS bassa: 2.17/gara | Profilo ultime 10: 0.63 | Real over index: 0.50;22.0;18.59;;;19.7;6.33;5.0;;;;1.3.0;Austin FC II - Colorado Rapids 2
Iceland_BestaDeildKarla;Keflavik;Fram;78.51;ALTA;19;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Fram (3ª), squadra bassa: Keflavik (8ª) | GF alta: 2.58/gara | GS bassa: 1.92/gara | Profilo ultime 10: 0.83 | Real over index: 0.65;12.24;20.0;;;17.42;8.34;6.5;;;;1.3.0;Keflavik - Fram
USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;77.11;ALTA;26;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Northern Virginia (9ª), squadra bassa: Patuxent (11ª) | GF alta: 2.64/gara | GS bassa: 3.91/gara | Profilo ultime 10: 0.70 | Real over index: 0.70;14.54;20.0;;;20.0;6.98;7.0;;;;1.3.0;Northern Virginia - Patuxent
USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;72.17;MEDIA-ALTA;19;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Los Angeles FC 2 (1ª), squadra bassa: Real Monarchs (5ª) | GF alta: 1.83/gara | GS bassa: 1.77/gara | Profilo ultime 10: 0.79 | Real over index: 0.65;12.41;15.28;;;16.08;7.9;6.5;;;;1.3.0;Los Angeles FC 2 - Real Monarchs
USA_USLLeagueTwo_Chesapeake;Christos;Loudoun 2;70.18;MEDIA-ALTA;26;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Christos (4ª), squadra bassa: Loudoun 2 (6ª) | GF alta: 1.92/gara | GS bassa: 2.25/gara | Profilo ultime 10: 0.94 | Real over index: 0.85;2.33;15.97;;;20.0;9.38;8.5;;;;1.3.0;Christos - Loudoun 2
USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;68.78;MEDIA-ALTA;18;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Crown Legacy (1ª), squadra bassa: Orlando City B (2ª) | GF alta: 2.67/gara | GS bassa: 1.77/gara | Profilo ultime 10: 0.86 | Real over index: 0.75;2.57;20.0;;;16.08;8.62;7.5;;;;1.3.0;Crown Legacy - Orlando City B
USA_USLLeagueTwo_NorCal;Marin;Glens SC;67.93;MEDIA-ALTA;27;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Glens SC (4ª), squadra bassa: Marin (7ª) | GF alta: 1.09/gara | GS bassa: 3.18/gara | Profilo ultime 10: 0.78 | Real over index: 0.70;10.23;9.09;;;20.0;7.76;7.0;;;;1.3.0;Marin - Glens SC
Sweden_Allsvenskan;Hacken;Djurgarden;67.67;MEDIA-ALTA;17;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Hacken (2ª), squadra bassa: Djurgarden (10ª) | GF alta: 2.00/gara | GS bassa: 1.44/gara | Profilo ultime 10: 0.81 | Real over index: 0.63;9.4;16.67;;;13.13;8.14;6.33;;;;1.3.0;Hacken - Djurgarden
USA_USLLeagueOne;AV Alta;Charlotte Independ.;65.8;MEDIA-ALTA;22;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Charlotte Independ. (3ª), squadra bassa: AV Alta (4ª) | GF alta: 2.54/gara | GS bassa: 1.13/gara | Profilo ultime 10: 0.80 | Real over index: 0.70;6.49;20.0;;;10.3;8.0;7.0;;;;1.3.0;AV Alta - Charlotte Independ.
USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;62.37;MEDIA-ALTA;17;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Little Rock Rangers (1ª), squadra bassa: Louisiana (2ª) | GF alta: 1.89/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.77 | Real over index: 0.63;9.65;15.74;;;13.64;7.67;6.28;;;;1.3.0;Little Rock Rangers - Louisiana
USA_USLLeagueTwo_SouthAtlantic;North Carolina FC U23;Asheville City;62.27;MEDIA-ALTA;36;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Asheville City (4ª), squadra bassa: North Carolina FC U23 (6ª) | GF alta: 1.83/gara | GS bassa: 1.82/gara | Profilo ultime 10: 0.77 | Real over index: 0.60;6.67;15.28;;;16.53;7.66;6.0;;;;1.3.0;North Carolina FC U23 - Asheville City
USA_USLLeagueTwo_SouthCentral;East Atlanta;Birmingham 2;59.7;MEDIA;20;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Birmingham 2 (6ª), squadra bassa: East Atlanta (7ª) | GF alta: 1.20/gara | GS bassa: 2.11/gara | Profilo ultime 10: 0.76 | Real over index: 0.63;2.55;10.0;;;19.19;7.62;6.33;;;;1.3.0;East Atlanta - Birmingham 2
Latvia_Virsliga;Super Nova;Ogre United;59.22;MEDIA;22;;;;;;2026-07-06;Engine v1.3 | Squadra alta: Super Nova (8ª), squadra bassa: Ogre United (10ª) | GF alta: 1.00/gara | GS bassa: 2.75/gara | Profilo ultime 10: 0.68 | Real over index: 0.60;5.29;8.33;;;20.0;6.76;6.0;;;;1.3.0;Super Nova - Ogre United
Sweden_Allsvenskan;Brommapojkarna;GAIS;55.97;MEDIA;17;;;;;;2026-07-06;Engine v1.3 | Squadra alta: GAIS (7ª), squadra bassa: Brommapojkarna (8ª) | GF alta: 1.45/gara | GS bassa: 1.60/gara | Profilo ultime 10: 0.81 | Real over index: 0.70;1.81;12.12;;;14.55;8.11;7.0;;;;1.3.0;Brommapojkarna - GAIS
