Country;League;Home;Away
ARABIA SAUDITA;Saudi Professional League;Neom SC;Al Fayha
ARABIA SAUDITA;Saudi Professional League;Al-Ettifaq;Al Riyadh
ARABIA SAUDITA;Saudi Professional League;Al-Hilal;Al-Faysaly
AUSTRIA;Steiermark;Leoben;Weindorf St. Anna
AUSTRIA;Steiermark;SV Schermann Rorhrach;Kindberg Murzhofen
AUSTRIA;Steiermark;Hohenhaus Schladming;Furstenfeld
AUSTRIA;Steiermark;Koflach;Lebring
AUSTRIA;Steiermark;Stadtwerke Bruck/Mur;Pachern
AUSTRIA;Steiermark;SV Union Gnas;Ilzer SV
AUSTRIA;Vorarlberg;Nenzing;Admira Dornbirn
AUSTRIA;Vorarlberg;Riefensberg;Hard
PORTOGALLO;Liga 3;Santarem;Oliveirense
REPUBBLICA CECA;Karlovarsky KP;FC Cheb;Kralovske Porici
REPUBBLICA CECA;Prazsky prebor;Motorlet Prague B;Podoli Praha
