Engine;Overall_OK;Overall_KO;Overall_Total;Overall_HitRate;Train_OK;Train_KO;Train_Total;Train_HitRate;Test_OK;Test_KO;Test_Total;Test_HitRate;NoAU_OK;NoAU_KO;NoAU_Total;NoAU_HitRate;SplitDate
v20;95;19;114;83.3333;54;13;67;80.597;41;6;47;87.234;68;10;78;87.1795;2026-08-07
v22;482;181;663;72.6998;282;117;399;70.6767;200;64;264;75.7576;349;128;477;73.1656;2026-08-06
v25;482;181;663;72.6998;282;117;399;70.6767;200;64;264;75.7576;349;128;477;73.1656;2026-08-06
v26;143;44;187;76.4706;74;29;103;71.8447;69;15;84;82.1429;115;36;151;76.1589;2026-08-13
