Engine;Metric;Rule;Threshold;Penalty;Affected;Overall_OK;Overall_KO;Overall_Total;Overall_HitRate;Removed_OK;Removed_KO;Removed_Total;Removed_HitRate;Train_OK;Train_KO;Train_Total;Train_HitRate;Test_OK;Test_KO;Test_Total;Test_HitRate;NoAU_OK;NoAU_KO;NoAU_Total;NoAU_HitRate;SplitDate;DeltaOverallVsBaseline;DeltaTestVsBaseline;DeltaNoAUVsBaseline;ConfigId
v20;LAST5;AT_LEAST_ONE_STRONG;1.6;12;69;39;6;45;86.6667;56;13;69;81.1594;26;5;31;83.871;13;1;14;92.8571;27;4;31;87.0968;2026-08-07;3.3334;5.6231;-0.0827;v20|LAST5|AT_LEAST_ONE_STRONG|1.60|P12
v20;LAST5;AT_LEAST_ONE_STRONG;1.6;13;69;39;6;45;86.6667;56;13;69;81.1594;26;5;31;83.871;13;1;14;92.8571;27;4;31;87.0968;2026-08-07;3.3334;5.6231;-0.0827;v20|LAST5|AT_LEAST_ONE_STRONG|1.60|P13
v20;LAST5;AT_LEAST_ONE_STRONG;1.6;14;69;39;6;45;86.6667;56;13;69;81.1594;26;5;31;83.871;13;1;14;92.8571;27;4;31;87.0968;2026-08-07;3.3334;5.6231;-0.0827;v20|LAST5|AT_LEAST_ONE_STRONG|1.60|P14
v20;LAST5;AT_LEAST_ONE_STRONG;1.6;15;69;39;6;45;86.6667;56;13;69;81.1594;26;5;31;83.871;13;1;14;92.8571;27;4;31;87.0968;2026-08-07;3.3334;5.6231;-0.0827;v20|LAST5|AT_LEAST_ONE_STRONG|1.60|P15
v20;LAST5;AT_LEAST_ONE_STRONG;1.6;11;69;40;7;47;85.1064;55;12;67;82.0896;27;6;33;81.8182;13;1;14;92.8571;27;4;31;87.0968;2026-08-07;1.7731;5.6231;-0.0827;v20|LAST5|AT_LEAST_ONE_STRONG|1.60|P11
v20;LAST5;AT_LEAST_ONE_STRONG;1.6;3;69;72;11;83;86.747;23;8;31;74.1935;42;8;50;84.0;30;3;33;90.9091;49;5;54;90.7407;2026-08-07;3.4137;3.6751;3.5612;v20|LAST5|AT_LEAST_ONE_STRONG|1.60|P3
v20;SEASON;AT_LEAST_ONE_STRONG;1.5;12;49;57;8;65;87.6923;38;11;49;77.551;38;6;44;86.3636;19;2;21;90.4762;42;6;48;87.5;2026-08-07;4.359;3.2422;0.3205;v20|SEASON|AT_LEAST_ONE_STRONG|1.50|P12
v20;SEASON;AT_LEAST_ONE_STRONG;1.5;13;49;57;8;65;87.6923;38;11;49;77.551;38;6;44;86.3636;19;2;21;90.4762;42;6;48;87.5;2026-08-07;4.359;3.2422;0.3205;v20|SEASON|AT_LEAST_ONE_STRONG|1.50|P13
v20;SEASON;AT_LEAST_ONE_STRONG;1.5;14;49;57;8;65;87.6923;38;11;49;77.551;38;6;44;86.3636;19;2;21;90.4762;42;6;48;87.5;2026-08-07;4.359;3.2422;0.3205;v20|SEASON|AT_LEAST_ONE_STRONG|1.50|P14
v20;SEASON;AT_LEAST_ONE_STRONG;1.5;15;49;57;8;65;87.6923;38;11;49;77.551;38;6;44;86.3636;19;2;21;90.4762;42;6;48;87.5;2026-08-07;4.359;3.2422;0.3205;v20|SEASON|AT_LEAST_ONE_STRONG|1.50|P15
v20;SEASON;AT_LEAST_ONE_STRONG;1.5;11;49;58;9;67;86.5672;37;10;47;78.7234;39;7;46;84.7826;19;2;21;90.4762;42;6;48;87.5;2026-08-07;3.2339;3.2422;0.3205;v20|SEASON|AT_LEAST_ONE_STRONG|1.50|P11
v20;SEASON;HOME_STRONG;1.5;12;48;57;9;66;86.3636;38;10;48;79.1667;38;7;45;84.4444;19;2;21;90.4762;42;7;49;85.7143;2026-08-07;3.0303;3.2422;-1.4652;v20|SEASON|HOME_STRONG|1.50|P12
v20;SEASON;HOME_STRONG;1.5;13;48;57;9;66;86.3636;38;10;48;79.1667;38;7;45;84.4444;19;2;21;90.4762;42;7;49;85.7143;2026-08-07;3.0303;3.2422;-1.4652;v20|SEASON|HOME_STRONG|1.50|P13
v20;SEASON;HOME_STRONG;1.5;14;48;57;9;66;86.3636;38;10;48;79.1667;38;7;45;84.4444;19;2;21;90.4762;42;7;49;85.7143;2026-08-07;3.0303;3.2422;-1.4652;v20|SEASON|HOME_STRONG|1.50|P14
v20;SEASON;HOME_STRONG;1.5;15;48;57;9;66;86.3636;38;10;48;79.1667;38;7;45;84.4444;19;2;21;90.4762;42;7;49;85.7143;2026-08-07;3.0303;3.2422;-1.4652;v20|SEASON|HOME_STRONG|1.50|P15
v20;SEASON;HOME_STRONG;1.5;11;48;58;10;68;85.2941;37;9;46;80.4348;39;8;47;82.9787;19;2;21;90.4762;42;7;49;85.7143;2026-08-07;1.9608;3.2422;-1.4652;v20|SEASON|HOME_STRONG|1.50|P11
v20;LAST5;AT_LEAST_ONE_STRONG;1.2;12;42;64;8;72;88.8889;31;11;42;73.8095;36;5;41;87.8049;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;5.5556;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.20|P12
v20;LAST5;AT_LEAST_ONE_STRONG;1.2;13;42;64;8;72;88.8889;31;11;42;73.8095;36;5;41;87.8049;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;5.5556;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.20|P13
v20;LAST5;AT_LEAST_ONE_STRONG;1.2;14;42;64;8;72;88.8889;31;11;42;73.8095;36;5;41;87.8049;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;5.5556;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.20|P14
v20;LAST5;AT_LEAST_ONE_STRONG;1.2;15;42;64;8;72;88.8889;31;11;42;73.8095;36;5;41;87.8049;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;5.5556;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.20|P15
v20;LAST5;AT_LEAST_ONE_STRONG;1.3;12;42;64;8;72;88.8889;31;11;42;73.8095;36;5;41;87.8049;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;5.5556;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.30|P12
v20;LAST5;AT_LEAST_ONE_STRONG;1.3;13;42;64;8;72;88.8889;31;11;42;73.8095;36;5;41;87.8049;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;5.5556;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.30|P13
v20;LAST5;AT_LEAST_ONE_STRONG;1.3;14;42;64;8;72;88.8889;31;11;42;73.8095;36;5;41;87.8049;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;5.5556;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.30|P14
v20;LAST5;AT_LEAST_ONE_STRONG;1.3;15;42;64;8;72;88.8889;31;11;42;73.8095;36;5;41;87.8049;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;5.5556;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.30|P15
v20;LAST5;AT_LEAST_ONE_STRONG;1.2;11;42;65;9;74;87.8378;30;10;40;75.0;37;6;43;86.0465;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;4.5045;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.20|P11
v20;LAST5;AT_LEAST_ONE_STRONG;1.3;11;42;65;9;74;87.8378;30;10;40;75.0;37;6;43;86.0465;28;3;31;90.3226;49;6;55;89.0909;2026-08-07;4.5045;3.0886;1.9114;v20|LAST5|AT_LEAST_ONE_STRONG|1.30|P11
v20;LAST5;HOME_STRONG;1.2;12;39;65;10;75;86.6667;30;9;39;76.9231;37;7;44;84.0909;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;3.3334;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.20|P12
v20;LAST5;HOME_STRONG;1.2;13;39;65;10;75;86.6667;30;9;39;76.9231;37;7;44;84.0909;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;3.3334;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.20|P13
v20;LAST5;HOME_STRONG;1.2;14;39;65;10;75;86.6667;30;9;39;76.9231;37;7;44;84.0909;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;3.3334;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.20|P14
v20;LAST5;HOME_STRONG;1.2;15;39;65;10;75;86.6667;30;9;39;76.9231;37;7;44;84.0909;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;3.3334;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.20|P15
v20;LAST5;HOME_STRONG;1.3;12;39;65;10;75;86.6667;30;9;39;76.9231;37;7;44;84.0909;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;3.3334;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.30|P12
v20;LAST5;HOME_STRONG;1.3;13;39;65;10;75;86.6667;30;9;39;76.9231;37;7;44;84.0909;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;3.3334;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.30|P13
v20;LAST5;HOME_STRONG;1.3;14;39;65;10;75;86.6667;30;9;39;76.9231;37;7;44;84.0909;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;3.3334;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.30|P14
v20;LAST5;HOME_STRONG;1.3;15;39;65;10;75;86.6667;30;9;39;76.9231;37;7;44;84.0909;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;3.3334;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.30|P15
v20;LAST5;HOME_STRONG;1.2;11;39;66;11;77;85.7143;29;8;37;78.3784;38;8;46;82.6087;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;2.381;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.20|P11
v20;LAST5;HOME_STRONG;1.3;11;39;66;11;77;85.7143;29;8;37;78.3784;38;8;46;82.6087;28;3;31;90.3226;50;8;58;86.2069;2026-08-07;2.381;3.0886;-0.9726;v20|LAST5|HOME_STRONG|1.30|P11
v20;LAST5;AWAY_STRONG;1.6;8;13;87;14;101;86.1386;8;5;13;61.5385;51;10;61;83.6066;36;4;40;90.0;62;7;69;89.8551;2026-08-07;2.8053;2.766;2.6756;v20|LAST5|AWAY_STRONG|1.60|P8
v20;LAST5;AWAY_STRONG;1.6;9;13;87;14;101;86.1386;8;5;13;61.5385;51;10;61;83.6066;36;4;40;90.0;62;7;69;89.8551;2026-08-07;2.8053;2.766;2.6756;v20|LAST5|AWAY_STRONG|1.60|P9
v20;LAST5;AWAY_STRONG;1.6;10;13;87;14;101;86.1386;8;5;13;61.5385;51;10;61;83.6066;36;4;40;90.0;62;7;69;89.8551;2026-08-07;2.8053;2.766;2.6756;v20|LAST5|AWAY_STRONG|1.60|P10
v20;LAST5;AWAY_STRONG;1.6;11;13;87;14;101;86.1386;8;5;13;61.5385;51;10;61;83.6066;36;4;40;90.0;62;7;69;89.8551;2026-08-07;2.8053;2.766;2.6756;v20|LAST5|AWAY_STRONG|1.60|P11
v20;LAST5;AWAY_STRONG;1.6;12;13;87;14;101;86.1386;8;5;13;61.5385;51;10;61;83.6066;36;4;40;90.0;62;7;69;89.8551;2026-08-07;2.8053;2.766;2.6756;v20|LAST5|AWAY_STRONG|1.60|P12
v20;LAST5;AWAY_STRONG;1.6;13;13;87;14;101;86.1386;8;5;13;61.5385;51;10;61;83.6066;36;4;40;90.0;62;7;69;89.8551;2026-08-07;2.8053;2.766;2.6756;v20|LAST5|AWAY_STRONG|1.60|P13
v20;LAST5;AWAY_STRONG;1.6;14;13;87;14;101;86.1386;8;5;13;61.5385;51;10;61;83.6066;36;4;40;90.0;62;7;69;89.8551;2026-08-07;2.8053;2.766;2.6756;v20|LAST5|AWAY_STRONG|1.60|P14
v20;LAST5;AWAY_STRONG;1.6;15;13;87;14;101;86.1386;8;5;13;61.5385;51;10;61;83.6066;36;4;40;90.0;62;7;69;89.8551;2026-08-07;2.8053;2.766;2.6756;v20|LAST5|AWAY_STRONG|1.60|P15
v20;SEASON;HOME_STRONG;1.5;2;48;84;14;98;85.7143;11;5;16;68.75;48;10;58;82.7586;36;4;40;90.0;60;7;67;89.5522;2026-08-07;2.381;2.766;2.3727;v20|SEASON|HOME_STRONG|1.50|P2
v20;SEASON;AT_LEAST_ONE_STRONG;1.5;2;49;84;14;98;85.7143;11;5;16;68.75;48;10;58;82.7586;36;4;40;90.0;60;7;67;89.5522;2026-08-07;2.381;2.766;2.3727;v20|SEASON|AT_LEAST_ONE_STRONG|1.50|P2
v20;LAST5;AWAY_STRONG;1.6;7;13;87;15;102;85.2941;8;4;12;66.6667;51;11;62;82.2581;36;4;40;90.0;62;8;70;88.5714;2026-08-07;1.9608;2.766;1.3919;v20|LAST5|AWAY_STRONG|1.60|P7
v20;SEASON;HOME_STRONG;1.6;2;58;80;13;93;86.0215;15;6;21;71.4286;45;9;54;83.3333;35;4;39;89.7436;57;7;64;89.0625;2026-08-07;2.6882;2.5096;1.883;v20|SEASON|HOME_STRONG|1.60|P2
v20;SEASON;AT_LEAST_ONE_STRONG;1.6;2;59;80;13;93;86.0215;15;6;21;71.4286;45;9;54;83.3333;35;4;39;89.7436;57;7;64;89.0625;2026-08-07;2.6882;2.5096;1.883;v20|SEASON|AT_LEAST_ONE_STRONG|1.60|P2
v20;SEASON;AT_LEAST_ONE_STRONG;1.3;12;34;70;10;80;87.5;25;9;34;73.5294;44;7;51;86.2745;26;3;29;89.6552;48;7;55;87.2727;2026-08-07;4.1667;2.4212;0.0932;v20|SEASON|AT_LEAST_ONE_STRONG|1.30|P12
v20;SEASON;AT_LEAST_ONE_STRONG;1.3;13;34;70;10;80;87.5;25;9;34;73.5294;44;7;51;86.2745;26;3;29;89.6552;48;7;55;87.2727;2026-08-07;4.1667;2.4212;0.0932;v20|SEASON|AT_LEAST_ONE_STRONG|1.30|P13
v20;SEASON;AT_LEAST_ONE_STRONG;1.3;14;34;70;10;80;87.5;25;9;34;73.5294;44;7;51;86.2745;26;3;29;89.6552;48;7;55;87.2727;2026-08-07;4.1667;2.4212;0.0932;v20|SEASON|AT_LEAST_ONE_STRONG|1.30|P14
v20;SEASON;AT_LEAST_ONE_STRONG;1.3;15;34;70;10;80;87.5;25;9;34;73.5294;44;7;51;86.2745;26;3;29;89.6552;48;7;55;87.2727;2026-08-07;4.1667;2.4212;0.0932;v20|SEASON|AT_LEAST_ONE_STRONG|1.30|P15
v20;SEASON;AT_LEAST_ONE_STRONG;1.3;11;34;71;11;82;86.5854;24;8;32;75.0;45;8;53;84.9057;26;3;29;89.6552;48;7;55;87.2727;2026-08-07;3.2521;2.4212;0.0932;v20|SEASON|AT_LEAST_ONE_STRONG|1.30|P11
v20;SEASON;HOME_STRONG;1.3;12;33;70;11;81;86.4198;25;8;33;75.7576;44;8;52;84.6154;26;3;29;89.6552;48;8;56;85.7143;2026-08-07;3.0865;2.4212;-1.4652;v20|SEASON|HOME_STRONG|1.30|P12
v20;SEASON;HOME_STRONG;1.3;13;33;70;11;81;86.4198;25;8;33;75.7576;44;8;52;84.6154;26;3;29;89.6552;48;8;56;85.7143;2026-08-07;3.0865;2.4212;-1.4652;v20|SEASON|HOME_STRONG|1.30|P13
v20;SEASON;HOME_STRONG;1.3;14;33;70;11;81;86.4198;25;8;33;75.7576;44;8;52;84.6154;26;3;29;89.6552;48;8;56;85.7143;2026-08-07;3.0865;2.4212;-1.4652;v20|SEASON|HOME_STRONG|1.30|P14
