ConfigId;Type;Overall_OK;Overall_KO;Overall_Total;Overall_HitRate;Overall_SampleClass;NoAU_OK;NoAU_KO;NoAU_Total;NoAU_HitRate;Train_OK;Train_KO;Train_Total;Train_HitRate;Test_OK;Test_KO;Test_Total;Test_HitRate;Test_SampleClass;TrainTestDelta;W_RankingGap;W_HomeAttack;W_AwayAttack;W_HomeDefenseWeakness;W_AwayDefenseWeakness;W_HomeLast10Over;W_AwayLast10Over;W_HomeVenueOver;W_AwayVenueOver;W_BTTSProfile
GLOB_0208;GLOBAL;285;95;380;75.0;100+;210;65;275;76.3636;158;63;221;71.4932;127;32;159;79.8742;100+;8.381;30.296241;23.265847;5.687494;0.053138;11.396425;6.695734;3.415218;10.891538;1.367895;12.93047
GLOB_0411;GLOBAL;314;107;421;74.5843;100+;225;69;294;76.5306;177;75;252;70.2381;137;32;169;81.0651;100+;10.827;17.993556;9.719677;4.799126;1.954295;2.07923;19.531262;8.251599;15.352501;10.282785;16.035968
GLOB_1393;GLOBAL;273;94;367;74.3869;100+;202;62;264;76.5152;151;63;214;70.5607;122;31;153;79.7386;100+;9.1779;26.175102;12.496555;3.049536;4.505158;11.502565;4.540281;16.593256;8.040526;6.600985;12.496036
GLOB_0015;GLOBAL;344;120;464;74.1379;100+;248;82;330;75.1515;195;80;275;70.9091;149;40;189;78.836;100+;7.9269;20.235885;5.895281;12.407738;3.10932;14.938639;12.458278;1.748629;26.735167;2.630528;5.840534
GLOB_1975;GLOBAL;398;139;537;74.1155;100+;280;91;371;75.4717;230;96;326;70.5521;168;43;211;79.6209;100+;9.0688;15.080748;11.560171;1.710169;6.03967;10.088175;4.511981;10.527075;18.546567;23.849274;4.086169
GLOB_1841;GLOBAL;364;128;492;73.9837;100+;260;84;344;75.5814;205;88;293;69.9659;159;40;199;79.8995;100+;9.9336;18.012376;12.681334;11.343411;2.585882;17.003961;8.897907;5.850217;10.975463;4.589918;14.059532
GLOB_0420;GLOBAL;307;108;415;73.9759;100+;223;69;292;76.3699;172;73;245;70.2041;135;35;170;79.4118;100+;9.2077;25.009448;17.344105;2.593347;5.656767;10.643618;9.401021;9.934329;7.940962;9.477462;7.998939
GLOB_0020;GLOBAL;320;113;433;73.903;100+;231;71;302;76.4901;178;78;256;69.5312;142;35;177;80.226;100+;10.6948;19.341764;19.171467;5.78351;3.968453;6.659863;3.990372;12.630917;5.845561;7.40799;21.200103
GLOB_0679;GLOBAL;376;133;509;73.8703;100+;275;90;365;75.3425;211;93;304;69.4079;165;40;205;80.4878;100+;11.0799;16.939091;23.588866;5.293843;2.491006;8.52935;6.582574;9.590637;10.73323;0.916201;21.335202
GLOB_0279;GLOBAL;387;137;524;73.855;100+;275;91;366;75.1366;222;94;316;70.2532;165;43;208;79.3269;100+;9.0737;12.014627;13.125255;1.07675;0.477408;12.305302;9.474783;7.46589;16.498697;15.459067;18.102221
