LeagueId;Round;Home;Away;Match;Score;Band;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent;Reason
Norway_3rdDivision_Group1_2026;13;Asker;Ullern;Asker - Ullern;89.62;ALTA;19.04;20.0;20.0;9.2;9.0;Engine v1.3 | Squadra alta: Asker (1ª), squadra bassa: Ullern (9ª) | GF alta: 3.36/gara | GS bassa: 2.45/gara | Profilo ultime 10: 0.92 | Real over index: 0.90
Iceland_Division_2_2026;21;Kari;Magni;Kari - Magni;87.59;ALTA;16.53;20.0;20.0;8.72;8.33;Engine v1.3 | Squadra alta: Kari (2ª), squadra bassa: Magni (12ª) | GF alta: 3.00/gara | GS bassa: 3.22/gara | Profilo ultime 10: 0.87 | Real over index: 0.83
USA_USLLeagueTwo_Metropolitan_2026;24;New Jersey Copa;Ironbound SC;New Jersey Copa - Ironbound SC;87.19;ALTA;18.58;19.79;20.0;8.21;6.88;Engine v1.3 | Squadra alta: Ironbound SC (2ª), squadra bassa: New Jersey Copa (7ª) | GF alta: 2.38/gara | GS bassa: 2.50/gara | Profilo ultime 10: 0.82 | Real over index: 0.69
Norway_3rdDivision_Group2_2026;14;Herd;Ntnui;Herd - Ntnui;83.03;ALTA;15.53;20.0;18.18;8.32;7.0;Engine v1.3 | Squadra alta: Herd (1ª), squadra bassa: Ntnui (11ª) | GF alta: 2.64/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.83 | Real over index: 0.70
Norway_3rdDivision_Group5_2026;12;Ulfstind;Harstad;Ulfstind - Harstad;82.76;ALTA;10.21;20.0;20.0;9.55;9.0;Engine v1.3 | Squadra alta: Harstad (7ª), squadra bassa: Ulfstind (14ª) | GF alta: 2.55/gara | GS bassa: 3.45/gara | Profilo ultime 10: 0.96 | Real over index: 0.90
Norway_3rdDivision_Group3_2026;13;Sogndal 2;Stord;Sogndal 2 - Stord;81.71;ALTA;11.18;20.0;20.0;9.03;7.5;Engine v1.3 | Squadra alta: Sogndal 2 (4ª), squadra bassa: Stord (10ª) | GF alta: 3.00/gara | GS bassa: 2.45/gara | Profilo ultime 10: 0.90 | Real over index: 0.75
Sweden_Division2_NorraGotaland_2026;15;Husqvarna;Karlstad II;Husqvarna - Karlstad II;80.63;ALTA;20.82;20.0;16.08;6.94;5.5;Engine v1.3 | Squadra alta: Husqvarna (1ª), squadra bassa: Karlstad II (12ª) | GF alta: 2.46/gara | GS bassa: 1.77/gara | Profilo ultime 10: 0.69 | Real over index: 0.55
USA_USLLeagueTwo_Heartland_2026;21;Edgewater Castle;Chicago Dutch Lions;Edgewater Castle - Chicago Dutch Lions;79.4;ALTA;13.95;12.5;20.0;9.58;9.38;Engine v1.3 | Squadra alta: Chicago Dutch Lions (3ª), squadra bassa: Edgewater Castle (8ª) | GF alta: 1.50/gara | GS bassa: 3.22/gara | Profilo ultime 10: 0.96 | Real over index: 0.94
Norway_OBOSLigaen_2026;13;Åsane;Ranheim;Åsane - Ranheim;79.1;ALTA;11.54;20.0;18.18;8.38;7.0;Engine v1.3 | Squadra alta: Ranheim (6ª), squadra bassa: Åsane (13ª) | GF alta: 2.67/gara | GS bassa: 2.00/gara | Profilo ultime 10: 0.84 | Real over index: 0.70
Norway_3rdDivision_Group5_2026;12;Fauske Sprint;Floya;Fauske Sprint - Floya;77.68;ALTA;4.65;20.0;20.0;9.53;9.5;Engine v1.3 | Squadra alta: Floya (2ª), squadra bassa: Fauske Sprint (4ª) | GF alta: 2.55/gara | GS bassa: 2.73/gara | Profilo ultime 10: 0.95 | Real over index: 0.95
Iceland_Division_2_2026;21;Dalvik/Reynir;KFA;Dalvik/Reynir - KFA;77.66;ALTA;11.26;15.74;20.0;8.89;7.78;Engine v1.3 | Squadra alta: Dalvik/Reynir (3ª), squadra bassa: KFA (10ª) | GF alta: 1.89/gara | GS bassa: 2.33/gara | Profilo ultime 10: 0.89 | Real over index: 0.78
Sweden_Division2_NorraGotaland_2026;15;Ahlafors IF;Tord;Ahlafors IF - Tord;77.54;ALTA;15.74;18.59;16.78;7.1;6.5;Engine v1.3 | Squadra alta: Ahlafors IF (5ª), squadra bassa: Tord (13ª) | GF alta: 2.23/gara | GS bassa: 1.85/gara | Profilo ultime 10: 0.71 | Real over index: 0.65
Norway_3rdDivision_Group2_2026;14;Byåsen;Aalesund 2;Byåsen - Aalesund 2;77.15;ALTA;9.94;15.91;20.0;9.3;8.0;Engine v1.3 | Squadra alta: Byåsen (6ª), squadra bassa: Aalesund 2 (14ª) | GF alta: 1.91/gara | GS bassa: 3.27/gara | Profilo ultime 10: 0.93 | Real over index: 0.80
