LeagueId;Round;Home;Away;Match;Score;Band;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent;Reason
Norway_3rdDivision_Group3_2026;12;Austevoll;Fyllingsdalen;Austevoll - Fyllingsdalen;75.09;ALTA;1.86;22.73;25.0;15.0;10.5;Ranking gap: 0.093 | Attacco casa: 2.27/gara | Difesa trasferta subisce: 2.73/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.70
Sweden_Division2_NorraGotaland_2026;15;IFK Skovde;Lidkoping;IFK Skovde - Lidkoping;73.12;MEDIA-ALTA;5.2;22.31;24.62;10.5;10.5;Ranking gap: 0.260 | Attacco casa: 2.23/gara | Difesa trasferta subisce: 2.46/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.70
Norway_3rdDivision_Group4_2026;12;Staal Jorpeland;Hinna;Staal Jorpeland - Hinna;70.61;MEDIA-ALTA;2.52;19.09;25.0;12.0;12.0;Ranking gap: 0.126 | Attacco casa: 1.91/gara | Difesa trasferta subisce: 3.00/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.80
Norway_3rdDivision_Group2_2026;14;Strindheim;Melhus;Strindheim - Melhus;64.33;MEDIA-ALTA;1.1;25.0;12.73;15.0;10.5;Ranking gap: 0.055 | Attacco casa: 2.55/gara | Difesa trasferta subisce: 1.27/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.70
Norway_3rdDivision_Group3_2026;12;Åsane 2;OS;Åsane 2 - OS;60.97;MEDIA-ALTA;4.24;12.73;20.0;10.5;13.5;Ranking gap: 0.212 | Attacco casa: 1.27/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.90
Sweden_Division2_SodraSvealand_2026;15;Nykopings;Nacka FC;Nykopings - Nacka FC;59.82;MEDIA;6.32;17.69;22.31;3.0;10.5;Ranking gap: 0.316 | Attacco casa: 1.77/gara | Difesa trasferta subisce: 2.23/gara | Over25 casa ultime10: 0.20 | Over25 trasferta ultime10: 0.70
Iceland_BestaDeildKarla_2026;17;Breidablik;Vikingur Reykjavik;Breidablik - Vikingur Reykjavik;57.08;MEDIA;3.08;25.0;5.0;12.0;12.0;Ranking gap: 0.154 | Attacco casa: 2.64/gara | Difesa trasferta subisce: 0.50/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.80
Norway_3rdDivision_Group1_2026;13;Konnerud;Ready;Konnerud - Ready;56.36;MEDIA;3.86;16.36;13.64;12.0;10.5;Ranking gap: 0.193 | Attacco casa: 1.64/gara | Difesa trasferta subisce: 1.36/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.70
Sweden_Division2_VastraGotaland_2026;15;Galtabacks BK;Boljan;Galtabacks BK - Boljan;51.18;MEDIA;3.18;15.38;14.62;9.0;9.0;Ranking gap: 0.159 | Attacco casa: 1.54/gara | Difesa trasferta subisce: 1.46/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.60
Norway_3rdDivision_Group4_2026;12;Vag;Viking 2;Vag - Viking 2;48.31;MEDIA;2.76;12.73;11.82;10.5;10.5;Ranking gap: 0.138 | Attacco casa: 1.27/gara | Difesa trasferta subisce: 1.18/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.70
Norway_3rdDivision_Group6_2026;12;Brumunddal;SK Gjovik-Lyn;Brumunddal - SK Gjovik-Lyn;42.89;BASSA;4.62;12.73;4.55;15.0;6.0;Ranking gap: 0.231 | Attacco casa: 1.27/gara | Difesa trasferta subisce: 0.45/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.40
Sweden_Division2_NorraSvealand_2026;15;Helges;Sunnersta AIF;Helges - Sunnersta AIF;38.65;BASSA;6.8;6.15;7.69;10.5;7.5;Ranking gap: 0.340 | Attacco casa: 0.62/gara | Difesa trasferta subisce: 0.77/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.50
