model_version;country;league;home;away;match;score;band;ranking_component;strong_gf_component;weak_ga_component;strong_ga_component;weak_gf_component;last10_component;real_over_index_component;random_component;risultato;ESITO;reason
1.1;Australia;Queensland Premier League;Robina City;Capalaba;Robina City - Capalaba;64.16;MEDIA-ALTA;5.79;13.69;20.0;7.0;5.83;6.49;5.36;0.0;;;Squadra alta: Robina City (6ª), squadra bassa: Capalaba (11ª) | GF alta: 1.64/gara | GS bassa: 2.86/gara | Profilo ultime 10: 0.65
1.1;Australia;Queensland Premier League;Logan Lightning;Holland Park Hawks;Logan Lightning - Holland Park Hawks;63.32;MEDIA-ALTA;9.9;13.1;16.08;7.0;7.0;5.82;4.42;0.0;;;Squadra alta: Holland Park Hawks (7ª), squadra bassa: Logan Lightning (9ª) | GF alta: 1.57/gara | GS bassa: 1.77/gara | Profilo ultime 10: 0.58
1.1;Finland;Veikkausliiga;Jaro;Gnistan;Jaro - Gnistan;61.53;MEDIA-ALTA;6.95;12.88;20.0;7.0;4.86;5.98;3.86;0.0;;;Squadra alta: Gnistan (5ª), squadra bassa: Jaro (11ª) | GF alta: 1.55/gara | GS bassa: 2.25/gara | Profilo ultime 10: 0.60
1.1;Australia;Northern NSW NPL;Edgeworth E.;Lambton J.;Edgeworth E. - Lambton J.;58.6;MEDIA;1.16;16.67;15.58;7.0;7.0;6.33;4.86;0.0;;;Squadra alta: Lambton J. (5ª), squadra bassa: Edgeworth E. (6ª) | GF alta: 2.00/gara | GS bassa: 1.71/gara | Profilo ultime 10: 0.63
1.1;Australia;Queensland NPL;Gold Coast Knights;Eastern Suburbs;Gold Coast Knights - Eastern Suburbs;58.56;MEDIA;2.32;17.26;13.64;6.54;7.0;6.74;5.06;0.0;;;Squadra alta: Eastern Suburbs (4ª), squadra bassa: Gold Coast Knights (6ª) | GF alta: 2.07/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.67
1.1;Finland;Veikkausliiga;Inter Turku;SJK;Inter Turku - SJK;57.27;MEDIA;10.42;12.82;14.88;4.56;6.36;4.87;3.36;0.0;;;Squadra alta: Inter Turku (1ª), squadra bassa: SJK (10ª) | GF alta: 1.54/gara | GS bassa: 1.64/gara | Profilo ultime 10: 0.49
1.1;Finland;Veikkausliiga;KuPS;Ilves;KuPS - Ilves;55.86;MEDIA;5.79;12.18;15.91;4.97;7.0;5.97;4.04;0.0;;;Squadra alta: KuPS (3ª), squadra bassa: Ilves (8ª) | GF alta: 1.46/gara | GS bassa: 1.75/gara | Profilo ultime 10: 0.60
1.1;Finland;Veikkausliiga;Mariehamn;HJK;Mariehamn - HJK;55.04;MEDIA;9.26;14.58;15.7;5.83;3.18;3.9;2.58;0.0;;;Squadra alta: HJK (4ª), squadra bassa: Mariehamn (12ª) | GF alta: 1.75/gara | GS bassa: 1.73/gara | Profilo ultime 10: 0.39
1.1;Kyrgyzstan;Premier League;Alga;Bars;Alga - Bars;54.32;MEDIA;1.04;18.06;9.09;4.94;7.0;7.69;6.5;0.0;;;Squadra alta: Alga (3ª), squadra bassa: Bars (5ª) | GF alta: 2.17/gara | GS bassa: 1.00/gara | Profilo ultime 10: 0.77
1.1;Georgia;Erovnuli Liga;Iberia 1999;Meshakhte Tkibuli;Iberia 1999 - Meshakhte Tkibuli;52.34;MEDIA;9.26;11.57;16.16;5.09;3.89;3.59;2.78;0.0;;;Squadra alta: Iberia 1999 (2ª), squadra bassa: Meshakhte Tkibuli (10ª) | GF alta: 1.39/gara | GS bassa: 1.78/gara | Profilo ultime 10: 0.36
1.1;Georgia;Erovnuli Liga;Din. Tbilisi;Dinamo Batumi;Din. Tbilisi - Dinamo Batumi;50.61;MEDIA;1.04;13.43;14.14;5.98;7.0;5.41;3.61;0.0;;;Squadra alta: Din. Tbilisi (3ª), squadra bassa: Dinamo Batumi (5ª) | GF alta: 1.61/gara | GS bassa: 1.56/gara | Profilo ultime 10: 0.54
1.1;Finland;Veikkausliiga;Lahti;TPS Turku;Lahti - TPS Turku;50.02;MEDIA;9.9;9.09;11.57;5.38;7.0;4.35;2.73;0.0;;;Squadra alta: TPS Turku (7ª), squadra bassa: Lahti (9ª) | GF alta: 1.09/gara | GS bassa: 1.27/gara | Profilo ultime 10: 0.43
1.1;Russia;FNL2 Group B;Zvezda St. Peterburg;Sp. Mosca 2;Zvezda St. Peterburg - Sp. Mosca 2;49.91;MEDIA;9.9;7.58;13.64;7.0;5.35;3.88;2.58;0.0;;;Squadra alta: Zvezda St. Peterburg (9ª), squadra bassa: Sp. Mosca 2 (10ª) | GF alta: 0.91/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.39
1.1;Kyrgyzstan;Premier League;Neftchi Kochkor-Ata;Dordoi Bishkek;Neftchi Kochkor-Ata - Dordoi Bishkek;47.98;MEDIA;3.47;9.03;13.64;7.0;6.32;5.19;3.33;0.0;;;Squadra alta: Neftchi Kochkor-Ata (11ª), squadra bassa: Dordoi Bishkek (14ª) | GF alta: 1.08/gara | GS bassa: 1.50/gara | Profilo ultime 10: 0.52
1.1;Finland;Veikkausliiga;VPS;Oulu;VPS - Oulu;42.52;BASSA;4.63;12.5;7.44;4.04;5.83;4.63;3.45;0.0;;;Squadra alta: Oulu (2ª), squadra bassa: VPS (6ª) | GF alta: 1.50/gara | GS bassa: 0.82/gara | Profilo ultime 10: 0.46
