Engine;Population;Maturity;OK;KO;N;HitRate
v13;ALL;ALL;2654;1513;4167;63.69
v13;ALL;5-6;434;281;715;60.7
v13;ALL;7-8;78;59;137;56.93
v13;ALL;9-12;216;102;318;67.92
v13;ALL;13-20;1556;849;2405;64.7
v13;ALL;21+;370;222;592;62.5
v13;ALTA;ALL;696;247;943;73.81
v13;ALTA;5-6;89;38;127;70.08
v13;ALTA;7-8;27;9;36;75.0
v13;ALTA;9-12;81;24;105;77.14
v13;ALTA;13-20;428;156;584;73.29
v13;ALTA;21+;71;20;91;78.02
v13;ALTA+IMM-ALTA;ALL;696;247;943;73.81
v13;ALTA+IMM-ALTA;5-6;89;38;127;70.08
v13;ALTA+IMM-ALTA;7-8;27;9;36;75.0
v13;ALTA+IMM-ALTA;9-12;81;24;105;77.14
v13;ALTA+IMM-ALTA;13-20;428;156;584;73.29
v13;ALTA+IMM-ALTA;21+;71;20;91;78.02
v20;ALL;ALL;2654;1513;4167;63.69
v20;ALL;5-6;434;281;715;60.7
v20;ALL;7-8;78;59;137;56.93
v20;ALL;9-12;216;102;318;67.92
v20;ALL;13-20;1556;849;2405;64.7
v20;ALL;21+;370;222;592;62.5
v20;ALTA;ALL;185;45;230;80.43
v20;ALTA;5-6;25;12;37;67.57
v20;ALTA;7-8;5;0;5;100.0
v20;ALTA;9-12;19;4;23;82.61
v20;ALTA;13-20;122;25;147;82.99
v20;ALTA;21+;14;4;18;77.78
v20;ALTA+IMM-ALTA;ALL;185;45;230;80.43
v20;ALTA+IMM-ALTA;5-6;25;12;37;67.57
v20;ALTA+IMM-ALTA;7-8;5;0;5;100.0
v20;ALTA+IMM-ALTA;9-12;19;4;23;82.61
v20;ALTA+IMM-ALTA;13-20;122;25;147;82.99
v20;ALTA+IMM-ALTA;21+;14;4;18;77.78
v20def;ALL;ALL;1441;816;2257;63.85
v20def;ALL;5-6;429;277;706;60.76
v20def;ALL;7-8;73;56;129;56.59
v20def;ALL;9-12;18;7;25;72.0
v20def;ALL;13-20;671;318;989;67.85
v20def;ALL;21+;250;158;408;61.27
v20def;ALTA;ALL;71;14;85;83.53
v20def;ALTA;5-6;22;9;31;70.97
v20def;ALTA;7-8;5;0;5;100.0
v20def;ALTA;9-12;2;0;2;100.0
v20def;ALTA;13-20;35;3;38;92.11
v20def;ALTA;21+;7;2;9;77.78
v20def;ALTA+IMM-ALTA;ALL;71;14;85;83.53
v20def;ALTA+IMM-ALTA;5-6;22;9;31;70.97
v20def;ALTA+IMM-ALTA;7-8;5;0;5;100.0
v20def;ALTA+IMM-ALTA;9-12;2;0;2;100.0
v20def;ALTA+IMM-ALTA;13-20;35;3;38;92.11
v20def;ALTA+IMM-ALTA;21+;7;2;9;77.78
v20defplus;ALL;ALL;1290;741;2031;63.52
v20defplus;ALL;5-6;420;271;691;60.78
v20defplus;ALL;7-8;72;55;127;56.69
v20defplus;ALL;9-12;15;7;22;68.18
v20defplus;ALL;13-20;555;262;817;67.93
v20defplus;ALL;21+;228;146;374;60.96
v20defplus;ALTA;ALL;106;24;130;81.54
v20defplus;ALTA;5-6;27;14;41;65.85
v20defplus;ALTA;7-8;6;0;6;100.0
v20defplus;ALTA;9-12;3;0;3;100.0
v20defplus;ALTA;13-20;58;8;66;87.88
v20defplus;ALTA;21+;12;2;14;85.71
v20defplus;ALTA+IMM-ALTA;ALL;106;24;130;81.54
v20defplus;ALTA+IMM-ALTA;5-6;27;14;41;65.85
v20defplus;ALTA+IMM-ALTA;7-8;6;0;6;100.0
v20defplus;ALTA+IMM-ALTA;9-12;3;0;3;100.0
