Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
1;v20defplus_v3;Finland_Kolmonen_Southern_Group2;7;0;2026-04-09;2026-10-09;7;100.0
2;v20defplus_v3;Finland_Kolmonen_Eastern_Group3;5;0;2026-02-09;2026-08-30;5;100.0
3;v20defplus_v3;Estonia_EsiliigaB;5;2;2026-06-09;2026-10-09;7;71.43
4;v20defplus_v3;Finland_Kakkonen_GroupC;4;0;2026-02-09;2026-08-22;4;100.0
5;v20defplus_v3;Norway_OBOSLigaen;4;1;2026-05-09;2026-08-30;5;80.0
6;v20defplus_v3;Australia_NPL_NSW_U20;3;0;2026-08-21;2026-08-30;3;100.0
7;v20defplus_v3;Norway_2ndDivision_Group2;3;0;2026-08-29;2026-08-30;3;100.0
8;v20defplus_v3;Norway_3rdDivision_Group1;3;0;2026-01-09;2026-08-30;3;100.0
9;v20defplus_v3;Norway_3rdDivision_Group2;3;0;2026-07-09;2026-08-31;3;100.0
10;v20defplus_v3;Poland_IIILiga_Group2;3;0;2026-05-09;2026-05-09;3;100.0
11;v20defplus_v3;Finland_Kolmonen_Western_Group2;3;1;2026-01-09;2026-08-27;4;75.0
12;v20defplus_v3;Norway_3rdDivision_Group5;3;1;2026-06-09;2026-08-30;4;75.0
13;v20defplus_v3;Switzerland_PromotionLeague;3;2;2026-05-09;2026-10-09;5;60.0
14;v20defplus_v3;Austria_Regionalliga_North;2;0;2026-04-09;2026-08-09;2;100.0
15;v20defplus_v3;FaroeIslands_1Deild;2;0;2026-04-09;2026-08-22;2;100.0
16;v20defplus_v3;Finland_Kolmonen_Eastern_Group2;2;0;2026-02-09;2026-08-22;2;100.0
17;v20defplus_v3;Finland_Kolmonen_Southern_Group1;2;0;2026-08-21;2026-08-30;2;100.0
18;v20defplus_v3;Finland_Kolmonen_Southern_Group3;2;0;2026-05-09;2026-08-28;2;100.0
19;v20defplus_v3;Germany_Oberliga_RheinlandPfalzSaar;2;0;2026-08-09;2026-09-09;2;100.0
20;v20defplus_v3;Germany_Oberliga_SchleswigHolstein;2;0;2026-08-30;2026-08-30;2;100.0
21;v20defplus_v3;Norway_3rdDivision_Group4;2;0;2026-06-09;2026-08-31;2;100.0
22;v20defplus_v3;Poland_IIILiga_Group3;2;0;2026-05-09;2026-06-09;2;100.0
23;v20defplus_v3;Austria_Tirol;2;1;2026-04-09;2026-05-09;3;66.67
24;v20defplus_v3;Finland_Kolmonen_North;2;1;2026-08-29;2026-09-09;3;66.67
25;v20defplus_v3;Australia_NPLACT;1;0;2026-08-22;2026-08-22;1;100.0
26;v20defplus_v3;Australia_NPLWesternAustralia;1;0;2026-08-22;2026-08-22;1;100.0
27;v20defplus_v3;Australia_TasmaniaNorthernChampionship;1;0;2026-08-22;2026-08-22;1;100.0
28;v20defplus_v3;Australia_TasmaniaSouthernChampionship;1;0;2026-08-22;2026-08-22;1;100.0
29;v20defplus_v3;Australia_VictoriaPremierLeague2;1;0;2026-08-22;2026-08-22;1;100.0
30;v20defplus_v3;Australia_WAStateLeague;1;0;2026-08-22;2026-08-22;1;100.0
31;v20defplus_v3;Austria_Karnten;1;0;2026-04-09;2026-04-09;1;100.0
32;v20defplus_v3;Austria_Salzburg;1;0;2026-06-09;2026-06-09;1;100.0
33;v20defplus_v3;CzechRepublic_3MSFL;1;0;2026-02-09;2026-02-09;1;100.0
34;v20defplus_v3;Finland_Ykkonen;1;0;2026-08-29;2026-08-29;1;100.0
35;v20defplus_v3;Germany_Oberliga_Hessen;1;0;2026-09-09;2026-09-09;1;100.0
36;v20defplus_v3;Germany_Regionalliga_West;1;0;2026-01-09;2026-01-09;1;100.0
37;v20defplus_v3;Iceland_Division_1;1;0;2026-05-09;2026-05-09;1;100.0
38;v20defplus_v3;Kyrgyzstan_PremierLiga;1;0;2026-08-23;2026-08-23;1;100.0
39;v20defplus_v3;NorthernIreland_NIFLChampionship;1;0;2026-04-09;2026-04-09;1;100.0
40;v20defplus_v3;Norway_3rdDivision_Group3;1;0;2026-08-31;2026-08-31;1;100.0
41;v20defplus_v3;Norway_3rdDivision_Group6;1;0;2026-08-31;2026-08-31;1;100.0
42;v20defplus_v3;Norway_Eliteserien;1;0;2026-08-30;2026-08-30;1;100.0
43;v20defplus_v3;Slovakia_NikeLiga;1;0;2026-06-09;2026-06-09;1;100.0
44;v20defplus_v3;SriLanka_SuperLeague;1;0;2026-08-22;2026-08-22;1;100.0
45;v20defplus_v3;Sweden_Division2_Norrland;1;0;2026-08-22;2026-08-22;1;100.0
46;v20defplus_v3;Sweden_Division2_SodraGotaland;1;0;2026-08-22;2026-08-22;1;100.0
47;v20defplus_v3;Switzerland_SuperLeague;1;0;2026-06-09;2026-06-09;1;100.0
48;v20defplus_v3;USA_MLS;1;0;2026-06-09;2026-06-09;1;100.0
49;v20defplus_v3;USA_MLSNextPro_EasternConference_NortheastDivision;1;0;2026-08-24;2026-08-24;1;100.0
50;v20defplus_v3;Finland_Kolmonen_Western_Group3;1;1;2026-03-09;2026-08-28;2;50.0
51;v20defplus_v3;Poland_IIILiga_Group1;1;1;2026-05-09;2026-05-09;2;50.0
52;v20defplus_v3;Iceland_BestaDeildKarla;1;2;2026-08-23;2026-08-31;3;33.33
53;v20defplus_v3;Wales_CymruPremier;1;3;2026-04-09;2026-04-09;4;25.0
54;v20defplus_v3;Iceland_Division_2;0;2;2026-08-23;2026-08-28;2;0.0
55;v20defplus_v3;Austria_Regionalliga_South;0;1;2026-04-09;2026-04-09;1;0.0
56;v20defplus_v3;Finland_Kakkonen_GroupA;0;1;2026-04-09;2026-04-09;1;0.0
57;v20defplus_v3;Germany_Regionalliga_Nordost;0;1;2026-08-26;2026-08-26;1;0.0
58;v20defplus_v3;Iceland_1DeildWomen;0;1;2026-08-27;2026-08-27;1;0.0
59;v20defplus_v3;Poland_Ekstraklasa;0;1;2026-06-09;2026-06-09;1;0.0
60;v20defplus_v3;Russia_PremierLeague;0;1;2026-06-09;2026-06-09;1;0.0
