LeagueId;Home;Away;Score;Band;Round;HG;AG;Goals;Over25;BTTS;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion;Match
USA_USLLeagueTwo_Northeast;NEFC;Albany Rush;93.1;ALTA;30;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;2.67;13.0;10.34;7.34;14.0;12.0;9.6;8.0;8.0;8.15;2.1-dev;NEFC - Albany Rush
Australia_VictoriaPremierLeague;Langwarrin;Melbourne Victory U21;92.52;ALTA;20;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;2.46;10.26;13.0;10.0;11.72;9.6;10.8;8.0;7.2;9.47;2.1-dev;Langwarrin - Melbourne Victory U21
USA_USLLeagueTwo_Mountain;Real Colorado;Flatirons;91.96;ALTA;25;;;;;;2026-07-09;PRO: attacco casa positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico;4.0;11.82;6.57;10.0;14.0;12.0;10.67;8.0;6.0;8.91;2.1-dev;Real Colorado - Flatirons
Australia_NPLQueensland;Peninsula;Wynnum Wolves;87.72;ALTA;19;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;4.36;13.0;10.08;5.35;12.73;9.6;10.8;5.33;8.0;8.47;2.1-dev;Peninsula - Wynnum Wolves
Australia_VictoriaPremierLeague;Brunswick Juventus;Western Utd. U21;84.93;ALTA;20;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: trend over casa non forte | BTTS non elevato;4.92;10.89;11.82;6.22;14.0;6.0;10.8;6.22;7.11;6.95;2.1-dev;Brunswick Juventus - Western Utd. U21
USA_USLLeagueTwo_GreatLakes;Midwest United;Union FC Macomb;84.56;ALTA;23;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.33;11.23;10.64;6.36;14.0;8.4;12.0;4.8;8.0;7.8;2.1-dev;Midwest United - Union FC Macomb
Australia_NPLQueensland;Brisbane Roar U23;Rochedale;84.34;ALTA;19;;;;;;2026-07-09;PRO: attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;0.73;7.99;9.04;10.0;14.0;10.8;9.6;7.0;6.0;9.18;2.1-dev;Brisbane Roar U23 - Rochedale
Finland_Kakkonen_GroupB;Abo;Ilves 2;82.57;ALTA;13;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;2.67;13.0;13.0;4.13;10.61;8.4;9.33;5.33;6.4;9.7;2.1-dev;Abo - Ilves 2
Australia_NPLTasmania;Glenorchy Knights;Kingborough Lions;81.82;ALTA;15;;;;;;2026-07-09;PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;5.33;7.6;13.0;9.09;6.36;8.4;10.8;6.67;6.86;7.71;2.1-dev;Glenorchy Knights - Kingborough Lions
Iceland_Division_1;IR Reykjavik;Throttur;80.73;ALTA;19;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: trend over trasferta non forte;4.36;11.33;12.31;10.0;6.89;9.6;6.0;5.33;6.4;8.5;2.1-dev;IR Reykjavik - Throttur
Iceland_Division_1;Leiknir;Grotta;79.97;ALTA;19;;;;;;2026-07-09;PRO: attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;2.18;8.37;11.28;5.68;14.0;7.2;10.8;5.33;6.67;8.45;2.1-dev;Leiknir - Grotta
Australia_QueenslandPremierLeague;Holland Park Hawks;North Star;79.15;ALTA;19;;;;;;2026-07-09;PRO: attacco casa positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico | profilo over esterno debole;1.45;10.08;5.56;9.09;13.85;9.6;9.6;7.0;4.44;8.47;2.1-dev;Holland Park Hawks - North Star
Iceland_Division_1;Aegir;Kopavogur;78.62;ALTA;19;;;;;;2026-07-09;PRO: attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;4.36;6.82;10.34;10.0;10.61;9.6;7.2;6.67;5.33;7.69;2.1-dev;Aegir - Kopavogur
Finland_Kakkonen_GroupC;GBK Kokkola;JBK;78.06;ALTA;13;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo || CONTRO: profilo over interno debole | BTTS non elevato;3.56;13.0;10.74;9.5;9.26;8.4;9.6;3.2;4.8;6.0;2.1-dev;GBK Kokkola - JBK
Finland_Ykkonen;Inter Turku 2;Rovaniemi;76.36;ALTA;15;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | alta tendenza BTTS || CONTRO: trend over trasferta non forte | profilo over interno debole | profilo over esterno debole;5.09;11.36;12.73;10.0;7.34;8.4;6.0;4.0;2.67;8.77;2.1-dev;Inter Turku 2 - Rovaniemi
Australia_NPLVictoria;Oakleigh;Avondale FC;75.27;ALTA;20;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: trend over casa non forte | BTTS non elevato;1.85;12.75;13.0;4.31;8.37;4.8;10.8;7.11;5.33;6.95;2.1-dev;Oakleigh - Avondale FC
Finland_Ykkonen;Tampere Utd;SalPa;74.99;MEDIA;15;;;;;;2026-07-09;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: trend over casa non forte | BTTS non elevato;2.91;12.73;12.73;2.8;11.75;6.0;10.8;5.33;5.33;4.62;2.1-dev;Tampere Utd - SalPa
Australia_NPLTasmania;Launceston United;Riverside Olympic;74.81;MEDIA;15;;;;;;2026-07-09;PRO: attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: attacco casa non dominante | BTTS non elevato;2.67;6.4;11.36;10.0;10.28;7.2;8.4;6.86;5.33;6.31;2.1-dev;Launceston United - Riverside Olympic
