Engine;Window;Weights;MinTrainN;TrainBaseN;TrainBaseHit;TrainTunedN;TrainTunedHit;TrainLift;TestBaseN;TestBaseHit;TestTunedN;TestTunedHit;TestLift
v20plus;7;gf=0.00,ga=0.40,over=0.00,form=0.00;40;130;76.15;136;76.47;0.32;227;83.7;234;82.91;-0.79
v20plus;8;gf=0.00,ga=0.00,over=0.00,form=0.00;40;130;76.15;130;76.15;0.0;227;83.7;227;83.7;0.0
v20select;7;gf=0.00,ga=0.00,over=0.00,form=0.00;40;0;0.0;0;0.0;0.0;0;0.0;0;0.0;0.0
v20select;8;gf=0.00,ga=0.00,over=0.00,form=0.00;40;0;0.0;0;0.0;0.0;0;0.0;0;0.0;0.0
v20def;7;gf=0.00,ga=0.40,over=0.00,form=0.00;40;130;76.15;136;76.47;0.32;227;83.7;234;82.91;-0.79
v20def;8;gf=0.00,ga=0.00,over=0.00,form=0.00;40;130;76.15;130;76.15;0.0;227;83.7;227;83.7;0.0
v20defselect;7;gf=0.00,ga=0.00,over=0.00,form=0.00;40;0;0.0;0;0.0;0.0;0;0.0;0;0.0;0.0
v20defselect;8;gf=0.00,ga=0.00,over=0.00,form=0.00;40;0;0.0;0;0.0;0.0;0;0.0;0;0.0;0.0
v20defplus;7;gf=0.00,ga=0.40,over=0.00,form=0.00;40;130;76.15;136;76.47;0.32;227;83.7;234;82.91;-0.79
v20defplus;8;gf=0.00,ga=0.00,over=0.00,form=0.00;40;130;76.15;130;76.15;0.0;227;83.7;227;83.7;0.0
v20defplus_v2;7;gf=0.00,ga=0.40,over=0.00,form=0.00;40;130;76.15;136;76.47;0.32;227;83.7;234;82.91;-0.79
v20defplus_v2;8;gf=0.00,ga=0.00,over=0.00,form=0.00;40;130;76.15;130;76.15;0.0;227;83.7;227;83.7;0.0
v20defplus_v3;7;gf=0.00,ga=0.40,over=0.00,form=0.00;40;130;76.15;136;76.47;0.32;227;83.7;234;82.91;-0.79
v20defplus_v3;8;gf=0.00,ga=0.00,over=0.00,form=0.00;40;130;76.15;130;76.15;0.0;227;83.7;227;83.7;0.0
v21;7;gf=0.90,ga=0.00,over=0.00,form=0.00;353;1413;73.04;1410;73.62;0.58;1801;73.4;1787;73.08;-0.32
v21;8;gf=0.40,ga=0.40,over=0.00,form=0.00;353;1413;73.04;1424;73.46;0.42;1801;73.4;1820;73.13;-0.27
v21dev;7;gf=0.90,ga=0.00,over=0.00,form=0.00;353;1413;73.04;1410;73.62;0.58;1801;73.4;1787;73.08;-0.32
v21dev;8;gf=0.40,ga=0.40,over=0.00,form=0.00;353;1413;73.04;1424;73.46;0.42;1801;73.4;1820;73.13;-0.27
v22def;7;gf=1.00,ga=0.00,over=0.90,form=0.00;290;1161;73.47;1143;73.84;0.37;1487;74.78;1477;73.53;-1.25
v22def;8;gf=0.00,ga=0.90,over=0.90,form=0.00;290;1161;73.47;1149;73.72;0.25;1487;74.78;1490;74.56;-0.22
v23;7;gf=0.00,ga=0.00,over=0.00,form=0.00;278;1114;73.88;1114;73.88;0.0;1438;74.62;1438;74.62;0.0
v23;8;gf=0.00,ga=1.00,over=1.00,form=0.00;278;1114;73.88;1104;74.37;0.49;1438;74.62;1427;74.42;-0.2
v251;7;gf=1.00,ga=1.00,over=1.00,form=0.00;281;1127;73.47;1115;74.17;0.7;1448;74.72;1402;74.39;-0.33
v251;8;gf=0.00,ga=0.00,over=0.90,form=0.00;281;1127;73.47;1127;73.82;0.35;1448;74.72;1442;74.76;0.03
v25def;7;gf=1.00,ga=0.00,over=0.90,form=0.00;289;1156;73.53;1135;73.83;0.3;1484;74.73;1474;73.47;-1.26
v25def;8;gf=0.00,ga=0.90,over=0.90,form=1.00;289;1156;73.53;1144;73.69;0.16;1484;74.73;1485;74.55;-0.19
v26def;7;gf=1.00,ga=0.00,over=0.90,form=0.00;289;1156;73.53;1135;73.83;0.3;1484;74.73;1474;73.47;-1.26
v26def;8;gf=0.00,ga=0.90,over=0.90,form=1.00;289;1156;73.53;1144;73.69;0.16;1484;74.73;1485;74.55;-0.19
