PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;HG;AG;Goals;Over25;BTTS
2026-06-28;v20;Norway_3rdDivision_Group1_2026;13;Asker;Ullern;Asker - Ullern;80.73;ALTA;3;2;5;OK;OK
2026-06-28;v20;Iceland_Division_2_2026;21;Kari;Magni;Kari - Magni;79.2;ALTA;1;1;2;KO;OK
2026-06-28;v20;USA_USLLeagueTwo_Heartland_2026;21;Edgewater Castle;Chicago Dutch Lions;Edgewater Castle - Chicago Dutch Lions;78.42;ALTA;0;5;5;OK;KO
2026-06-28;v20;Norway_3rdDivision_Group3_2026;13;Sogndal 2;Stord;Sogndal 2 - Stord;74.47;MEDIA-ALTA;0;2;2;KO;KO
2026-06-28;v20;USA_USLLeagueTwo_Heartland_2026;21;Rochester FC;Rockford Raptors;Rochester FC - Rockford Raptors;73.66;MEDIA-ALTA;0;2;2;KO;KO
2026-06-28;v20;Norway_3rdDivision_Group1_2026;13;Frigg;Baerum Sportsklubb;Frigg - Baerum Sportsklubb;72.44;MEDIA-ALTA;1;1;2;KO;OK
2026-06-28;v20;Norway_3rdDivision_Group2_2026;14;Byåsen;Aalesund 2;Byåsen - Aalesund 2;70.87;MEDIA-ALTA;2;1;3;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group2_2026;14;Ranheim 2;Nardo;Ranheim 2 - Nardo;70.6;MEDIA-ALTA;5;3;8;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group2_2026;14;Herd;Ntnui;Herd - Ntnui;70.04;MEDIA-ALTA;2;2;4;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group1_2026;13;Grei;Nordstrand;Grei - Nordstrand;69.05;MEDIA-ALTA;1;5;6;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group6_2026;13;Lillehammer;Elverum;Lillehammer - Elverum;69.05;MEDIA-ALTA;2;2;4;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group5_2026;12;Fauske Sprint;Floya;Fauske Sprint - Floya;69.03;MEDIA-ALTA;3;1;4;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group3_2026;13;Brann 2;Fana;Brann 2 - Fana;68.66;MEDIA-ALTA;3;2;5;OK;OK
2026-06-28;v20;Iceland_Division_2_2026;21;Dalvik/Reynir;KFA;Dalvik/Reynir - KFA;68.46;MEDIA-ALTA;1;0;1;KO;KO
2026-06-28;v20;Norway_3rdDivision_Group2_2026;14;Orkla;Molde 2;Orkla - Molde 2;68.14;MEDIA-ALTA;3;5;8;OK;OK
2026-06-28;v20;Iceland_Division_2_2026;21;Olafsvik;KFG Gardabaer;Olafsvik - KFG Gardabaer;67.41;MEDIA-ALTA;1;0;1;KO;KO
2026-06-28;v20;Norway_3rdDivision_Group5_2026;12;Ulfstind;Harstad;Ulfstind - Harstad;66.91;MEDIA-ALTA;1;1;2;KO;OK
2026-06-28;v20;Sweden_Division1_Sodra_2026;14;Laholms;Utsikten;Laholms - Utsikten;66.69;MEDIA-ALTA;3;1;4;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group5_2026;12;Bossekop;Kongsvinger 2;Bossekop - Kongsvinger 2;66.65;MEDIA-ALTA;0;2;2;KO;KO
2026-06-28;v20;USA_USLLeagueTwo_Valley_2026;19;West Virginia;Dayton;West Virginia - Dayton;65.17;MEDIA-ALTA;2;1;3;OK;OK
2026-06-28;v20;Sweden_Division2_NorraGotaland_2026;15;Husqvarna;Karlstad II;Husqvarna - Karlstad II;64.87;MEDIA-ALTA;3;1;4;OK;OK
2026-06-28;v20;Sweden_Division2_NorraGotaland_2026;15;Ahlafors IF;Tord;Ahlafors IF - Tord;64.55;MEDIA-ALTA;2;2;4;OK;OK
2026-06-28;v20;Norway_2ndDivision_Group2_2026;12;Kjelsås;Honefoss;Kjelsås - Honefoss;64.16;MEDIA-ALTA;1;3;4;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group3_2026;13;Djerv 1919;Gneist;Djerv 1919 - Gneist;63.63;MEDIA-ALTA;6;2;8;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group6_2026;13;Oppsal;Raelingen;Oppsal - Raelingen;63.0;MEDIA-ALTA;3;1;4;OK;OK
2026-06-28;v20;Norway_2ndDivision_Group2_2026;12;Ull/Kisa;Rana FK;Ull/Kisa - Rana FK;62.51;MEDIA-ALTA;1;3;4;OK;OK
2026-06-28;v20;Sweden_Division2_NorraSvealand_2026;15;IK Franke;Viggbyholms;IK Franke - Viggbyholms;62.44;MEDIA-ALTA;1;2;3;OK;OK
2026-06-28;v20;Norway_3rdDivision_Group4_2026;13;Madla IL;Mandalskameratene;Madla IL - Mandalskameratene;62.14;MEDIA-ALTA;2;2;4;OK;OK
2026-06-28;v20;Norway_OBOSLigaen_2026;13;Haugesund;Kongsvinger;Haugesund - Kongsvinger;61.25;MEDIA-ALTA;4;2;6;OK;OK
