Engine;MaxPointsGap;MinMatchesPlayed;PROX_OK;PROX_KO;PROX_Total;PROX_HitRate;ALTA_OriginalOK;ALTA_OriginalKO;ALTA_OriginalHitRate;PROX_ALTA_OK;PROX_ALTA_KO;PROX_ALTA_Total;PROX_ALTA_HitRate;RemainingALTAOK;RemainingALTAKO;RemainingALTAHitRate;ALTADelta;MEDIA_OriginalOK;MEDIA_OriginalKO;MEDIA_OriginalHitRate;PROX_MEDIA_OK;PROX_MEDIA_KO;PROX_MEDIA_Total;PROX_MEDIA_HitRate;RemainingMEDIAOK;RemainingMEDIAKO;RemainingMEDIAHitRate;MEDIADelta;BASSA_OriginalOK;BASSA_OriginalKO;BASSA_OriginalHitRate;PROX_BASSA_OK;PROX_BASSA_KO;PROX_BASSA_Total;PROX_BASSA_HitRate;RemainingBASSAOK;RemainingBASSAKO;RemainingBASSAHitRate;BASSADelta
v21;1;10;100;60;160;62.5;527;237;68.9791;46;15;61;75.4098;481;222;68.4211;-0.558;423;279;60.2564;43;29;72;59.7222;380;250;60.3175;0.0611;171;153;52.7778;11;16;27;40.7407;160;137;53.8721;1.0943
v21;2;10;166;98;264;62.8788;527;237;68.9791;80;29;109;73.3945;447;208;68.2443;-0.7348;423;279;60.2564;68;41;109;62.3853;355;238;59.8651;-0.3913;171;153;52.7778;18;28;46;39.1304;153;125;55.036;2.2582
v21;3;10;213;145;358;59.4972;527;237;68.9791;100;45;145;68.9655;427;192;68.9822;0.0031;423;279;60.2564;87;64;151;57.6159;336;215;60.98;0.7236;171;153;52.7778;26;36;62;41.9355;145;117;55.3435;2.5657
v21;4;10;297;181;478;62.1339;527;237;68.9791;134;60;194;69.0722;393;177;68.9474;-0.0317;423;279;60.2564;123;75;198;62.1212;300;204;59.5238;-0.7326;171;153;52.7778;40;46;86;46.5116;131;107;55.042;2.2642
v21;5;10;358;222;580;61.7241;527;237;68.9791;164;70;234;70.0855;363;167;68.4906;-0.4885;423;279;60.2564;144;94;238;60.5042;279;185;60.1293;-0.1271;171;153;52.7778;50;58;108;46.2963;121;95;56.0185;3.2407
v21dev;1;10;98;60;158;62.0253;520;233;69.0571;46;15;61;75.4098;474;218;68.4971;-0.56;410;278;59.593;41;29;70;58.5714;369;249;59.7087;0.1157;171;151;53.1056;11;16;27;40.7407;160;135;54.2373;1.1317
v21dev;2;10;164;98;262;62.5954;520;233;69.0571;80;29;109;73.3945;440;204;68.323;-0.7341;410;278;59.593;66;41;107;61.6822;344;237;59.2083;-0.3847;171;151;53.1056;18;28;46;39.1304;153;123;55.4348;2.3292
v21dev;3;10;209;145;354;59.0395;520;233;69.0571;99;45;144;68.75;421;188;69.1297;0.0726;410;278;59.593;84;64;148;56.7568;326;214;60.3704;0.7774;171;151;53.1056;26;36;62;41.9355;145;115;55.7692;2.6636
v21dev;4;10;292;181;473;61.7336;520;233;69.0571;132;60;192;68.75;388;173;69.1622;0.1051;410;278;59.593;120;75;195;61.5385;290;203;58.8235;-0.7695;171;151;53.1056;40;46;86;46.5116;131;105;55.5085;2.4029
v21dev;5;10;353;221;574;61.4983;520;233;69.0571;162;70;232;69.8276;358;163;68.714;-0.3431;410;278;59.593;141;93;234;60.2564;269;185;59.2511;-0.3419;171;151;53.1056;50;58;108;46.2963;121;93;56.5421;3.4365
v22;1;10;98;60;158;62.0253;438;182;70.6452;40;11;51;78.4314;398;171;69.9473;-0.6979;428;281;60.3667;42;28;70;60.0;386;253;60.4069;0.0402;235;199;54.1475;16;21;37;43.2432;219;178;55.1637;1.0162
v22;2;10;164;98;262;62.5954;438;182;70.6452;71;23;94;75.5319;367;159;69.7719;-0.8733;428;281;60.3667;63;40;103;61.165;365;241;60.231;-0.1357;235;199;54.1475;30;35;65;46.1538;205;164;55.5556;1.4081
v22;3;10;209;145;354;59.0395;438;182;70.6452;88;36;124;70.9677;350;146;70.5645;-0.0807;428;281;60.3667;81;61;142;57.0423;347;220;61.1993;0.8326;235;199;54.1475;40;48;88;45.4545;195;151;56.3584;2.2109
v22;4;10;292;181;473;61.7336;438;182;70.6452;119;49;168;70.8333;319;133;70.5752;-0.07;428;281;60.3667;114;69;183;62.2951;314;212;59.6958;-0.6709;235;199;54.1475;59;63;122;48.3607;176;136;56.4103;2.2628
v22;5;10;353;221;574;61.4983;438;182;70.6452;146;57;203;71.9212;292;125;70.024;-0.6212;428;281;60.3667;134;87;221;60.6335;294;194;60.2459;-0.1208;235;199;54.1475;73;77;150;48.6667;162;122;57.0423;2.8948
v23;1;10;84;54;138;60.8696;366;156;70.1149;32;10;42;76.1905;334;146;69.5833;-0.5316;341;236;59.0988;33;22;55;60.0;308;214;59.0038;-0.095;261;200;56.6161;19;22;41;46.3415;242;178;57.619;1.0029
v23;2;10;145;88;233;62.2318;366;156;70.1149;60;20;80;75.0;306;136;69.2308;-0.8841;341;236;59.0988;54;34;88;61.3636;287;202;58.6912;-0.4076;261;200;56.6161;31;34;65;47.6923;230;166;58.0808;1.4647
v23;3;10;184;127;311;59.164;366;156;70.1149;74;32;106;69.8113;292;124;70.1923;0.0774;341;236;59.0988;70;49;119;58.8235;271;187;59.1703;0.0715;261;200;56.6161;40;46;86;46.5116;221;154;58.9333;2.3172
v23;4;10;258;160;418;61.7225;366;156;70.1149;100;45;145;68.9655;266;111;70.557;0.4421;341;236;59.0988;97;57;154;62.987;244;179;57.6832;-1.4156;261;200;56.6161;61;58;119;51.2605;200;142;58.4795;1.8634
v23;5;10;314;194;508;61.811;366;156;70.1149;124;51;175;70.8571;242;105;69.7406;-0.3743;341;236;59.0988;111;74;185;60.0;230;162;58.6735;-0.4253;261;200;56.6161;79;69;148;53.3784;182;131;58.147;1.5309
v24;1;10;84;54;138;60.8696;614;316;66.0215;60;24;84;71.4286;554;292;65.4846;-0.5369;225;157;58.9005;18;20;38;47.3684;207;137;60.1744;1.2739;129;119;52.0161;6;10;16;37.5;123;109;53.0172;1.0011
v24;2;10;145;88;233;62.2318;614;316;66.0215;102;45;147;69.3878;512;271;65.3895;-0.632;225;157;58.9005;31;26;57;54.386;194;131;59.6923;0.7918;129;119;52.0161;12;17;29;41.3793;117;102;53.4247;1.4086
v24;3;10;184;127;311;59.164;614;316;66.0215;124;66;190;65.2632;490;250;66.2162;0.1947;225;157;58.9005;44;42;86;51.1628;181;115;61.1486;2.2481;129;119;52.0161;16;19;35;45.7143;113;100;53.0516;1.0355
v24;4;10;258;160;418;61.7225;614;316;66.0215;170;84;254;66.9291;444;232;65.6805;-0.341;225;157;58.9005;61;50;111;54.955;164;107;60.5166;1.6161;129;119;52.0161;27;26;53;50.9434;102;93;52.3077;0.2916
v24;5;10;314;194;508;61.811;614;316;66.0215;204;103;307;66.4495;410;213;65.8106;-0.2109;225;157;58.9005;74;55;129;57.3643;151;102;59.6838;0.7833;129;119;52.0161;36;36;72;50.0;93;83;52.8409;0.8248
v25;1;10;79;53;132;59.8485;372;151;71.1281;31;10;41;75.6098;341;141;70.7469;-0.3812;356;241;59.6315;33;22;55;60.0;323;219;59.5941;-0.0374;200;173;53.6193;15;21;36;41.6667;185;152;54.8961;1.2768
v25;2;10;137;84;221;61.991;372;151;71.1281;59;20;79;74.6835;313;131;70.4955;-0.6326;356;241;59.6315;52;34;86;60.4651;304;207;59.4912;-0.1403;200;173;53.6193;26;30;56;46.4286;174;143;54.8896;1.2703
v25;3;10;173;122;295;58.6441;372;151;71.1281;73;32;105;69.5238;299;119;71.5311;0.403;356;241;59.6315;67;50;117;57.265;289;191;60.2083;0.5768;200;173;53.6193;33;40;73;45.2055;167;133;55.6667;2.0474
v25;4;10;238;155;393;60.5598;372;151;71.1281;97;45;142;68.3099;275;106;72.1785;1.0504;356;241;59.6315;92;56;148;62.1622;264;185;58.7973;-0.8342;200;173;53.6193;49;54;103;47.5728;151;119;55.9259;2.3066
v25;5;10;291;188;479;60.7516;372;151;71.1281;119;51;170;70.0;253;100;71.6714;0.5433;356;241;59.6315;111;73;184;60.3261;245;168;59.322;-0.3095;200;173;53.6193;61;64;125;48.8;139;109;56.0484;2.4291
v251;1;10;53;24;77;68.8312;211;89;70.3333;22;3;25;88.0;189;86;68.7273;-1.606;185;137;57.4534;20;11;31;64.5161;165;126;56.701;-0.7524;125;98;56.0538;11;10;21;52.381;114;88;56.4356;0.3818
v251;2;10;87;43;130;66.9231;211;89;70.3333;42;12;54;77.7778;169;77;68.6992;-1.6341;185;137;57.4534;28;16;44;63.6364;157;121;56.4748;-0.9786;125;98;56.0538;17;15;32;53.125;108;83;56.5445;0.4907
v251;3;10;109;63;172;63.3721;211;89;70.3333;49;18;67;73.1343;162;71;69.5279;-0.8054;185;137;57.4534;40;26;66;60.6061;145;111;56.6406;-0.8128;125;98;56.0538;20;19;39;51.2821;105;79;57.0652;1.0114
v251;4;10;146;83;229;63.7555;211;89;70.3333;65;27;92;70.6522;146;62;70.1923;-0.141;185;137;57.4534;50;31;81;61.7284;135;106;56.0166;-1.4368;125;98;56.0538;31;25;56;55.3571;94;73;56.2874;0.2336
v251;5;10;175;102;277;63.1769;211;89;70.3333;79;31;110;71.8182;132;58;69.4737;-0.8596;185;137;57.4534;60;41;101;59.4059;125;96;56.5611;-0.8923;125;98;56.0538;36;30;66;54.5455;89;68;56.6879;0.6341
