Engine;MaxPointsGap;MinMatchesPlayed;PROX_OK;PROX_KO;PROX_Total;PROX_HitRate;ALTA_OriginalOK;ALTA_OriginalKO;ALTA_OriginalHitRate;PROX_ALTA_OK;PROX_ALTA_KO;PROX_ALTA_Total;PROX_ALTA_HitRate;RemainingALTAOK;RemainingALTAKO;RemainingALTAHitRate;ALTADelta;MEDIA_OriginalOK;MEDIA_OriginalKO;MEDIA_OriginalHitRate;PROX_MEDIA_OK;PROX_MEDIA_KO;PROX_MEDIA_Total;PROX_MEDIA_HitRate;RemainingMEDIAOK;RemainingMEDIAKO;RemainingMEDIAHitRate;MEDIADelta;BASSA_OriginalOK;BASSA_OriginalKO;BASSA_OriginalHitRate;PROX_BASSA_OK;PROX_BASSA_KO;PROX_BASSA_Total;PROX_BASSA_HitRate;RemainingBASSAOK;RemainingBASSAKO;RemainingBASSAHitRate;BASSADelta;Judgement;Utility
v13;4;10;140;116;256;54.6875;312;152;67.2414;13;5;18;72.2222;299;147;67.0404;-0.201;256;190;57.3991;121;101;222;54.5045;135;89;60.2679;2.8688;20;31;39.2157;6;10;16;37.5;14;21;40.0;0.7843;NON_UTILE;2.4667999999999997
v20;5;10;260;180;440;59.0909;75;30;71.4286;8;3;11;72.7273;67;27;71.2766;-0.152;515;311;62.3487;193;103;296;65.2027;322;208;60.7547;-1.594;209;196;51.6049;59;74;133;44.3609;150;122;55.1471;3.5422;NON_UTILE;-1.8980000000000001
v21;3;10;213;145;358;59.4972;527;237;68.9791;100;45;145;68.9655;427;192;68.9822;0.0031;423;279;60.2564;87;64;151;57.6159;336;215;60.98;0.7236;171;153;52.7778;26;36;62;41.9355;145;117;55.3435;2.5657;DEBOLE;0.7298
v21dev;3;10;209;145;354;59.0395;520;233;69.0571;99;45;144;68.75;421;188;69.1297;0.0726;410;278;59.593;84;64;148;56.7568;326;214;60.3704;0.7774;171;151;53.1056;26;36;62;41.9355;145;115;55.7692;2.6636;DEBOLE;0.9226
v22;3;10;209;145;354;59.0395;438;182;70.6452;88;36;124;70.9677;350;146;70.5645;-0.0807;428;281;60.3667;81;61;142;57.0423;347;220;61.1993;0.8326;235;199;54.1475;40;48;88;45.4545;195;151;56.3584;2.2109;NON_UTILE;0.6712
v23;3;10;184;127;311;59.164;366;156;70.1149;74;32;106;69.8113;292;124;70.1923;0.0774;341;236;59.0988;70;49;119;58.8235;271;187;59.1703;0.0715;261;200;56.6161;40;46;86;46.5116;221;154;58.9333;2.3172;DEBOLE;0.2263
v24;3;10;184;127;311;59.164;614;316;66.0215;124;66;190;65.2632;490;250;66.2162;0.1947;225;157;58.9005;44;42;86;51.1628;181;115;61.1486;2.2481;129;119;52.0161;16;19;35;45.7143;113;100;53.0516;1.0355;DEBOLE;2.6375
v25;3;10;173;122;295;58.6441;372;151;71.1281;73;32;105;69.5238;299;119;71.5311;0.403;356;241;59.6315;67;50;117;57.265;289;191;60.2083;0.5768;200;173;53.6193;33;40;73;45.2055;167;133;55.6667;2.0474;DEBOLE;1.3828
v251;3;10;109;63;172;63.3721;211;89;70.3333;49;18;67;73.1343;162;71;69.5279;-0.8054;185;137;57.4534;40;26;66;60.6061;145;111;56.6406;-0.8128;125;98;56.0538;20;19;39;51.2821;105;79;57.0652;1.0114;NON_UTILE;-2.4236
