Model;Slice;N;OK;KO;HitRate
L8_70REC_30FULL;maturity_13-20_top25pct;934;718;216;76.87
L8_60REC_40FULL;maturity_13-20_top25pct;934;716;218;76.66
L8_80REC_20FULL;maturity_13-20_top25pct;934;716;218;76.66
L7_70REC_30FULL;maturity_13-20_top25pct;934;715;219;76.55
L7_80REC_20FULL;maturity_13-20_top25pct;934;715;219;76.55
FULL;maturity_13-20_top25pct;934;713;221;76.34
L8_90REC_10FULL;maturity_13-20_top25pct;934;713;221;76.34
L7;maturity_13-20_top25pct;934;712;222;76.23
L7_90REC_10FULL;maturity_13-20_top25pct;934;711;223;76.12
L7_60REC_40FULL;maturity_13-20_top25pct;934;708;226;75.8
L5_60REC_40FULL;maturity_13-20_top25pct;934;706;228;75.59
L8;maturity_13-20_top25pct;934;706;228;75.59
L5_70REC_30FULL;maturity_13-20_top25pct;934;702;232;75.16
L5_80REC_20FULL;maturity_13-20_top25pct;934;700;234;74.95
L5_90REC_10FULL;maturity_13-20_top25pct;934;700;234;74.95
L5;maturity_13-20_top25pct;934;693;241;74.2
FULL;maturity_21+_top25pct;186;142;44;76.34
L8_60REC_40FULL;maturity_21+_top25pct;186;142;44;76.34
L5_60REC_40FULL;maturity_21+_top25pct;186;140;46;75.27
L5_70REC_30FULL;maturity_21+_top25pct;186;139;47;74.73
L8_70REC_30FULL;maturity_21+_top25pct;186;139;47;74.73
L5_90REC_10FULL;maturity_21+_top25pct;186;138;48;74.19
L8_80REC_20FULL;maturity_21+_top25pct;186;138;48;74.19
L8_90REC_10FULL;maturity_21+_top25pct;186;138;48;74.19
L5;maturity_21+_top25pct;186;137;49;73.66
L7_60REC_40FULL;maturity_21+_top25pct;186;137;49;73.66
L7_70REC_30FULL;maturity_21+_top25pct;186;137;49;73.66
L5_80REC_20FULL;maturity_21+_top25pct;186;136;50;73.12
L7;maturity_21+_top25pct;186;136;50;73.12
L7_80REC_20FULL;maturity_21+_top25pct;186;136;50;73.12
L7_90REC_10FULL;maturity_21+_top25pct;186;136;50;73.12
L8;maturity_21+_top25pct;186;136;50;73.12
FULL;maturity_5-6_top25pct;497;352;145;70.82
L7;maturity_5-6_top25pct;497;352;145;70.82
L7_60REC_40FULL;maturity_5-6_top25pct;497;352;145;70.82
L7_70REC_30FULL;maturity_5-6_top25pct;497;352;145;70.82
L7_80REC_20FULL;maturity_5-6_top25pct;497;352;145;70.82
L7_90REC_10FULL;maturity_5-6_top25pct;497;352;145;70.82
L8;maturity_5-6_top25pct;497;352;145;70.82
L8_60REC_40FULL;maturity_5-6_top25pct;497;352;145;70.82
L8_70REC_30FULL;maturity_5-6_top25pct;497;352;145;70.82
L8_80REC_20FULL;maturity_5-6_top25pct;497;352;145;70.82
L8_90REC_10FULL;maturity_5-6_top25pct;497;352;145;70.82
L5_60REC_40FULL;maturity_5-6_top25pct;497;351;146;70.62
L5;maturity_5-6_top25pct;497;350;147;70.42
L5_70REC_30FULL;maturity_5-6_top25pct;497;350;147;70.42
L5_80REC_20FULL;maturity_5-6_top25pct;497;350;147;70.42
L5_90REC_10FULL;maturity_5-6_top25pct;497;350;147;70.42
L7_80REC_20FULL;maturity_7-8_top25pct;321;254;67;79.13
FULL;maturity_7-8_top25pct;321;253;68;78.82
L7_70REC_30FULL;maturity_7-8_top25pct;321;253;68;78.82
L7_90REC_10FULL;maturity_7-8_top25pct;321;253;68;78.82
L7;maturity_7-8_top25pct;321;252;69;78.5
L7_60REC_40FULL;maturity_7-8_top25pct;321;252;69;78.5
L5_60REC_40FULL;maturity_7-8_top25pct;321;251;70;78.19
L8;maturity_7-8_top25pct;321;251;70;78.19
L8_60REC_40FULL;maturity_7-8_top25pct;321;251;70;78.19
L8_70REC_30FULL;maturity_7-8_top25pct;321;251;70;78.19
L8_80REC_20FULL;maturity_7-8_top25pct;321;251;70;78.19
