CombinationType;Signals;Signal1;Signal2;Signal3;Scope;Support;OK;KO;HitRate;KORate;BaselineHitRate;LiftVsBaseline
PAIR;RankingGapHigh + HomePPGLow;RankingGapHigh;HomePPGLow;;ALL;83;52;31;62.6506;37.3494;62.7426;-0.092
PAIR;RankingGapHigh + HomePPGLow;RankingGapHigh;HomePPGLow;;ALTA;35;25;10;71.4286;28.5714;71.9858;-0.5572
PAIR;RankingGapHigh + HomePPGLow;RankingGapHigh;HomePPGLow;;BASSA;12;5;7;41.6667;58.3333;54.2929;-12.6262
PAIR;RankingGapHigh + HomePPGLow;RankingGapHigh;HomePPGLow;;MEDIA;36;22;14;61.1111;38.8889;59.8116;1.2995
PAIR;RankingGapHigh + WorstPPGLow;RankingGapHigh;WorstPPGLow;;ALL;123;84;39;68.2927;31.7073;62.7426;5.5501
PAIR;RankingGapHigh + WorstPPGLow;RankingGapHigh;WorstPPGLow;;ALTA;59;45;14;76.2712;23.7288;71.9858;4.2854
PAIR;RankingGapHigh + WorstPPGLow;RankingGapHigh;WorstPPGLow;;BASSA;17;9;8;52.9412;47.0588;54.2929;-1.3517
PAIR;RankingGapHigh + WorstPPGLow;RankingGapHigh;WorstPPGLow;;MEDIA;47;30;17;63.8298;36.1702;59.8116;4.0182
PAIR;RankingGapHigh + HomeWinsLow;RankingGapHigh;HomeWinsLow;;ALL;99;58;41;58.5859;41.4141;62.7426;-4.1567
PAIR;RankingGapHigh + HomeWinsLow;RankingGapHigh;HomeWinsLow;;ALTA;41;27;14;65.8537;34.1463;71.9858;-6.1321
PAIR;RankingGapHigh + HomeWinsLow;RankingGapHigh;HomeWinsLow;;BASSA;15;6;9;40.0;60.0;54.2929;-14.2929
PAIR;RankingGapHigh + HomeWinsLow;RankingGapHigh;HomeWinsLow;;MEDIA;43;25;18;58.1395;41.8605;59.8116;-1.6721
PAIR;RankingGapHigh + HomeRestartGFLow;RankingGapHigh;HomeRestartGFLow;;ALL;28;22;6;78.5714;21.4286;62.7426;15.8288
PAIR;RankingGapHigh + HomeRestartGFLow;RankingGapHigh;HomeRestartGFLow;;ALTA;13;10;3;76.9231;23.0769;71.9858;4.9373
PAIR;RankingGapHigh + HomeRestartGFLow;RankingGapHigh;HomeRestartGFLow;;BASSA;4;3;1;75.0;25.0;54.2929;20.7071
