CombinationType;Signals;Signal1;Signal2;Signal3;Scope;Support;OK;KO;HitRate;KORate;BaselineHitRate;LiftVsBaseline
TRIPLE;RankingGapHigh + HomePPGLow + WorstPPGLow;RankingGapHigh;HomePPGLow;WorstPPGLow;ALL;63;39;24;61.9048;38.0952;62.7426;-0.8378
TRIPLE;RankingGapHigh + HomePPGLow + WorstPPGLow;RankingGapHigh;HomePPGLow;WorstPPGLow;ALTA;27;20;7;74.0741;25.9259;71.9858;2.0883
TRIPLE;RankingGapHigh + HomePPGLow + WorstPPGLow;RankingGapHigh;HomePPGLow;WorstPPGLow;BASSA;11;4;7;36.3636;63.6364;54.2929;-17.9293
TRIPLE;RankingGapHigh + HomePPGLow + WorstPPGLow;RankingGapHigh;HomePPGLow;WorstPPGLow;MEDIA;25;15;10;60.0;40.0;59.8116;0.1884
TRIPLE;RankingGapHigh + HomePPGLow + HomeWinsLow;RankingGapHigh;HomePPGLow;HomeWinsLow;ALL;83;52;31;62.6506;37.3494;62.7426;-0.092
TRIPLE;RankingGapHigh + HomePPGLow + HomeWinsLow;RankingGapHigh;HomePPGLow;HomeWinsLow;ALTA;35;25;10;71.4286;28.5714;71.9858;-0.5572
TRIPLE;RankingGapHigh + HomePPGLow + HomeWinsLow;RankingGapHigh;HomePPGLow;HomeWinsLow;BASSA;12;5;7;41.6667;58.3333;54.2929;-12.6262
TRIPLE;RankingGapHigh + HomePPGLow + HomeWinsLow;RankingGapHigh;HomePPGLow;HomeWinsLow;MEDIA;36;22;14;61.1111;38.8889;59.8116;1.2995
TRIPLE;RankingGapHigh + HomePPGLow + HomeRestartGFLow;RankingGapHigh;HomePPGLow;HomeRestartGFLow;ALL;14;9;5;64.2857;35.7143;62.7426;1.5431
TRIPLE;RankingGapHigh + HomePPGLow + HomeRestartGFLow;RankingGapHigh;HomePPGLow;HomeRestartGFLow;ALTA;6;4;2;66.6667;33.3333;71.9858;-5.3191
TRIPLE;RankingGapHigh + HomePPGLow + HomeRestartGFLow;RankingGapHigh;HomePPGLow;HomeRestartGFLow;BASSA;2;1;1;50.0;50.0;54.2929;-4.2929
TRIPLE;RankingGapHigh + HomePPGLow + HomeRestartGFLow;RankingGapHigh;HomePPGLow;HomeRestartGFLow;MEDIA;6;4;2;66.6667;33.3333;59.8116;6.8551
TRIPLE;RankingGapHigh + HomePPGLow + HomeRestartNotReady;RankingGapHigh;HomePPGLow;HomeRestartNotReady;ALL;6;5;1;83.3333;16.6667;62.7426;20.5907
TRIPLE;RankingGapHigh + HomePPGLow + HomeRestartNotReady;RankingGapHigh;HomePPGLow;HomeRestartNotReady;ALTA;4;3;1;75.0;25.0;71.9858;3.0142
TRIPLE;RankingGapHigh + HomePPGLow + HomeRestartNotReady;RankingGapHigh;HomePPGLow;HomeRestartNotReady;BASSA;0;0;0;0.0;0.0;54.2929;-54.2929
TRIPLE;RankingGapHigh + HomePPGLow + HomeRestartNotReady;RankingGapHigh;HomePPGLow;HomeRestartNotReady;MEDIA;2;2;0;100.0;0.0;59.8116;40.1884
TRIPLE;RankingGapHigh + HomePPGLow + BothTeamsRestartNotReady;RankingGapHigh;HomePPGLow;BothTeamsRestartNotReady;ALL;0;0;0;0.0;0.0;62.7426;-62.7426
TRIPLE;RankingGapHigh + HomePPGLow + BothTeamsRestartNotReady;RankingGapHigh;HomePPGLow;BothTeamsRestartNotReady;ALTA;0;0;0;0.0;0.0;71.9858;-71.9858
TRIPLE;RankingGapHigh + HomePPGLow + BothTeamsRestartNotReady;RankingGapHigh;HomePPGLow;BothTeamsRestartNotReady;BASSA;0;0;0;0.0;0.0;54.2929;-54.2929
