LeagueId;Home;Away;Score;Band;Round;HG;AG;Goals;Over25;BTTS;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion;Match
USA_USLLeagueTwo_NorCal;Project 51O;Marin;92.9;ALTA;27;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;5.71;13.0;11.82;6.06;14.0;9.6;10.8;4.0;8.0;9.91;2.1.0;Project 51O - Marin
USA_USLLeagueTwo_Metropolitan;Manhattan;New Jersey Copa;89.36;ALTA;25;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;0.89;13.0;8.27;10.0;14.0;10.8;9.6;8.0;6.4;8.4;2.1.0;Manhattan - New Jersey Copa
USA_USLLeagueTwo_LoneStar;Houston FC;Houston Sur;87.73;ALTA;25;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;5.0;12.41;5.32;10.0;14.0;9.6;10.8;4.8;8.0;7.8;2.1.0;Houston FC - Houston Sur
USA_USLLeagueTwo_NorCal;Academica SC;San Juan;87.56;ALTA;27;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;3.43;12.36;6.4;10.0;14.0;9.6;10.8;6.4;6.67;7.91;2.1.0;Academica SC - San Juan
USA_USLLeagueTwo_Southwest;City SC;AMSG FC;87.51;ALTA;27;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;2.29;10.21;5.91;10.0;14.0;12.0;9.6;6.4;8.0;9.11;2.1.0;City SC - AMSG FC
USA_USLLeagueTwo_LoneStar;San Antonio FC 2;Twin City Toucans;87.3;ALTA;25;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;3.0;11.82;7.52;10.0;13.88;10.8;8.4;8.0;6.4;7.47;2.1.0;San Antonio FC 2 - Twin City Toucans
USA_USLLeagueTwo_SouthAtlantic;Salem City;Tobacco Road;87.09;ALTA;36;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;0.8;10.83;10.34;9.85;14.0;9.6;9.6;6.4;6.67;9.0;2.1.0;Salem City - Tobacco Road
Estonia_Esiliiga;Maardu;Flora U21;86.95;ALTA;20;;;;;;2026-07-08;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;4.44;7.99;13.0;9.63;12.33;7.2;12.0;4.0;8.0;8.36;2.1.0;Maardu - Flora U21
USA_USLLeagueTwo_NorCal;Davis Legacy;San Francisco City;86.77;ALTA;27;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;5.71;8.86;13.0;10.0;8.1;10.8;8.4;8.0;6.67;7.23;2.1.0;Davis Legacy - San Francisco City
USA_USLLeagueTwo_Heartland;River Light;Rockford Raptors;85.32;ALTA;23;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, alta tendenza BTTS;2.0;13.0;10.05;8.52;14.0;10.5;8.4;6.0;4.0;8.85;2.1.0;River Light - Rockford Raptors
USA_USLLeagueTwo_MidAtlantic;Reading;Philadelphia Lone Star;84.98;ALTA;28;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;2.0;11.82;11.33;7.85;14.0;8.4;10.8;4.8;6.67;7.32;2.1.0;Reading - Philadelphia Lone Star
USA_USLLeagueTwo_Chesapeake;Bethesda SC;Virginia Marauders;84.8;ALTA;26;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;4.8;13.0;2.46;9.47;14.0;10.8;9.6;6.67;8.0;6.0;2.1.0;Bethesda SC - Virginia Marauders
USA_USLLeagueTwo_MidSouth;Mississippi Brilla;Louisiana;84.5;ALTA;18;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;1.33;13.0;13.0;6.82;9.55;9.6;8.4;6.4;8.0;8.4;2.1.0;Mississippi Brilla - Louisiana
USA_USLLeagueTwo_Heartland;Rochester FC;St. Croix;84.2;ALTA;23;;;;;;2026-07-08;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;3.0;5.25;11.82;10.0;14.0;10.67;10.8;6.0;6.4;6.27;2.1.0;Rochester FC - St. Croix
USA_USLLeagueTwo_Chesapeake;Northern Virginia;Lionsbridge;83.59;ALTA;26;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;6.4;13.0;13.0;8.68;5.3;9.6;9.6;6.4;5.33;6.27;2.1.0;Northern Virginia - Lionsbridge
USA_USLLeagueTwo_SouthFlorida;Lakeland United;Miami City;83.55;ALTA;18;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;6.4;12.47;8.54;7.07;14.0;6.67;9.33;4.0;6.4;8.67;2.1.0;Lakeland United - Miami City
USA_USLLeagueTwo_SouthCentral;Swarm FC;East Atlanta;83.47;ALTA;20;;;;;;2026-07-08;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, alta tendenza BTTS;8.0;13.0;7.22;4.13;13.43;10.8;8.0;6.4;4.0;8.48;2.1.0;Swarm FC - East Atlanta
USA_USLLeagueTwo_GreatLakes;Kalamazoo FC;Lansing City;83.27;ALTA;22;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;5.33;13.0;6.5;8.64;14.0;8.4;9.6;4.8;6.4;6.6;2.1.0;Kalamazoo FC - Lansing City
Bolivia_DivisionProfesional;Real Oruro;Universitario de Vinto;81.6;ALTA;11;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, alta tendenza BTTS;3.2;9.85;10.34;10.0;9.55;10.0;7.5;8.0;2.67;10.5;2.1.0;Real Oruro - Universitario de Vinto
USA_USLLeagueTwo_MidSouth;Jackson Boom;Hattiesburg;81.14;ALTA;18;;;;;;2026-07-08;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;4.0;1.18;11.16;10.0;14.0;7.2;12.0;6.4;8.0;7.2;2.1.0;Jackson Boom - Hattiesburg
USA_USLLeagueTwo_Chesapeake;Virginia Beach;Annapolis Blues;80.11;ALTA;26;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;3.2;13.0;13.0;6.06;9.55;8.4;8.4;6.67;5.33;6.5;2.1.0;Virginia Beach - Annapolis Blues
USA_USLLeagueTwo_Northeast;Black Rock;Boston Bolts;79.65;ALTA;29;;;;;;2026-07-08;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;3.56;10.34;8.37;6.06;13.79;8.4;8.4;6.4;5.33;9.0;2.1.0;Black Rock - Boston Bolts
USA_USLLeagueTwo_Northwest;Bigfoot;Ballard;79.14;ALTA;33;;;;;;2026-07-08;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, alta tendenza BTTS;8.0;7.52;13.0;10.0;5.3;9.6;8.4;6.0;4.0;7.32;2.1.0;Bigfoot - Ballard
USA_USLLeagueTwo_Chesapeake;Patuxent;Christos;79.07;ALTA;26;;;;;;2026-07-08;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;4.8;1.61;11.33;10.0;14.0;7.2;9.6;6.4;8.0;6.14;2.1.0;Patuxent - Christos
USA_USLLeagueTwo_SouthAtlantic;Wake FC;Port City;79.03;ALTA;36;;;;;;2026-07-08;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;0.8;6.4;4.92;10.0;14.0;10.8;10.8;8.0;4.8;8.5;2.1.0;Wake FC - Port City
Kazakhstan_FirstLeague;Aktobe 2;Khan Tengri;77.49;ALTA;22;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;2.46;10.34;7.88;10.0;10.61;10.8;7.2;6.4;4.8;7.0;2.1.0;Aktobe 2 - Khan Tengri
USA_USLLeagueTwo_MidAtlantic;Ocean City;LVU Rush;77.48;ALTA;28;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;1.0;13.0;13.0;1.89;8.48;8.4;10.8;6.4;8.0;6.5;2.1.0;Ocean City - LVU Rush
USA_USLLeagueTwo_MidAtlantic;RC New Jersey;West Chester Utd;76.99;ALTA;28;;;;;;2026-07-08;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;2.0;9.85;8.6;8.33;10.41;8.4;7.2;5.33;8.0;8.86;2.1.0;RC New Jersey - West Chester Utd
Somalia_NationalLeague;Jeenyo;Gantaalaha Afgooye;75.48;ALTA;18;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;2.91;9.97;5.49;7.39;14.0;4.8;10.8;4.57;8.0;7.55;2.1.0;Jeenyo - Gantaalaha Afgooye
USA_USLLeagueTwo_Valley;Toledo Villa;Northern Indiana;75.05;ALTA;23;;;;;;2026-07-08;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;4.8;6.5;10.64;10.0;8.91;8.4;8.4;4.8;4.8;7.8;2.1.0;Toledo Villa - Northern Indiana
USA_USLLeagueTwo_Southeast;Brave SC;Inter Gainesville;74.0;MEDIA;25;;;;;;2026-07-08;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;8.0;11.82;5.91;3.64;11.93;7.2;7.5;6.0;6.0;6.0;2.1.0;Brave SC - Inter Gainesville
USA_USLLeagueTwo_SouthCentral;Montgomery United;Columbus United;74.0;MEDIA;20;;;;;;2026-07-08;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, buon profilo over interno, alta tendenza BTTS;1.33;9.45;7.68;8.64;12.09;9.6;6.0;6.4;3.2;9.6;2.1.0;Montgomery United - Columbus United
Kazakhstan_FirstLeague;Jaiyq;Tobol 2;73.37;MEDIA;22;;;;;;2026-07-08;buon attacco trasferta, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over esterno;2.46;4.92;10.34;6.44;14.0;6.0;12.0;3.2;8.0;6.0;2.1.0;Jaiyq - Tobol 2
USA_USLLeagueTwo_Heartland;RKC SC;Chicago Dutch Lions;73.25;MEDIA;23;;;;;;2026-07-08;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over esterno;4.0;5.91;12.41;7.27;11.45;6.0;10.8;2.0;8.0;5.4;2.1.0;RKC SC - Chicago Dutch Lions
