LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
Australia_NPLQueenslandU23;QLD State Team U17;Peninsula U23;89.13;ALTA;17;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, alta tendenza BTTS;QLD State Team U17 - Peninsula U23;0.73;12.66;14.0;10.8;8.4
USA_USLLeagueTwo_GreatLakes;Kalamazoo FC;Oakland County;84.9;ALTA;20260629;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, alta tendenza BTTS;Kalamazoo FC - Oakland County;4.0;13.0;5.66;10.5;9.33
Australia_NPLQueenslandU23;Rochedale U23;Moreton City Excelsior U23;82.14;ALTA;17;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;Rochedale U23 - Moreton City Excelsior U23;2.18;13.0;9.55;7.2;10.8
USA_USLLeagueTwo_MidAtlantic;Reading;Eagle FC;81.55;ALTA;20260629;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;Reading - Eagle FC;5.0;12.41;14.0;9.6;10.8
USA_USLLeagueTwo_Chesapeake;Patuxent;Hill City;79.04;ALTA;20260629;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;Patuxent - Hill City;2.4;1.77;13.31;8.4;9.6
USA_USLLeagueTwo_Northwest;Snohomish United;Tacoma Stars;78.86;ALTA;20260629;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;Snohomish United - Tacoma Stars;2.29;13.0;11.45;9.6;8.4
USA_USLLeagueTwo_Northwest;Portland Bangers;FC Olympia;78.86;ALTA;20260629;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno;Portland Bangers - FC Olympia;3.43;10.64;14.0;8.4;10.8
USA_USLLeagueTwo_Mountain;Colorado Storm;CISA;77.95;ALTA;20260630;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;Colorado Storm - CISA;5.33;13.0;14.0;7.5;10.8
USA_USLLeagueTwo_GreatLakes;Midwest United;Flint City;76.78;ALTA;20260629;buon attacco casa, buon attacco trasferta, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;Midwest United - Flint City;1.33;11.82;7.16;8.0;10.5
USA_USLLeagueTwo_Northeast;Boston Bolts;Western Mass Pioneers;76.14;ALTA;20260629;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, buon profilo over interno, alta tendenza BTTS;Boston Bolts - Western Mass Pioneers;3.56;9.45;8.91;9.6;6.0
USA_USLLeagueTwo_MidSouth;Memphis FC;Mississippi Brilla;76.08;ALTA;20260629;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;Memphis FC - Mississippi Brilla;2.67;8.54;11.14;6.67;9.0
