Band;Matches;Over15;Over15Pct;Over25;Over25Pct;Under25;Under25Pct
ALTA;43;41;95.35;33;76.74;10;23.26
MEDIA;30;25;83.33;22;73.33;8;26.67
BASSA;5;2;40.0;2;40.0;3;60.0
