PredictionDate;LeagueId;Match;Score;Band;Result;Goals;Over25;BTTS;Reason
2026-06-29;USA_USLLeagueTwo_Northeast;Albany Rush - Boston Bolts;93.08;ALTA;1-0;1;KO;KO;
2026-06-29;USA_USLLeagueTwo_Northwest;Portland Bangers - Bigfoot;85.15;ALTA;2-0;2;KO;KO;
2026-06-30;USA_USLLeagueTwo_GreatLakes;Kalamazoo FC - Oakland County;84.9;ALTA;2-0;2;KO;KO;
2026-06-28;Iceland_BestaDeildKarla;Hafnarfjordur - Vestmannaeyjar;83.86;ALTA;1-1;2;KO;OK;
2026-06-30;USA_USLLeagueTwo_MidAtlantic;Reading - Eagle FC;81.55;ALTA;1-1;2;KO;OK;
2026-06-29;Iceland_BestaDeildKarla;Akranes - Fram;80.12;ALTA;0-2;2;KO;KO;
2026-06-28;Norway_2ndDivision_Group2;Follo - Levanger;79.94;ALTA;0-2;2;KO;KO;
2026-06-30;USA_USLLeagueTwo_Chesapeake;Patuxent - Hill City;79.04;ALTA;0-1;1;KO;KO;
2026-06-30;USA_USLLeagueTwo_Northwest;Portland Bangers - FC Olympia;78.86;ALTA;2-0;2;KO;KO;
2026-06-28;Norway_3rdDivision_Group3;Varegg - V. Haugesund;77.45;ALTA;1-1;2;KO;OK;
2026-06-28;Sweden_Superettan;Landskrona - Värnamo;74.04;MEDIA;1-0;1;KO;KO;
2026-06-28;Norway_2ndDivision_Group2;Stjordals Blink - Junkeren;73.7;MEDIA;1-1;2;KO;OK;
2026-06-29;USA_USLLeagueTwo_Mountain;Albion Colorado - Colorado Storm;71.94;MEDIA;0-1;1;KO;KO;
2026-06-28;USA_USLLeagueTwo_NorCal;Glens SC - San Francisco City;69.47;MEDIA;0-2;2;KO;KO;
2026-06-30;USA_USLLeagueTwo_GreatPlains;Sunflower State - Menace;69.04;MEDIA;2-0;2;KO;KO;
2026-06-30;FaroeIslands_PremierLeague;Toftir - Argir;63.07;MEDIA;0-1;1;KO;KO;
2026-06-30;Lithuania_Toplyga;FK Panevezys - Suduva;62.18;MEDIA;0-0;0;KO;KO;
2026-06-29;Australia_NPLNSW;SD Raiders - Sydney FC U23;62.09;MEDIA;0-1;1;KO;KO;
2026-06-28;Sweden_Superettan;Norrkoping - Norrby;59.3;BASSA;0-1;1;KO;KO;
2026-06-29;USA_USLLeagueTwo_SouthAtlantic;Asheville City - Charlotte Independ. 2;54.56;BASSA;1-0;1;KO;KO;
