LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Clarence Zebras U21;99.11;ALTA;13;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Glenorchy Knights U21 - Clarence Zebras U21;2.0;13.0;10.0;12.0;10.8
Australia_NPLNorthernNSW;Edgeworth E.;Kahibah;87.5;ALTA;19;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Edgeworth E. - Kahibah;3.27;11.82;10.0;10.8;12.0
Australia_NPLQueensland;Wynnum Wolves;Rochedale;85.34;ALTA;17;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Wynnum Wolves - Rochedale;1.09;10.34;10.0;12.0;9.6
Australia_QueenslandPremierLeague;Caboolture;Sunshine Coast Wanderers;83.07;ALTA;18;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Caboolture - Sunshine Coast Wanderers;1.64;11.45;5.97;9.6;8.4
Australia_SAStateLeague;Adelaide Olympic;Salisbury Utd.;78.72;ALTA;17;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Adelaide Olympic - Salisbury Utd.;3.82;11.45;10.0;8.4;10.8
USA_USLLeagueTwo_Metropolitan;Motown 2;Morris Elite;76.57;ALTA;20260630;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo;Motown 2 - Morris Elite;4.67;13.0;10.0;9.33;8.0
Australia_NSWLeagueOne;Hurstville Zagreb;Canterbury Bankstown;76.04;ALTA;22;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, alta tendenza BTTS;Hurstville Zagreb - Canterbury Bankstown;2.8;9.0;7.58;8.4;9.6
USA_USLLeagueTwo_Mountain;Flatirons;Colorado Storm;75.9;ALTA;20260631;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo;Flatirons - Colorado Storm;5.0;7.39;1.52;10.5;8.0
USA_USLLeagueTwo_Southwest;Redlands FC;Capo;74.66;MEDIA;20260629;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, profilo over casa positivo, alta tendenza BTTS;Redlands FC - Capo;3.43;12.47;9.09;6.67;6.0
Australia_NPLSouthAustralia;Adelaide Comets;Croydon;71.45;MEDIA;17;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo;Adelaide Comets - Croydon;2.73;6.65;8.24;8.4;8.4
USA_USLLeagueTwo_MidSouth;Red River;Little Rock Rangers;70.3;MEDIA;20260630;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, profilo over casa positivo;Red River - Little Rock Rangers;2.0;12.41;1.7;9.6;6.0
USA_USLLeagueTwo_LoneStar;Lonestar SC;Laredo Heat;69.95;MEDIA;20260630;buon attacco casa, buon attacco trasferta, trend over recente casa, trend over recente trasferta, profilo over trasferta positivo, alta tendenza BTTS;Lonestar SC - Laredo Heat;2.25;11.82;2.02;7.2;8.0
Australia_NPLVictoria;Heidelberg;St Albans;68.41;MEDIA;19;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo;Heidelberg - St Albans;2.31;9.85;8.33;8.4;7.2
Australia_NPLNorthernNSW;Cooks Hill United;Valentine;68.19;MEDIA;19;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, profilo over casa positivo;Cooks Hill United - Valentine;1.64;10.71;8.81;9.6;6.0
Australia_QueenslandPremierLeague;Ipswich;Holland Park Hawks;66.74;MEDIA;18;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta;Ipswich - Holland Park Hawks;3.27;8.86;8.81;7.2;9.6
Australia_NSWLeagueOne;Prospect United;Hakoah Sydney;65.38;MEDIA;22;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, alta tendenza BTTS;Prospect United - Hakoah Sydney;2.8;5.63;7.79;6.0;9.6
USA_USLLeagueTwo_GreatPlains;Peoria;St. Louis Ambush;58.97;BASSA;20260630;buon attacco casa, difesa trasferta vulnerabile;Peoria - St. Louis Ambush;3.6;13.0;6.57;6.67;5.33
Australia_SAStateLeague;Eastern United;Modbury;58.74;BASSA;17;buon attacco trasferta, difesa casa vulnerabile, trend over recente trasferta;Eastern United - Modbury;2.73;6.65;4.22;3.6;7.2
Australia_VictoriaPremierLeague2;Springvale;Keilor Park;58.33;BASSA;19;difesa casa vulnerabile, trend over recente casa, profilo over casa positivo;Springvale - Keilor Park;2.31;6.24;5.61;7.2;3.6
Australia_VictoriaPremierLeague2;Kingston City;Nunawading City;57.79;BASSA;19;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, profilo over casa positivo;Kingston City - Nunawading City;1.85;4.87;6.68;9.6;3.6
Australia_NPLVictoria;Green Gully;Bentleigh;55.82;BASSA;19;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta;Green Gully - Bentleigh;0.92;3.28;9.85;7.2;8.4
Australia_VictoriaPremierLeague2;Box Hill;Whittlesea United;52.82;BASSA;19;buon attacco casa, buon attacco trasferta;Box Hill - Whittlesea United;0.46;8.69;5.3;6.0;4.8
