Engine;Rule;Description;BaselineEvaluableTotal;BaselineEvaluableOK;BaselineEvaluableKO;BaselineEvaluablePct;SelectedTotal;SelectedOK;SelectedKO;SelectedPct;DeltaVsBaseline;CoveragePct;BaselineNoAUTotal;BaselineNoAUPct;SelectedNoAUTotal;SelectedNoAUOK;SelectedNoAUKO;SelectedNoAUPct;DeltaNoAU;TrainBaselineTotal;TrainBaselinePct;TrainSelectedTotal;TrainSelectedOK;TrainSelectedKO;TrainSelectedPct;TrainDelta;TestBaselineTotal;TestBaselinePct;TestSelectedTotal;TestSelectedOK;TestSelectedKO;TestSelectedPct;TestDelta
v13;away_attack_le_10_0__home_restart_gf_ge_2_5;AwayAttackScore <= 10.0 AND HomeGFAvgSinceRestart >= 2.5;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_ga_l5_ge_2_0__home_restart_over_ge_1_0;AwayGALast5Avg >= 2.0 AND HomeOverRateSinceRestart >= 1.0;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_ga_l5_ge_2_0__home_restart_gf_ge_2_5;AwayGALast5Avg >= 2.0 AND HomeGFAvgSinceRestart >= 2.5;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;worst_ppg_l5_le_0_8__home_restart_gf_ge_2_5;WorstPPGLast5 <= 0.8 AND HomeGFAvgSinceRestart >= 2.5;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_ga_l5_ge_2_0__home_restart_over_ge_0_8;AwayGALast5Avg >= 2.0 AND HomeOverRateSinceRestart >= 0.8;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_ga_l5_ge_1_8__home_restart_gf_ge_2_5;AwayGALast5Avg >= 1.8 AND HomeGFAvgSinceRestart >= 2.5;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_attack_le_11_0__home_restart_gf_ge_2_5;AwayAttackScore <= 11.0 AND HomeGFAvgSinceRestart >= 2.5;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_def_weak_ge_8_0__home_restart_gf_ge_2_5;AwayDefenseWeaknessScore >= 8.0 AND HomeGFAvgSinceRestart >= 2.5;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_ga_l5_ge_1_8__home_restart_over_ge_1_0;AwayGALast5Avg >= 1.8 AND HomeOverRateSinceRestart >= 1.0;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;home_restart_gf_ge_2_5__home_restart_over_ge_0_8;HomeGFAvgSinceRestart >= 2.5 AND HomeOverRateSinceRestart >= 0.8;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;home_restart_gf_ge_2_0__home_restart_over_ge_0_8;HomeGFAvgSinceRestart >= 2.0 AND HomeOverRateSinceRestart >= 0.8;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_def_weak_ge_9_0__home_restart_gf_ge_2_5;AwayDefenseWeaknessScore >= 9.0 AND HomeGFAvgSinceRestart >= 2.5;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_attack_le_10_0__home_restart_gf_ge_2_0;AwayAttackScore <= 10.0 AND HomeGFAvgSinceRestart >= 2.0;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;home_restart_gf_ge_2_0__home_restart_over_ge_1_0;HomeGFAvgSinceRestart >= 2.0 AND HomeOverRateSinceRestart >= 1.0;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
v13;away_def_weak_ge_8_0__home_restart_over_ge_1_0;AwayDefenseWeaknessScore >= 8.0 AND HomeOverRateSinceRestart >= 1.0;0;0;0;0.0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0;0;0.0;0;0;0;0.0;0.0
