Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
USA;USL League Two - Mid-Atlantic Division;2026;1;2026-05-09;Philadelphia Lone Star;West Chester Utd;3;1;
USA;USL League Two - Mid-Atlantic Division;2026;2;2026-05-13;LVU Rush;West Chester Utd;3;1;
USA;USL League Two - Mid-Atlantic Division;2026;3;2026-05-16;Philadelphia Lone Star;Eagle FC;5;0;
USA;USL League Two - Mid-Atlantic Division;2026;4;2026-05-17;West Chester Utd;PA Classics;1;0;
USA;USL League Two - Mid-Atlantic Division;2026;5;2026-05-20;LVU Rush;Delaware;2;1;
USA;USL League Two - Mid-Atlantic Division;2026;6;2026-05-21;RC New Jersey;PA Classics;4;2;
USA;USL League Two - Mid-Atlantic Division;2026;7;2026-05-23;Ocean City;Philadelphia Lone Star;3;0;
USA;USL League Two - Mid-Atlantic Division;2026;8;2026-05-24;LVU Rush;Reading;3;1;
USA;USL League Two - Mid-Atlantic Division;2026;8;2026-05-24;PA Classics;Delaware;1;1;
USA;USL League Two - Mid-Atlantic Division;2026;8;2026-05-24;West Chester Utd;Eagle FC;1;1;
USA;USL League Two - Mid-Atlantic Division;2026;9;2026-05-27;Delaware;Philadelphia Lone Star;4;2;
USA;USL League Two - Mid-Atlantic Division;2026;9;2026-05-27;LVU Rush;Eagle FC;3;0;
USA;USL League Two - Mid-Atlantic Division;2026;10;2026-05-28;RC New Jersey;Reading;1;0;
USA;USL League Two - Mid-Atlantic Division;2026;11;2026-05-30;Ocean City;Delaware;5;1;
USA;USL League Two - Mid-Atlantic Division;2026;12;2026-05-31;Eagle FC;Reading;0;3;
USA;USL League Two - Mid-Atlantic Division;2026;12;2026-05-31;LVU Rush;RC New Jersey;1;0;
USA;USL League Two - Mid-Atlantic Division;2026;12;2026-05-31;Philadelphia Lone Star;PA Classics;6;2;
USA;USL League Two - Mid-Atlantic Division;2026;13;2026-06-03;Eagle FC;Delaware;1;3;
USA;USL League Two - Mid-Atlantic Division;2026;13;2026-06-03;West Chester Utd;Reading;3;1;
USA;USL League Two - Mid-Atlantic Division;2026;14;2026-06-04;Ocean City;RC New Jersey;1;0;
USA;USL League Two - Mid-Atlantic Division;2026;14;2026-06-04;PA Classics;Philadelphia Lone Star;1;1;
USA;USL League Two - Mid-Atlantic Division;2026;15;2026-06-06;Philadelphia Lone Star;LVU Rush;4;1;
USA;USL League Two - Mid-Atlantic Division;2026;16;2026-06-07;Eagle FC;RC New Jersey;1;3;
USA;USL League Two - Mid-Atlantic Division;2026;16;2026-06-07;Ocean City;PA Classics;5;0;
USA;USL League Two - Mid-Atlantic Division;2026;17;2026-06-10;Delaware;West Chester Utd;1;3;
USA;USL League Two - Mid-Atlantic Division;2026;17;2026-06-10;LVU Rush;Philadelphia Lone Star;3;0;
USA;USL League Two - Mid-Atlantic Division;2026;18;2026-06-11;PA Classics;Eagle FC;3;1;
USA;USL League Two - Mid-Atlantic Division;2026;18;2026-06-11;Reading;Ocean City;0;2;
USA;USL League Two - Mid-Atlantic Division;2026;19;2026-06-14;Delaware;Ocean City;2;3;
USA;USL League Two - Mid-Atlantic Division;2026;19;2026-06-14;PA Classics;LVU Rush;2;4;
USA;USL League Two - Mid-Atlantic Division;2026;19;2026-06-14;RC New Jersey;Philadelphia Lone Star;4;1;
USA;USL League Two - Mid-Atlantic Division;2026;19;2026-06-14;Reading;West Chester Utd;4;1;
USA;USL League Two - Mid-Atlantic Division;2026;20;2026-06-17;Delaware;PA Classics;0;2;
USA;USL League Two - Mid-Atlantic Division;2026;20;2026-06-17;Eagle FC;LVU Rush;1;3;
USA;USL League Two - Mid-Atlantic Division;2026;20;2026-06-17;Reading;RC New Jersey;2;2;
USA;USL League Two - Mid-Atlantic Division;2026;20;2026-06-17;West Chester Utd;Philadelphia Lone Star;3;1;
USA;USL League Two - Mid-Atlantic Division;2026;21;2026-06-19;RC New Jersey;Ocean City;1;4;
USA;USL League Two - Mid-Atlantic Division;2026;22;2026-06-20;Philadelphia Lone Star;Delaware;0;5;
USA;USL League Two - Mid-Atlantic Division;2026;23;2026-06-21;Ocean City;Reading;3;0;
USA;USL League Two - Mid-Atlantic Division;2026;23;2026-06-21;PA Classics;RC New Jersey;2;2;
USA;USL League Two - Mid-Atlantic Division;2026;24;2026-06-24;Delaware;Reading;1;2;
USA;USL League Two - Mid-Atlantic Division;2026;24;2026-06-24;Eagle FC;PA Classics;0;3;
USA;USL League Two - Mid-Atlantic Division;2026;24;2026-06-24;West Chester Utd;Ocean City;0;1;
USA;USL League Two - Mid-Atlantic Division;2026;25;2026-06-25;RC New Jersey;LVU Rush;1;2;
USA;USL League Two - Mid-Atlantic Division;2026;25;2026-06-27;Eagle FC;Ocean City;0;3;
USA;USL League Two - Mid-Atlantic Division;2026;26;2026-06-29;West Chester Utd;LVU Rush;2;3;
USA;USL League Two - Mid-Atlantic Division;2026;26;2026-06-30;Philadelphia Lone Star;Ocean City;0;4;
USA;USL League Two - Mid-Atlantic Division;2026;20260628;2026-06-28;Delaware;RC New Jersey;5;1;
USA;USL League Two - Mid-Atlantic Division;2026;20260628;2026-06-28;Reading;PA Classics;8;2;
