Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
USA;USL Championship;2026;1;2026-06-21;Brooklyn;Tampa Bay;0;2;
USA;USL Championship;2026;1;2026-06-21;Hartford Athletic;Pittsburgh;0;0;
USA;USL Championship;2026;1;2026-06-21;Monterey Bay;El Paso;1;0;
USA;USL Championship;2026;1;2026-06-21;Phoenix Rising;Oakland Roots;3;4;
USA;USL Championship;2026;1;2026-06-21;Sacramento Republic;New Mexico;0;1;
USA;USL Championship;2026;1;2026-06-25;Charleston;Loudoun;4;1;
USA;USL Championship;2026;1;2026-06-25;Colorado Springs;San Antonio;1;2;
USA;USL Championship;2026;1;2026-06-25;Miami FC;Orange County SC;2;4;
USA;USL Championship;2026;1;2026-07-03;Birmingham;Detroit;1;2;
USA;USL Championship;2026;2;2026-06-14;El Paso;Phoenix Rising;1;1;
USA;USL Championship;2026;2;2026-06-14;Lexington;San Antonio;2;0;
USA;USL Championship;2026;2;2026-06-14;Louisville City;Brooklyn;2;2;
USA;USL Championship;2026;2;2026-06-14;Pittsburgh;Indy Eleven;1;0;
USA;USL Championship;2026;2;2026-06-14;Tampa Bay;Hartford Athletic;0;1;
USA;USL Championship;2026;2;2026-06-21;Birmingham;Loudoun;1;1;
USA;USL Championship;2026;2;2026-06-21;FC Tulsa;Colorado Springs;1;2;
USA;USL Championship;2026;2;2026-06-21;Las Vegas Lights;Orange County SC;2;3;
USA;USL Championship;2026;2;2026-06-21;Sporting Jax;Charleston;2;5;
USA;USL Championship;2026;3;2026-06-11;Phoenix Rising;Louisville City;0;2;
USA;USL Championship;2026;3;2026-06-14;Colorado Springs;Sacramento Republic;0;1;
USA;USL Championship;2026;3;2026-06-14;Loudoun;Rhode Island;1;4;
USA;USL Championship;2026;3;2026-06-14;New Mexico;Orange County SC;1;1;
USA;USL Championship;2026;3;2026-06-14;Sporting Jax;Detroit;2;6;
USA;USL Championship;2026;3;2026-06-17;Oakland Roots;Birmingham;1;1;
USA;USL Championship;2026;3;2026-06-18;FC Tulsa;Monterey Bay;2;0;
USA;USL Championship;2026;4;2026-05-31;Hartford Athletic;New Mexico;0;0;
USA;USL Championship;2026;4;2026-05-31;Indy Eleven;Rhode Island;1;0;
USA;USL Championship;2026;4;2026-05-31;Phoenix Rising;Sacramento Republic;2;0;
USA;USL Championship;2026;4;2026-06-11;Detroit;El Paso;1;1;
USA;USL Championship;2026;4;2026-06-11;Monterey Bay;Sporting Jax;2;1;
USA;USL Championship;2026;4;2026-06-14;Birmingham;Las Vegas Lights;1;2;
USA;USL Championship;2026;4;2026-06-14;Charleston;FC Tulsa;5;1;
USA;USL Championship;2026;4;2026-06-14;Oakland Roots;Miami FC;0;0;
USA;USL Championship;2026;5;2026-05-31;El Paso;Lexington;1;4;
USA;USL Championship;2026;5;2026-05-31;Las Vegas Lights;FC Tulsa;0;0;
USA;USL Championship;2026;5;2026-05-31;Monterey Bay;Loudoun;4;1;
USA;USL Championship;2026;5;2026-05-31;Oakland Roots;Colorado Springs;0;1;
USA;USL Championship;2026;5;2026-05-31;Pittsburgh;Miami FC;2;0;
USA;USL Championship;2026;5;2026-05-31;Sporting Jax;Brooklyn;2;2;
USA;USL Championship;2026;5;2026-06-04;Birmingham;Louisville City;1;1;
USA;USL Championship;2026;5;2026-06-11;Tampa Bay;Charleston;2;2;
USA;USL Championship;2026;6;2026-05-23;FC Tulsa;Hartford Athletic;2;0;
USA;USL Championship;2026;6;2026-05-24;Indy Eleven;Lexington;3;1;
USA;USL Championship;2026;6;2026-05-24;Las Vegas Lights;Colorado Springs;2;0;
USA;USL Championship;2026;6;2026-05-24;Monterey Bay;Birmingham;2;0;
USA;USL Championship;2026;6;2026-05-24;Orange County SC;Oakland Roots;3;2;
USA;USL Championship;2026;6;2026-05-24;Rhode Island;Brooklyn;4;1;
USA;USL Championship;2026;6;2026-05-28;Sporting Jax;San Antonio;4;4;
USA;USL Championship;2026;6;2026-05-31;Charleston;Detroit;2;0;
USA;USL Championship;2026;6;2026-05-31;Louisville City;Tampa Bay;0;2;
USA;USL Championship;2026;7;2026-05-09;Colorado Springs;Orange County SC;2;2;
USA;USL Championship;2026;7;2026-05-09;Lexington;Monterey Bay;3;1;
USA;USL Championship;2026;7;2026-05-10;Indy Eleven;Sporting Jax;2;1;
USA;USL Championship;2026;7;2026-05-10;Oakland Roots;El Paso;2;1;
USA;USL Championship;2026;7;2026-05-24;Loudoun;Detroit;0;0;
USA;USL Championship;2026;7;2026-05-24;Miami FC;Louisville City;4;3;
USA;USL Championship;2026;7;2026-05-24;New Mexico;Charleston;1;0;
USA;USL Championship;2026;7;2026-05-24;San Antonio;Sacramento Republic;2;1;
USA;USL Championship;2026;7;2026-05-24;Tampa Bay;Phoenix Rising;3;0;
USA;USL Championship;2026;8;2026-05-03;Charleston;Sporting Jax;4;0;
USA;USL Championship;2026;8;2026-05-03;Sacramento Republic;Orange County SC;3;2;
USA;USL Championship;2026;8;2026-05-04;Monterey Bay;FC Tulsa;1;2;
USA;USL Championship;2026;8;2026-05-10;Brooklyn;Loudoun;0;1;
USA;USL Championship;2026;8;2026-05-10;Louisville City;Pittsburgh;0;2;
USA;USL Championship;2026;8;2026-05-10;Phoenix Rising;San Antonio;1;1;
USA;USL Championship;2026;8;2026-05-21;Detroit;Miami FC;2;1;
USA;USL Championship;2026;8;2026-05-21;New Mexico;Tampa Bay;0;1;
USA;USL Championship;2026;9;2026-05-02;Loudoun;Oakland Roots;2;2;
USA;USL Championship;2026;9;2026-05-03;Pittsburgh;Phoenix Rising;0;1;
USA;USL Championship;2026;9;2026-05-03;San Antonio;Colorado Springs;3;3;
USA;USL Championship;2026;9;2026-05-08;Birmingham;Miami FC;0;0;
USA;USL Championship;2026;9;2026-05-10;Hartford Athletic;Detroit;2;1;
USA;USL Championship;2026;9;2026-05-10;New Mexico;Las Vegas Lights;3;1;
USA;USL Championship;2026;9;2026-05-10;Rhode Island;Tampa Bay;1;1;
USA;USL Championship;2026;10;2026-04-18;Colorado Springs;Monterey Bay;4;1;
USA;USL Championship;2026;10;2026-04-19;Hartford Athletic;Loudoun;0;0;
USA;USL Championship;2026;10;2026-05-03;Detroit;Louisville City;2;1;
USA;USL Championship;2026;10;2026-05-03;Las Vegas Lights;Lexington;2;1;
USA;USL Championship;2026;10;2026-05-03;Miami FC;Brooklyn;3;2;
USA;USL Championship;2026;10;2026-05-03;Rhode Island;Birmingham;1;3;
USA;USL Championship;2026;10;2026-05-03;Tampa Bay;Indy Eleven;1;0;
USA;USL Championship;2026;10;2026-05-07;New Mexico;El Paso;2;2;
USA;USL Championship;2026;11;2026-04-18;Louisville City;Sporting Jax;1;0;
USA;USL Championship;2026;11;2026-04-19;Birmingham;Indy Eleven;2;2;
