Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
Lithuania;I Lyga;2026;1;2026-06-07;Jonava;FK Minija;0;0;
Lithuania;I Lyga;2026;1;2026-06-08;Dainava Alytus;Garliava;1;0;
Lithuania;I Lyga;2026;1;2026-06-10;Neptunas;Transinvest 2;3;0;
Lithuania;I Lyga;2026;1;2026-06-24;Babrungas;Kauno Zalgiris 2;0;0;
Lithuania;I Lyga;2026;2;2026-03-13;BE1 NFA;BFA Vilnius;3;1;
Lithuania;I Lyga;2026;2;2026-03-13;Kauno Zalgiris 2;Tauras;1;2;
Lithuania;I Lyga;2026;2;2026-03-13;Siauliai 2;Neptunas;0;0;
Lithuania;I Lyga;2026;2;2026-03-14;Ekranas;Babrungas;0;3;
Lithuania;I Lyga;2026;2;2026-03-14;FK Minija;Zalgiris 2;4;0;
Lithuania;I Lyga;2026;2;2026-03-14;Garliava;Jonava;2;0;
Lithuania;I Lyga;2026;2;2026-03-14;Transinvest 2;Dainava Alytus;3;3;
Lithuania;I Lyga;2026;2;2026-03-15;Hegelmann Litauen 2;Atmosfera;0;3;
Lithuania;I Lyga;2026;3;2026-03-17;BFA Vilnius;Siauliai 2;1;0;
Lithuania;I Lyga;2026;3;2026-03-17;Neptunas;Garliava;0;3;
Lithuania;I Lyga;2026;3;2026-03-17;Zalgiris 2;Ekranas;1;0;
Lithuania;I Lyga;2026;3;2026-03-18;Atmosfera;Kauno Zalgiris 2;2;1;
Lithuania;I Lyga;2026;3;2026-03-18;Babrungas;Transinvest 2;3;0;
Lithuania;I Lyga;2026;3;2026-03-18;FK Minija;Hegelmann Litauen 2;3;0;
Lithuania;I Lyga;2026;3;2026-03-18;Jonava;BE1 NFA;2;2;
Lithuania;I Lyga;2026;3;2026-03-28;Tauras;Dainava Alytus;2;1;
Lithuania;I Lyga;2026;4;2026-03-21;Ekranas;Jonava;1;2;
Lithuania;I Lyga;2026;4;2026-03-21;Garliava;Hegelmann Litauen 2;1;1;
Lithuania;I Lyga;2026;4;2026-03-21;Siauliai 2;Atmosfera;1;4;
Lithuania;I Lyga;2026;4;2026-03-21;Transinvest 2;BFA Vilnius;1;0;
Lithuania;I Lyga;2026;4;2026-03-22;BE1 NFA;FK Minija;2;3;
Lithuania;I Lyga;2026;4;2026-03-22;Babrungas;Dainava Alytus;3;1;
