Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
USA;USL League Two - Heartland Division;2026;1;2026-05-16;Edgewater Castle;Rockford Raptors;4;2;
USA;USL League Two - Heartland Division;2026;1;2026-05-16;Sueno;Rochester FC;7;0;
USA;USL League Two - Heartland Division;2026;2;2026-05-17;Minneapolis City;Chicago Dutch Lions;6;0;
USA;USL League Two - Heartland Division;2026;3;2026-05-21;St. Croix;Sueno;0;6;
USA;USL League Two - Heartland Division;2026;4;2026-05-23;Chicago Dutch Lions;Sueno;0;3;
USA;USL League Two - Heartland Division;2026;4;2026-05-23;Edgewater Castle;RKC SC;1;2;
USA;USL League Two - Heartland Division;2026;4;2026-05-23;Rochester FC;River Light;3;2;
USA;USL League Two - Heartland Division;2026;5;2026-05-28;River Light;RKC SC;0;0;
USA;USL League Two - Heartland Division;2026;5;2026-05-28;Rockford Raptors;Chicago Dutch Lions;1;3;
USA;USL League Two - Heartland Division;2026;5;2026-05-28;St. Croix;Minneapolis City;1;4;
USA;USL League Two - Heartland Division;2026;6;2026-05-29;Edgewater Castle;Sueno;1;4;
USA;USL League Two - Heartland Division;2026;7;2026-05-31;Minneapolis City;Rochester FC;8;0;
USA;USL League Two - Heartland Division;2026;7;2026-05-31;St. Croix;River Light;2;1;
USA;USL League Two - Heartland Division;2026;8;2026-06-01;Chicago Dutch Lions;Edgewater Castle;2;1;
USA;USL League Two - Heartland Division;2026;8;2026-06-01;RKC SC;Rockford Raptors;0;2;
USA;USL League Two - Heartland Division;2026;9;2026-06-04;Chicago Dutch Lions;Rochester FC;2;1;
USA;USL League Two - Heartland Division;2026;9;2026-06-04;RKC SC;Minneapolis City;0;1;
USA;USL League Two - Heartland Division;2026;9;2026-06-04;River Light;Sueno;2;1;
USA;USL League Two - Heartland Division;2026;9;2026-06-04;Rockford Raptors;St. Croix;4;2;
USA;USL League Two - Heartland Division;2026;10;2026-06-06;Edgewater Castle;Rochester FC;3;2;
USA;USL League Two - Heartland Division;2026;11;2026-06-07;Minneapolis City;Sueno;2;1;
USA;USL League Two - Heartland Division;2026;11;2026-06-07;Rockford Raptors;River Light;1;4;
USA;USL League Two - Heartland Division;2026;12;2026-06-08;RKC SC;St. Croix;1;0;
USA;USL League Two - Heartland Division;2026;13;2026-06-11;Chicago Dutch Lions;St. Croix;1;4;
USA;USL League Two - Heartland Division;2026;13;2026-06-11;Sueno;Rockford Raptors;4;1;
USA;USL League Two - Heartland Division;2026;14;2026-06-14;Chicago Dutch Lions;River Light;2;2;
USA;USL League Two - Heartland Division;2026;14;2026-06-14;Rockford Raptors;Minneapolis City;0;3;
USA;USL League Two - Heartland Division;2026;14;2026-06-14;St. Croix;Rochester FC;3;0;
USA;USL League Two - Heartland Division;2026;15;2026-06-15;RKC SC;Edgewater Castle;4;0;
USA;USL League Two - Heartland Division;2026;16;2026-06-17;River Light;Edgewater Castle;7;1;
USA;USL League Two - Heartland Division;2026;17;2026-06-18;Rochester FC;RKC SC;2;1;
USA;USL League Two - Heartland Division;2026;17;2026-06-18;Rockford Raptors;Sueno;1;0;
USA;USL League Two - Heartland Division;2026;18;2026-06-21;Chicago Dutch Lions;RKC SC;2;0;
USA;USL League Two - Heartland Division;2026;18;2026-06-21;Minneapolis City;Edgewater Castle;3;1;
USA;USL League Two - Heartland Division;2026;19;2026-06-22;Sueno;St. Croix;3;1;
USA;USL League Two - Heartland Division;2026;20;2026-06-25;Minneapolis City;RKC SC;3;1;
USA;USL League Two - Heartland Division;2026;20;2026-06-25;Rockford Raptors;Edgewater Castle;3;2;
