Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
Islanda;Division 2;2026;1;2026-05-01;Fjolnir;Magni;4;1;
Islanda;Division 2;2026;1;2026-05-01;Olafsvik;Hviti;3;3;
Islanda;Division 2;2026;1;2026-05-01;Throttur Vogar;Haukar;2;1;
Islanda;Division 2;2026;1;2026-05-02;Dalvik/Reynir;Kormakur/Hvot;1;0;
Islanda;Division 2;2026;1;2026-05-02;Kari;KFG Gardabaer;5;1;
Islanda;Division 2;2026;1;2026-05-02;Selfoss;KFA;2;4;
Islanda;Division 2;2026;2;2026-05-09;Fjolnir;Dalvik/Reynir;2;1;
Islanda;Division 2;2026;2;2026-05-09;Haukar;Magni;6;1;
Islanda;Division 2;2026;2;2026-05-09;Hviti;Selfoss;1;1;
Islanda;Division 2;2026;2;2026-05-09;KFA;Kari;2;4;
Islanda;Division 2;2026;2;2026-05-09;KFG Gardabaer;Throttur Vogar;3;1;
Islanda;Division 2;2026;2;2026-05-09;Olafsvik;Kormakur/Hvot;0;2;
Islanda;Division 2;2026;3;2026-05-14;Throttur Vogar;KFA;2;0;
Islanda;Division 2;2026;3;2026-05-15;Haukar;Fjolnir;3;1;
Islanda;Division 2;2026;3;2026-05-15;Kari;Hviti;0;0;
Islanda;Division 2;2026;3;2026-05-16;KFG Gardabaer;Magni;1;2;
Islanda;Division 2;2026;3;2026-05-16;Olafsvik;Dalvik/Reynir;2;1;
Islanda;Division 2;2026;3;2026-05-16;Selfoss;Kormakur/Hvot;2;1;
Islanda;Division 2;2026;4;2026-05-21;KFG Gardabaer;Haukar;0;4;
Islanda;Division 2;2026;4;2026-05-23;Dalvik/Reynir;Selfoss;2;2;
Islanda;Division 2;2026;4;2026-05-23;Fjolnir;Olafsvik;5;1;
Islanda;Division 2;2026;4;2026-05-23;Hviti;Throttur Vogar;2;0;
Islanda;Division 2;2026;4;2026-05-23;KFA;Magni;4;0;
Islanda;Division 2;2026;4;2026-05-23;Kormakur/Hvot;Kari;4;1;
Islanda;Division 2;2026;5;2026-05-31;Haukar;KFA;3;2;
Islanda;Division 2;2026;5;2026-05-31;Kari;Dalvik/Reynir;6;0;
Islanda;Division 2;2026;5;2026-05-31;Magni;Hviti;1;1;
Islanda;Division 2;2026;5;2026-05-31;Selfoss;Olafsvik;3;1;
Islanda;Division 2;2026;5;2026-05-31;Throttur Vogar;Kormakur/Hvot;1;1;
Islanda;Division 2;2026;5;2026-06-01;KFG Gardabaer;Fjolnir;4;3;
Islanda;Division 2;2026;6;2026-06-05;Hviti;Haukar;0;2;
Islanda;Division 2;2026;6;2026-06-05;Kormakur/Hvot;Magni;7;1;
Islanda;Division 2;2026;6;2026-06-06;Dalvik/Reynir;Throttur Vogar;1;0;
Islanda;Division 2;2026;6;2026-06-06;Fjolnir;Selfoss;2;3;
Islanda;Division 2;2026;6;2026-06-06;KFA;KFG Gardabaer;5;1;
Islanda;Division 2;2026;6;2026-06-06;Olafsvik;Kari;3;3;
Islanda;Division 2;2026;7;2026-06-10;Haukar;Kormakur/Hvot;2;2;
Islanda;Division 2;2026;7;2026-06-10;KFA;Fjolnir;2;3;
Islanda;Division 2;2026;7;2026-06-10;KFG Gardabaer;Hviti;1;0;
Islanda;Division 2;2026;7;2026-06-10;Kari;Selfoss;2;2;
Islanda;Division 2;2026;7;2026-06-10;Magni;Dalvik/Reynir;0;2;
Islanda;Division 2;2026;7;2026-06-10;Throttur Vogar;Olafsvik;1;2;
Islanda;Division 2;2026;8;2026-06-14;Dalvik/Reynir;Haukar;3;0;
Islanda;Division 2;2026;8;2026-06-14;Hviti;KFA;4;3;
Islanda;Division 2;2026;8;2026-06-14;Kormakur/Hvot;KFG Gardabaer;2;3;
Islanda;Division 2;2026;8;2026-06-14;Olafsvik;Magni;3;1;
Islanda;Division 2;2026;8;2026-06-15;Fjolnir;Kari;2;2;
Islanda;Division 2;2026;8;2026-06-15;Selfoss;Throttur Vogar;3;1;
Islanda;Division 2;2026;9;2026-06-19;Throttur Vogar;Kari;1;4;
Islanda;Division 2;2026;9;2026-06-20;Haukar;Olafsvik;1;0;
Islanda;Division 2;2026;9;2026-06-20;KFA;Kormakur/Hvot;2;2;
Islanda;Division 2;2026;9;2026-06-20;KFG Gardabaer;Dalvik/Reynir;0;6;
Islanda;Division 2;2026;9;2026-06-20;Magni;Selfoss;4;1;
Islanda;Division 2;2026;10;2026-06-27;Dalvik/Reynir;KFA;1;0;
Islanda;Division 2;2026;10;2026-06-27;Kari;Magni;1;1;
Islanda;Division 2;2026;10;2026-06-27;Olafsvik;KFG Gardabaer;1;0;
Islanda;Division 2;2026;20;2026-06-19;Fjolnir;Hviti;1;1;
Islanda;Division 2;2026;21;2026-06-27;Kormakur/Hvot;Hviti;4;0;
