Country;League;Round;Date;Home;Away;HG;AG;Notes
Somalia;National League;1;2026-07-02;Jazeera;Jubba;4;2;
Somalia;National League;1;2026-07-03;Horseed;Jeenyo;1;1;
Somalia;National League;1;2026-07-04;Badbaado;Elman;1;2;
Somalia;National League;1;2026-07-06;Raadsan;Dekedaha;3;6;
Somalia;National League;1;2026-07-07;Heegan;Gaadiidka;1;2;
Somalia;National League;2;2026-06-27;Jubba;Elman;0;5;
Somalia;National League;2;2026-06-28;Jeenyo;Badbaado;2;2;
Somalia;National League;2;2026-06-29;Raadsan;Gaadiidka;0;6;
Somalia;National League;2;2026-06-30;Dekedaha;Mogadishu City;0;0;
Somalia;National League;2;2026-07-01;Gantaalaha Afgooye;Heegan;1;3;
Somalia;National League;3;2026-06-22;Jubba;Jeenyo;1;0;
Somalia;National League;3;2026-06-23;Mogadishu City;Raadsan;1;0;
Somalia;National League;3;2026-06-24;Gaadiidka;Gantaalaha Afgooye;3;3;
Somalia;National League;3;2026-06-25;Dekedaha;Jazeera;1;0;
Somalia;National League;3;2026-06-26;Heegan;Horseed;2;3;
Somalia;National League;4;2026-06-17;Gantaalaha Afgooye;Raadsan;1;5;
Somalia;National League;4;2026-06-18;Jazeera;Mogadishu City;1;3;
Somalia;National League;4;2026-06-19;Horseed;Gaadiidka;1;1;
Somalia;National League;4;2026-06-20;Elman;Dekedaha;0;1;
Somalia;National League;4;2026-06-21;Heegan;Badbaado;2;1;
Somalia;National League;5;2026-06-11;Raadsan;Jazeera;2;4;
Somalia;National League;5;2026-06-12;Gantaalaha Afgooye;Horseed;2;6;
Somalia;National League;5;2026-06-13;Mogadishu City;Elman;1;1;
Somalia;National League;5;2026-06-14;Badbaado;Gaadiidka;0;3;
Somalia;National League;5;2026-06-15;Dekedaha;Jeenyo;1;1;
Somalia;National League;5;2026-06-16;Heegan;Jubba;7;1;
Somalia;National League;6;2026-06-05;Horseed;Raadsan;3;1;
Somalia;National League;6;2026-06-06;Jazeera;Elman;0;1;
Somalia;National League;6;2026-06-08;Mogadishu City;Jeenyo;5;2;
Somalia;National League;6;2026-06-09;Gaadiidka;Jubba;4;0;
Somalia;National League;6;2026-06-10;Dekedaha;Heegan;0;3;
Somalia;National League;7;2026-05-30;Elman;Raadsan;3;1;
Somalia;National League;7;2026-05-31;Badbaado;Horseed;0;2;
