Country;League;Season;Round;Date;Home;Away;HG;AG;Notes
USA;MLS Next Pro - Western Conference - Central Division;2026;1;2026-06-20;Minnesota 2;St. Louis City 2;5;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;1;2026-06-22;Austin FC II;Sporting Kansas City II;2;1;
USA;MLS Next Pro - Western Conference - Central Division;2026;1;2026-06-28;Colorado Rapids 2;Vancouver 2;1;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;2;2026-06-14;Minnesota 2;Austin FC II;1;3;
USA;MLS Next Pro - Western Conference - Central Division;2026;2;2026-06-21;Colorado Rapids 2;Portland Timbers 2;0;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;3;2026-06-07;Colorado Rapids 2;St. Louis City 2;1;1;
USA;MLS Next Pro - Western Conference - Central Division;2026;3;2026-06-08;Austin FC II;Los Angeles FC 2;2;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;3;2026-06-09;Minnesota 2;Sporting Kansas City II;4;3;
USA;MLS Next Pro - Western Conference - Central Division;2026;4;2026-05-23;Sporting Kansas City II;Austin FC II;0;3;
USA;MLS Next Pro - Western Conference - Central Division;2026;4;2026-05-24;Minnesota 2;Colorado Rapids 2;2;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;4;2026-05-30;St. Louis City 2;North Texas;2;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;5;2026-05-17;Minnesota 2;Houston Dynamo 2;1;1;
USA;MLS Next Pro - Western Conference - Central Division;2026;5;2026-05-18;Austin FC II;St. Louis City 2;4;1;
USA;MLS Next Pro - Western Conference - Central Division;2026;5;2026-05-24;North Texas;San Jose Earthquakes II;2;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;6;2026-05-09;St. Louis City 2;Houston Dynamo 2;1;4;
USA;MLS Next Pro - Western Conference - Central Division;2026;6;2026-05-14;Colorado Rapids 2;Austin FC II;0;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;6;2026-05-17;North Texas;Sporting Kansas City II;5;1;
USA;MLS Next Pro - Western Conference - Central Division;2026;7;2026-05-10;Minnesota 2;North Texas;0;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;7;2026-05-11;Austin FC II;Tacoma Defiance;3;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;7;2026-05-11;Colorado Rapids 2;Sporting Kansas City II;1;3;
USA;MLS Next Pro - Western Conference - Central Division;2026;8;2026-05-03;North Texas;Austin FC II;0;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;8;2026-05-04;Colorado Rapids 2;Houston Dynamo 2;1;3;
USA;MLS Next Pro - Western Conference - Central Division;2026;8;2026-05-07;Sporting Kansas City II;Ventura County;0;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;9;2026-04-20;Colorado Rapids 2;Minnesota 2;1;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;9;2026-04-26;St. Louis City 2;Ventura County;2;1;
USA;MLS Next Pro - Western Conference - Central Division;2026;9;2026-05-04;Sporting Kansas City II;Tacoma Defiance;2;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;10;2026-04-11;St. Louis City 2;Colorado Rapids 2;2;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;10;2026-04-26;Sporting Kansas City II;Houston Dynamo 2;1;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;11;2026-03-22;Colorado Rapids 2;San Jose Earthquakes II;1;4;
USA;MLS Next Pro - Western Conference - Central Division;2026;11;2026-04-13;Austin FC II;Houston Dynamo 2;1;1;
USA;MLS Next Pro - Western Conference - Central Division;2026;11;2026-04-20;Sporting Kansas City II;Vancouver 2;3;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;12;2026-04-05;Sporting Kansas City II;North Texas;1;4;
USA;MLS Next Pro - Western Conference - Central Division;2026;13;2026-03-21;Houston Dynamo 2;North Texas;2;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;13;2026-03-28;Sporting Kansas City II;St. Louis City 2;0;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;14;2026-03-16;Austin FC II;North Texas;1;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;14;2026-03-16;Houston Dynamo 2;Portland Timbers 2;5;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;14;2026-03-22;St. Louis City 2;Los Angeles FC 2;2;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;14;2026-03-23;Sporting Kansas City II;Minnesota 2;0;1;
USA;MLS Next Pro - Western Conference - Central Division;2026;15;2026-03-08;North Texas;Colorado Rapids 2;3;1;
USA;MLS Next Pro - Western Conference - Central Division;2026;15;2026-03-08;St. Louis City 2;Minnesota 2;3;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;15;2026-03-09;Austin FC II;Ventura County;2;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;15;2026-03-09;Houston Dynamo 2;Tacoma Defiance;4;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;15;2026-03-09;Sporting Kansas City II;Real Monarchs;0;5;
USA;MLS Next Pro - Western Conference - Central Division;2026;16;2026-02-28;St. Louis City 2;Sporting Kansas City II;4;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;16;2026-03-02;Austin FC II;Minnesota 2;2;4;
USA;MLS Next Pro - Western Conference - Central Division;2026;16;2026-03-02;Houston Dynamo 2;Colorado Rapids 2;2;0;
USA;MLS Next Pro - Western Conference - Central Division;2026;17;2026-06-29;Minnesota 2;Tacoma Defiance;2;2;
USA;MLS Next Pro - Western Conference - Central Division;2026;17;2026-06-29;St. Louis City 2;Austin FC II;0;2;
