Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
1;v20plus;Finland_Kolmonen_Southern_Group2;17;1;2026-08-09;2026-09-25;18;94.44
2;v20plus;Finland_Kolmonen_Western_Group2;12;1;2026-08-13;2026-09-17;13;92.31
3;v20plus;Norway_OBOSLigaen;11;1;2026-08-09;2026-09-20;12;91.67
4;v20plus;Austria_Karnten;11;2;2026-09-04;2026-09-25;13;84.62
5;v20plus;Estonia_EsiliigaB;11;5;2026-08-10;2026-09-19;16;68.75
6;v20plus;Finland_Kolmonen_Eastern_Group3;10;0;2026-08-13;2026-09-19;10;100.0
7;v20plus;Norway_3rdDivision_Group1;10;1;2026-08-08;2026-09-19;11;90.91
8;v20plus;Poland_IIILiga_Group1;10;4;2026-09-05;2026-09-25;14;71.43
9;v20plus;Poland_IIILiga_Group2;9;3;2026-09-05;2026-09-19;12;75.0
10;v20plus;Norway_3rdDivision_Group5;8;2;2026-08-08;2026-09-21;10;80.0
11;v20plus;Germany_Oberliga_SchleswigHolstein;7;1;2026-08-30;2026-09-20;8;87.5
12;v20plus;Poland_IIILiga_Group3;7;1;2026-09-05;2026-09-19;8;87.5
13;v20plus;Norway_3rdDivision_Group2;7;2;2026-08-08;2026-09-21;9;77.78
14;v20plus;Switzerland_PromotionLeague;7;4;2026-09-05;2026-09-19;11;63.64
15;v20plus;Finland_Kakkonen_GroupC;6;0;2026-08-15;2026-09-06;6;100.0
16;v20plus;Norway_2ndDivision_Group2;6;0;2026-08-08;2026-09-12;6;100.0
17;v20plus;Norway_3rdDivision_Group3;6;0;2026-08-08;2026-09-21;6;100.0
18;v20plus;Norway_3rdDivision_Group6;6;0;2026-08-15;2026-09-21;6;100.0
19;v20plus;Norway_3rdDivision_Group4;6;2;2026-08-08;2026-09-21;8;75.0
20;v20plus;Austria_Regionalliga_North;6;3;2026-09-04;2026-09-25;9;66.67
21;v20plus;Austria_Regionalliga_South;6;3;2026-09-04;2026-09-25;9;66.67
22;v20plus;Austria_Tirol;6;5;2026-09-04;2026-09-19;11;54.55
23;v20plus;Finland_Kolmonen_Southern_Group3;5;0;2026-08-14;2026-09-16;5;100.0
24;v20plus;CzechRepublic_4Liga_GroupB;5;1;2026-09-12;2026-09-23;6;83.33
25;v20plus;Finland_Kolmonen_North;5;1;2026-08-29;2026-09-19;6;83.33
26;v20plus;Iceland_BestaDeildKarla;5;2;2026-08-09;2026-09-14;7;71.43
27;v20plus;Finland_Kolmonen_Eastern_Group1;4;0;2026-09-11;2026-09-19;4;100.0
28;v20plus;Finland_Kolmonen_Southern_Group1;4;0;2026-08-20;2026-09-24;4;100.0
29;v20plus;Germany_Oberliga_RheinlandPfalzSaar;4;0;2026-09-09;2026-09-20;4;100.0
30;v20plus;Finland_Kolmonen_Eastern_Group2;4;1;2026-08-11;2026-09-18;5;80.0
31;v20plus;Netherlands_Eredivisie;4;1;2026-09-12;2026-09-20;5;80.0
32;v20plus;FaroeIslands_1Deild;4;2;2026-08-15;2026-09-19;6;66.67
33;v20plus;Wales_CymruPremier;4;3;2026-09-04;2026-09-18;7;57.14
34;v20plus;Estonia_Esiliiga;3;0;2026-08-10;2026-09-14;3;100.0
35;v20plus;Latvia_NakotnesLiga;3;0;2026-08-08;2026-09-19;3;100.0
36;v20plus;Sweden_Division2_SodraGotaland;3;0;2026-08-08;2026-09-19;3;100.0
37;v20plus;Austria_Salzburg;3;1;2026-09-06;2026-09-18;4;75.0
38;v20plus;Switzerland_SuperLeague;3;1;2026-09-06;2026-09-20;4;75.0
39;v20plus;Iceland_Division_2;3;2;2026-08-08;2026-08-28;5;60.0
40;v20plus;CzechRepublic_4Liga_GroupE;2;0;2026-09-12;2026-09-20;2;100.0
41;v20plus;Estonia_Meistriliiga;2;0;2026-08-09;2026-09-12;2;100.0
42;v20plus;Finland_Kakkonen_GroupB;2;0;2026-08-08;2026-08-15;2;100.0
43;v20plus;Finland_Ykkonen;2;0;2026-08-11;2026-08-29;2;100.0
44;v20plus;Germany_Oberliga_Bremen;2;0;2026-09-12;2026-09-25;2;100.0
45;v20plus;Germany_Oberliga_Hamburg;2;0;2026-09-13;2026-09-13;2;100.0
46;v20plus;Moldova_SuperLiga;2;0;2026-08-30;2026-09-20;2;100.0
47;v20plus;Norway_2ndDivision_Group1;2;0;2026-08-08;2026-09-05;2;100.0
48;v20plus;Norway_Eliteserien;2;0;2026-08-30;2026-09-19;2;100.0
49;v20plus;Slovakia_NikeLiga;2;0;2026-09-06;2026-09-19;2;100.0
50;v20plus;Somalia_NationalLeague;2;0;2026-08-08;2026-08-09;2;100.0
