PredictionDate;MatchDate;LeagueId;Round;Home;Away;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-07-16;2026-07-16;Finland_Kakkonen_GroupC_2026;15;Vaajakoski;Huima / Urho;Finland_Kakkonen_GroupC_2026;Finland_Kakkonen_GroupC_2026;;91.65;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;4.44;12.31;13.0;10.0;12.2;9.6;9.6;6.67;5.33;8.5;2.1-dev
2026-07-16;2026-07-16;Estonia_Meistriliiga_2026;21;Flora;Nomme Utd;Estonia_Meistriliiga_2026;Estonia_Meistriliiga_2026;;91.56;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;5.33;12.51;11.51;4.81;14.0;10.8;12.0;6.0;7.11;7.49;2.1-dev
2026-07-16;2026-07-16;Iceland_Division_2_2026;24;KFG Gardabaer;Kari;Iceland_Division_2_2026;Iceland_Division_2_2026;;91.19;ALTA;PRO: attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;5.09;8.37;13.0;10.0;11.67;9.6;9.6;6.86;8.0;9.0;2.1-dev
2026-07-16;2026-07-16;Iceland_Division_2_2026;24;Haukar;Throttur Vogar;Iceland_Division_2_2026;Iceland_Division_2_2026;;84.61;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;5.82;13.0;9.85;6.29;12.73;9.6;7.2;6.67;4.8;8.65;2.1-dev
2026-07-16;2026-07-16;Australia_NPLWesternAustralia_2026;20;Perth Azzurri;Western Knights;Australia_NPLWesternAustralia_2026;Australia_NPLWesternAustralia_2026;;82.5;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | alta tendenza BTTS || CONTRO: profilo over esterno debole;2.18;13.0;10.78;8.82;11.23;8.4;8.4;5.71;4.44;9.53;2.1-dev
2026-07-16;2026-07-16;USA_USLLeagueTwo_PlayOff_2026;1;Peoria;Sueno;USA_USLLeagueTwo_GreatPlains_2026;USA_USLLeagueTwo_Heartland_2026;USA_USLLeagueTwo_2026;81.16;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;4.6;13.0;13.0;5.52;5.79;8.4;10.8;5.71;6.67;7.68;2.1-dev
2026-07-16;2026-07-16;Kazakhstan_FirstLeague_2026;23;Tobol 2;Akademiya Ontustik;Kazakhstan_FirstLeague_2026;Kazakhstan_FirstLeague_2026;;80.66;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;4.92;9.55;8.64;10.0;8.32;10.8;8.4;6.86;5.33;7.85;2.1-dev
2026-07-16;2026-07-16;Australia_NPLSouthAustralia_2026;20;West Torrens;Para;Australia_NPLSouthAustralia_2026;Australia_NPLSouthAustralia_2026;;79.05;ALTA;PRO: attacco casa positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: ospite poco prolifico | BTTS non elevato;8.0;11.82;3.13;6.95;14.0;8.4;8.4;5.0;7.0;6.35;2.1-dev
2026-07-16;2026-07-16;Australia_NPL_NSW_U20_2026;25;Sydney FC U20;Manly Utd U20;Australia_NPL_NSW_U20_2026;Australia_NPL_NSW_U20_2026;;77.91;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: profilo over interno debole;1.07;12.85;12.33;7.51;8.58;8.4;8.4;4.67;6.55;7.57;2.1-dev
2026-07-16;2026-07-16;Somalia_NationalLeague_2026;23;Badbaado;Dekedaha;Somalia_NationalLeague_2026;Somalia_NationalLeague_2026;;75.45;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: trend over trasferta non forte;2.91;10.08;13.0;7.49;7.37;10.8;6.0;5.33;4.8;7.67;2.1-dev
2026-07-16;2026-07-16;USA_USLLeagueTwo_PlayOff_2026;1;Laredo Heat;Texoma;USA_USLLeagueTwo_LoneStar_2026;USA_USLLeagueTwo_Ranger_2026;USA_USLLeagueTwo_2026;74.32;MEDIA;PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: BTTS non elevato;2.04;13.0;13.0;2.27;6.85;8.4;9.6;5.33;6.67;7.15;2.1-dev
2026-07-16;2026-07-16;Australia_VictoriaPremierLeague_2026;22;Melbourne Knights;Brunswick City;Australia_VictoriaPremierLeague_2026;Australia_VictoriaPremierLeague_2026;;73.97;MEDIA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: trend over casa non forte | BTTS non elevato;5.54;10.34;11.52;3.64;12.73;6.0;7.2;4.8;5.6;6.6;2.1-dev
