PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;HG;AG;Goals;Over25;BTTS
2026-07-09;2.1-dev;USA_USLLeagueTwo_Northeast_2026;30;NEFC;Albany Rush;NEFC - Albany Rush;93.1;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;2.67;13.0;10.34;7.34;14.0;12.0;9.6;8.0;8.0;8.15;;;;;
2026-07-09;2.1-dev;Australia_VictoriaPremierLeague_2026;20;Langwarrin;Melbourne Victory U21;Langwarrin - Melbourne Victory U21;92.52;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;2.46;10.26;13.0;10.0;11.72;9.6;10.8;8.0;7.2;9.47;;;;;
2026-07-09;2.1-dev;USA_USLLeagueTwo_Mountain_2026;25;Real Colorado;Flatirons;Real Colorado - Flatirons;91.96;ALTA;PRO: attacco casa positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: ospite poco prolifico;4.0;11.82;6.57;10.0;14.0;12.0;10.67;8.0;6.0;8.91;;;;;
2026-07-09;2.1-dev;Australia_NPLQueensland_2026;19;Peninsula;Wynnum Wolves;Peninsula - Wynnum Wolves;87.72;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;4.36;13.0;10.08;5.35;12.73;9.6;10.8;5.33;8.0;8.47;;;;;
2026-07-09;2.1-dev;Australia_VictoriaPremierLeague_2026;20;Brunswick Juventus;Western Utd. U21;Brunswick Juventus - Western Utd. U21;84.93;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: trend over casa non forte | BTTS non elevato;4.92;10.89;11.82;6.22;14.0;6.0;10.8;6.22;7.11;6.95;;;;;
2026-07-09;2.1-dev;USA_USLLeagueTwo_GreatLakes_2026;23;Midwest United;Union FC Macomb;Midwest United - Union FC Macomb;84.56;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;1.33;11.23;10.64;6.36;14.0;8.4;12.0;4.8;8.0;7.8;;;;;
2026-07-09;2.1-dev;Australia_NPLQueensland_2026;19;Brisbane Roar U23;Rochedale;Brisbane Roar U23 - Rochedale;84.34;ALTA;PRO: attacco trasferta positivo | difesa casa vulnerabile | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;0.73;7.99;9.04;10.0;14.0;10.8;9.6;7.0;6.0;9.18;;;;;
2026-07-09;2.1-dev;Finland_Kakkonen_GroupB_2026;13;Abo;Ilves 2;Abo - Ilves 2;82.57;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante;2.67;13.0;13.0;4.13;10.61;8.4;9.33;5.33;6.4;9.7;;;;;
2026-07-09;2.1-dev;Australia_NPLTasmania_2026;15;Glenorchy Knights;Kingborough Lions;Glenorchy Knights - Kingborough Lions;81.82;ALTA;PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante;5.33;7.6;13.0;9.09;6.36;8.4;10.8;6.67;6.86;7.71;;;;;
2026-07-09;2.1-dev;Iceland_Division_1_2026;19;IR Reykjavik;Throttur;IR Reykjavik - Throttur;80.73;ALTA;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: trend over trasferta non forte;4.36;11.33;12.31;10.0;6.89;9.6;6.0;5.33;6.4;8.5;;;;;
