LeagueId;Home;Away;Score;Band;Round;Reason;Match;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent
Norway_3rdDivision_Group4;Brodd;Haugesund 2;98.09;ALTA;13;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Brodd - Haugesund 2;2.46;12.31;14.0;12.0;10.8
Norway_3rdDivision_Group5;Lillestrom 2;Tromsø 2;96.65;ALTA;13;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Lillestrom 2 - Tromsø 2;5.54;13.0;14.0;12.0;9.6
Norway_3rdDivision_Group6;Rade;Lyn 2;92.16;ALTA;13;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Rade - Lyn 2;3.08;13.0;13.26;9.6;9.6
Norway_3rdDivision_Group4;Vindbjart;Stabaek 2;88.57;ALTA;13;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Vindbjart - Stabaek 2;3.69;10.83;14.0;7.2;12.0
Sweden_Division2_SodraGotaland;Linero IF;IFK Karlshamn;88.29;ALTA;15;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Linero IF - IFK Karlshamn;7.38;11.82;13.18;10.8;9.6
Iceland_BestaDeildKarla;Keflavik;KR Reykjavik;86.2;ALTA;18;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over trasferta positivo, alta tendenza BTTS;Keflavik - KR Reykjavik;2.91;8.37;14.0;7.2;10.8
Norway_3rdDivision_Group1;K. Oslo 2;Heming;85.3;ALTA;13;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;K. Oslo 2 - Heming;4.31;10.34;9.02;9.6;8.4
Iceland_BestaDeildKarla;Stjarnan;Akureyri;83.57;ALTA;18;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS;Stjarnan - Akureyri;1.45;11.82;13.26;9.6;7.2
Norway_3rdDivision_Group4;Varhaug;Odd 2;80.85;ALTA;13;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over trasferta positivo, alta tendenza BTTS;Varhaug - Odd 2;3.69;10.34;14.0;7.2;10.8
Finland_Ykkonen;OLS Oulu;KuPS Akatemia;80.57;ALTA;14;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo;OLS Oulu - KuPS Akatemia;4.36;11.36;14.0;8.4;9.6
